00000066.png 583.39,311.95;1296.32,292.04;1328.33,879.6;580.35,898.07;
00000100.png 583.24,315.21;1293.28,294.11;1327,878.9;581.36,897.71;
00000133.png 581.52,318.44;1290.14,295.82;1324.09,879.93;581.74,899.95;
00000166.png 584.65,321.9;1287.67,298.15;1321.53,880.81;582.1,900.94;
00000200.png 583.06,324.49;1285.08,299.87;1319.22,878.78;584.23,901.57;
00000233.png 582.14,329.18;1280.71,304.71;1315.61,879.86;583.7,903.35;
00000266.png 582.7,331.54;1279.2,305.81;1314.65,880.06;582.87,904.47;
00000300.png 580.11,334.07;1275.2,307.23;1311.26,881.45;581.85,905.72;
00000333.png 576.58,340.37;1271.32,312.45;1307.45,884.58;580.85,910.57;
00000367.png 578.89,343.51;1266.5,315.86;1303.75,884.07;582.73,910.33;
00000400.png 578.36,346.21;1263.94,317.6;1301.46,884.15;582.03,910.18;
00000433.png 577.31,351.93;1257.81,322.74;1296.23,885.46;583.06,912.06;
00000467.png 576.69,354.97;1255.11,326.11;1293.26,884.2;583.83,913.15;
00000500.png 578.02,356.67;1251.74,327.88;1290.93,883.15;582.87,912.99;
00000533.png 578.76,362.89;1248.38,331.92;1287,883.34;586.6,914.62;
00000567.png 578.63,364.73;1246.03,332.78;1285.23,883.05;587.25,913.79;
00000600.png 579.01,366.25;1244.18,334.44;1284.39,883.02;586.69,914.85;
00000633.png 580.69,370.34;1239.85,337.87;1279.41,881.83;589.68,914.25;
00000667.png 577.74,374.7;1238.02,341.5;1277.47,885.27;589.51,917.83;
00000700.png 581.14,378.59;1234.76,346.17;1274.66,885.73;591.88,918.62;
00000734.png 584.42,387.14;1231.51,352.99;1272,888.6;595,921.5;
00000767.png 585.1,389.16;1229.89,355.28;1270.81,888.59;594.7,922.62;
00000800.png 582.5,393.54;1227.7,358.89;1268.34,890.93;595.83,925.59;
00000834.png 585.01,398.46;1223.56,363.97;1264.58,891.11;598.46,926.55;
00000867.png 586.34,401.62;1222.37,365.82;1263.54,891.4;599.24,927.8;
00000900.png 587.49,405.58;1219.42,367.79;1262.47,889.19;601.44,927.09;
00000934.png 589.03,408.02;1218.72,369.68;1260.73,889.86;603.19,926.87;
00000967.png 591.09,408.78;1217.6,371.23;1260.78,889.67;606.11,927.6;
00001001.png 588.49,411.57;1214.78,372.59;1259,889.07;607,928.21;
00001034.png 591.03,414.52;1214,373.88;1257.9,888.7;607.89,928.44;
00001067.png 589.57,415.47;1210.77,374.76;1256.61,889.33;606.85,929.93;
00001101.png 590.23,420.59;1206.87,378.04;1253.32,887.39;609.33,929.14;
00001134.png 590.92,422.74;1206.4,379.48;1250.74,886.21;610.49,929.87;
00001167.png 592.45,422;1205.15,380.09;1249.97,884.34;613.39,927.57;
00001201.png 592.56,423.35;1203.07,381;1247.73,882.41;615.04,925.14;
00001234.png 595.19,424.09;1201.13,381.34;1246.33,880.72;616.43,924.54;
00001267.png 596.52,424.25;1199.42,381.79;1243.92,878.17;617.68,921.69;
00001301.png 598.88,424.12;1198.1,380.53;1244.06,875.2;621.86,919.22;
00001334.png 602.01,426.98;1197.25,382.89;1242.65,873.38;624.07,917.63;
00001368.png 604.54,427.78;1195.39,384.23;1242.6,871.45;626.01,917.33;
00001401.png 607.85,430.25;1196.42,385.03;1242.97,870.78;631.03,916.11;
00001434.png 607.94,431.83;1197.62,386.11;1244.07,871.9;633.67,918.22;
00001468.png 610.85,434.39;1196.65,388.3;1243.46,871.05;636.45,916.93;
00001501.png 614.11,436.91;1199.01,389.99;1246.06,871.86;639.82,919.07;
00001534.png 616.37,441.26;1196.24,393.57;1244.85,873.19;643.77,919.03;
00001568.png 619.36,442.11;1197.67,394.71;1247.53,871.4;646.46,918.26;
00001601.png 623.71,445.03;1200.47,397.63;1248.9,873.78;650.68,920.99;
00001634.png 626.93,448.59;1202.49,400.22;1250.64,874.84;654.5,923.25;
00001668.png 631.82,451.34;1202.9,404.35;1251.37,875.57;658.24,924.26;
00001701.png 638.7,459.08;1204.59,410.61;1254.3,879.61;665.91,927.19;
00001735.png 640.46,462.89;1206.28,412.98;1255.89,882.5;667.98,930.16;
00001768.png 646.35,468.85;1210.43,419.28;1260.9,886.94;675.46,934.45;
00001801.png 649.96,471.21;1214.03,421.4;1262.99,888.41;679.03,935.92;
00001835.png 654.89,474.96;1213.56,425.58;1263.7,889.75;682.94,937.06;
00001868.png 661.93,480.03;1217.73,430.3;1267.74,892.88;689.7,939.4;
00001901.png 663.89,481.45;1220.3,431.88;1269.56,894.54;691.85,941.45;
00001935.png 667.44,483.92;1220.3,436.14;1270.56,894.89;694.37,941.72;
00001968.png 673.24,487.43;1223.93,438.03;1272.58,897.07;699.05,943.24;
00002002.png 674.02,487.47;1224.82,439.8;1275.63,897.42;701.8,943.05;
00002035.png 676.88,487.49;1226.82,438.58;1276.13,896.12;703.44,941.7;
00002068.png 681.26,487.36;1231.55,438.43;1280.39,895.52;707.89,941.56;
00002102.png 683.13,485.7;1232.62,437.5;1281.79,895.71;708.92,939.86;
00002135.png 684.03,484.78;1235.14,437.18;1283.64,894.8;710.66,939.66;
00002168.png 684.82,480.91;1240.28,432.79;1288.9,895.33;711.48,939.26;
00002202.png 686.83,480.38;1241.24,431.3;1289.98,891.93;712.12,936.9;
00002235.png 688.98,477.18;1243.02,429.08;1293.48,891.04;714.96,935.81;
00002268.png 687.33,472.31;1247.81,424.19;1297.25,890.95;714.5,934.14;
00002302.png 689.38,472.31;1249.46,423.59;1297.56,890.4;713.99,932.56;
00002335.png 687.46,469.57;1249.6,420.89;1297.86,889.98;712.25,931.69;
00002369.png 687.8,466.01;1250.68,416.91;1297.94,885.15;712.51,927.85;
00002402.png 685.95,462.39;1251.01,414.22;1299.41,884.59;711,925.24;
00002435.png 685.64,458.27;1252.78,408.95;1299.39,881.83;710.7,923.43;
00002469.png 684.83,446.83;1254.8,398.54;1303.43,872.87;710.14,915.12;
00002502.png 683.03,442.87;1256.49,393.43;1303.57,870.22;708.46,912.98;
