00000066.png 705.17,287.46;1368.82,288.77;1392.16,836.77;684.04,826.84;
00000100.png 713.67,286.63;1379.48,288.54;1402.71,836.48;694.14,827.69;
00000133.png 721.96,286.83;1390.02,288.63;1414.35,836.66;704.48,826.6;
00000166.png 742.64,286.26;1411.25,288.55;1433.89,836.83;725.77,826.51;
00000200.png 752.36,286.8;1420.66,285.82;1447.97,836.39;736.49,826.65;
00000233.png 761.76,285.25;1433.29,286.45;1458.1,837.54;747.55,827.68;
00000266.png 780.74,285.88;1452.69,286.67;1479.8,837.27;768.77,827.34;
00000300.png 790.04,286.17;1462.41,284.9;1491.82,836.33;778.79,829.11;
00000333.png 800.42,285.1;1473.93,283.93;1503.05,837.48;789.06,828.75;
00000367.png 807.48,284;1485.23,283.27;1514.37,838.47;799.59,830.25;
00000400.png 829.02,285.66;1503.94,284.11;1537.03,838.91;820.55,831.19;
00000433.png 836.62,284.79;1516.44,283.29;1547.94,841.13;829.99,833.19;
00000467.png 847.59,286.42;1526.06,283.99;1559.11,840.39;840.88,834.06;
00000500.png 867.51,286.34;1548.89,285.19;1583.85,844.46;861.34,836.09;
00000533.png 876.34,286.11;1561.27,284.42;1595.04,846.39;871.1,837.25;
00000567.png 888.13,286.38;1572.19,286.66;1606.61,846.54;883.09,837.69;
00000600.png 898.08,286.97;1583.44,286.62;1616.75,846.75;893.4,837.96;
00000633.png 918.01,286.17;1605.34,288.08;1637.85,851.3;913.21,839.26;
00000667.png 926.31,285.04;1615.3,288.17;1648.77,853.2;922.44,839.97;
00000700.png 935.94,284.36;1625.42,288.45;1658.54,852.58;931.94,839.73;
00000734.png 956.01,283.33;1645.28,289.67;1676.9,853.28;949.65,838.48;
00000767.png 966.4,282.56;1655.04,289.81;1685.79,854.01;958.49,836.46;
00000800.png 973.02,280.02;1665.68,290.78;1695.39,855.97;968.09,836.04;
00000834.png 982.52,279.46;1674.15,290.05;1703.79,855.67;975.71,835.95;
00000867.png 998.81,277.24;1688.69,290.47;1717.23,854.42;989.86,832.96;
00000900.png 1003,277.53;1694.17,289.51;1721.92,854.67;995.29,831.61;
00000934.png 1009.38,275.95;1700.29,291.42;1726.37,855.03;999.49,831.62;
00000967.png 1014.02,273.91;1705.83,290.56;1732,854.46;1003.84,829.64;
00001001.png 1015.77,273.44;1705.94,289.86;1731.8,854.47;1003.7,829.12;
00001034.png 1014.63,273.31;1705.4,288.74;1728.71,852.74;1002.3,828.8;
00001067.png 1006.72,271.23;1697.56,287.8;1720.5,853.13;995.08,826.68;
00001101.png 998.84,269.91;1692.14,286.75;1714.35,852.41;987.16,827.31;
00001134.png 992.75,270.55;1682.63,285.12;1706.78,852;978.49,826.46;
00001167.png 982,270.46;1672.41,284.16;1695.67,849.29;969.13,825.61;
00001201.png 958.11,269.84;1647.61,282.11;1669.54,846.19;943.77,825.21;
00001234.png 939.23,269.63;1636.22,280.91;1656.89,846.98;926.17,827.05;
00001267.png 928.59,269.04;1616.01,278.36;1639.21,839.65;914.44,823.47;
00001301.png 890.72,267.84;1580.43,273.86;1602.72,837.24;880.29,820.8;
00001334.png 876.51,269.23;1559.68,273.23;1582.48,833.15;861.64,820.67;
00001368.png 856.4,267.83;1540.74,270.71;1564.27,831.11;842.22,820.32;
00001401.png 834.54,265.62;1520.19,267.55;1543.28,828.69;823.22,819.43;
00001434.png 795.79,266.7;1478.08,264.3;1503.86,823.56;782.39,818.89;
00001468.png 774.15,266.86;1455.3,261.37;1481.89,820.08;761.64,817.54;
00001501.png 753.15,265.37;1433.47,260.87;1459.55,819.07;740.53,818.32;
00001534.png 710.21,265.69;1387.9,258.31;1414.23,814.31;697.04,819.06;
00001568.png 686.85,265.56;1365.05,258.33;1390.3,811.32;674.75,818.17;
00001601.png 664.37,266.15;1341,254.84;1365.62,808.93;651.87,817.43;
00001634.png 639.45,266.11;1316.84,253.27;1342.34,806.64;627.54,817.11;
00001668.png 592.8,266.08;1266.47,252.8;1294.52,804.42;578.1,817.98;
00001701.png 566.31,268.08;1243.04,250.94;1269.23,803.68;554.03,821.27;
00001735.png 541.61,266.88;1220.32,250.76;1245.06,805.13;529.16,820.37;
00001768.png 493.35,268.01;1171.77,249.61;1196.35,802.6;479.32,823.32;
00001801.png 464.3,266.7;1147.85,248.95;1172.03,803.22;454.32,823.91;
00001835.png 444.6,270.08;1123.6,249.87;1148.22,803.24;430.6,826.25;
00001868.png 396.85,271.76;1078.52,251.33;1101.38,803.91;381.39,830.02;
00001901.png 375.12,274.37;1055.72,251.27;1078.69,803.99;360.41,831.05;
00001935.png 353.4,274.22;1033.58,251.47;1056.36,803.1;336.28,832.47;
00001968.png 331.01,274.79;1012.16,251.91;1035.79,802.81;315.32,833.41;
00002002.png 289.07,276.86;973.88,250.53;995.95,805.12;272.62,836.19;
00002035.png 268.96,276.4;954.35,248.73;977.22,804.07;252.74,836.9;
00002068.png 249.77,275.34;937.29,247.8;959.33,801.56;233.62,834.86;
00002102.png 214.79,275.85;903.3,244.99;924.91,800.11;196.75,836.54;
00002135.png 200.1,274.2;887.45,243.85;909.08,799.1;180.82,837.29;
00002168.png 184.42,274.15;871.85,244.09;893.42,799.79;164.33,836.31;
00002202.png 170.09,273.27;858.65,243.05;879.36,799.28;151.51,835.38;
00002235.png 143.82,271.4;834.96,240.52;855.68,796.62;123.26,834.46;
00002268.png 132.58,270.11;823.78,238.65;845.36,794.35;112.21,832.13;
00002302.png 122.31,269.49;815.61,236.76;833.04,796.18;101.69,833.53;
00002335.png 107.72,269.18;798.93,238.93;818.49,796.63;85.88,833.37;
00002369.png 101.37,268.83;793.32,238.33;811.69,796.92;78.47,833.42;
