00000066.png 572.34,271.68;1374.5,285.73;1361.68,931.27;564.73,917.64;
00000100.png 575.91,271.52;1371,286.82;1359.44,928.28;567.65,916.05;
00000133.png 576.68,272.06;1372.99,287.35;1361.36,929.26;568.42,915.88;
00000166.png 577.37,271.24;1372.29,287.55;1362.16,929.45;568.52,916.41;
00000200.png 576.54,270.11;1374.9,285.51;1362.06,929.49;568.3,916.34;
00000233.png 580.15,272.27;1373.15,285.42;1363.22,930.88;569.27,914.95;
00000266.png 580.48,271.43;1374.23,287.63;1362.53,929.09;570.24,916.16;
00000300.png 580.57,270.94;1376.31,287.71;1363.12,928.9;570.29,916.3;
00000333.png 582.13,271.4;1376.29,287.97;1364.08,929.53;571.91,915.83;
00000367.png 582.94,271.37;1375.76,287.97;1364.66,929.33;572.44,915.38;
00000400.png 581.64,270.41;1379.76,287.01;1366.62,931.03;572.32,916.6;
00000433.png 579.95,272.74;1380.79,288.37;1367.7,932.03;571.2,917.65;
00000467.png 583.31,272;1378.76,289.02;1364.71,929.31;575.23,914.96;
00000500.png 585.3,271.24;1376.43,287.84;1364.54,929.33;575.14,915.14;
00000533.png 582.47,270.42;1379.64,287.27;1366.9,930.28;573.14,915.04;
00000567.png 585.21,269.89;1380.23,287.94;1367.18,930.24;573.72,915.3;
00000600.png 587.43,271.88;1380.88,290.23;1368.1,929.99;575.84,916.2;
00000633.png 587.07,271.97;1381.23,289.78;1368.58,930.87;576.21,915.38;
00000667.png 587.28,273.3;1381.95,287.92;1369.42,933.04;574.69,917.93;
00000700.png 584.93,271.94;1383.53,289.03;1370.72,933.82;574.59,917.99;
00000734.png 588.23,273.36;1381.62,289.94;1369.63,931.73;577.5,917.06;
00000767.png 589.19,273.28;1381.74,289.8;1369.7,931.03;578.31,915.49;
00000800.png 590.03,271.5;1381.62,289.13;1369.12,929.38;578.65,914.68;
00000834.png 590.4,272.25;1381.84,288.75;1369.34,929.18;578.4,914;
00000867.png 587.63,272.42;1382.64,289.27;1369.22,931.52;577.24,915.98;
00000900.png 588.36,272.04;1383.23,289.85;1367.18,932.25;576.33,916.3;
00000934.png 587.78,272.43;1381.79,290.11;1369.29,931;577.51,915.92;
00000967.png 588.29,274.24;1381.57,290.18;1369.63,932.22;578.28,915.7;
00001001.png 588.19,273.71;1382.37,290.32;1369.5,932.99;577.62,916.81;
00001034.png 588.6,274.81;1382.17,289.9;1368.5,932.46;577.69,918.17;
00001067.png 588.8,274.08;1381.59,291.2;1369.25,932.57;577.01,918.21;
00001101.png 586.7,273.11;1381.77,290.88;1368.61,931.94;576.81,917.56;
00001134.png 587.18,274.75;1380.1,291.5;1367.95,933.12;576.56,917.59;
00001167.png 586.44,274.06;1379,290.73;1367.62,931.69;576.53,917.63;
00001201.png 583.15,274.49;1380.8,291.09;1367.05,934.41;573.29,919.47;
00001234.png 586.5,275.5;1379.41,291.56;1367.44,932.62;574.32,917.81;
00001267.png 585.97,275.32;1379.7,291.16;1366.31,932.63;575.47,918.05;
00001301.png 584.73,273.51;1378.75,292.03;1365.83,932.99;574.48,918.54;
00001334.png 584.51,275.32;1377.77,291.05;1366.48,932.61;574.3,917.94;
00001368.png 583.96,275.06;1379.09,290.3;1367.06,933.36;573.88,917.4;
00001401.png 581.82,273.32;1379.47,289.44;1365.57,932.98;571.81,917.74;
00001434.png 578.89,273.49;1380.45,289.81;1366.68,934.59;569.37,919.87;
00001468.png 579.06,272.23;1377.67,288.11;1364.75,932.48;570.7,917.32;
00001501.png 581.53,272;1375.72,290.64;1363.57,929.98;571.13,915.84;
00001534.png 579.02,271.26;1377.75,288.18;1363.61,931.15;570.27,916.48;
00001568.png 579.57,270.95;1373.69,288.65;1362.36,930.14;569.9,915.13;
00001601.png 579.23,270.68;1374.54,287.21;1361.19,929.13;569.94,914.7;
00001634.png 578.99,270.16;1374.14,286.7;1361.25,929.39;568.38,914.15;
00001668.png 578.6,269.97;1373.26,286.67;1361.26,928.89;569.01,913.81;
00001701.png 578.71,269.19;1372.7,285.48;1361.96,927.46;569.36,913.75;
00001735.png 579.81,268.78;1373.82,285.15;1361.74,928.11;569.33,912.49;
00001768.png 577.62,266.77;1378.14,283.91;1363.14,929.29;567.4,913.17;
00001801.png 580.03,268.75;1376.84,285.54;1362.42,927.31;570.44,911.84;
00001835.png 576.55,267.87;1380.56,285.36;1365.49,928.27;567.91,914.07;
00001868.png 582.27,266.31;1376.02,284.13;1363.03,926.18;571.86,910.38;
00001901.png 580.77,265.85;1379.13,282.7;1364.35,927.26;571.18,911.13;
00001935.png 581.94,264.85;1379.41,282.05;1365.04,925.81;571.88,909.08;
00001968.png 581.12,262.56;1380.21,280.37;1365.11,925.18;571.43,908.48;
00002002.png 584.88,263.79;1379.82,281.76;1365.31,923.18;574.34,906.79;
