00000066.png 578.64,294.24;1262.93,273.3;1288.43,836.74;582.23,853.31;
00000100.png 579.14,297.78;1263.4,272.9;1291.78,838.77;585.86,857.89;
00000133.png 579.16,300.13;1264.08,273.03;1295.53,837;588.65,860.59;
00000166.png 578.66,303.69;1263.3,271.37;1299.71,836.15;591.44,863.79;
00000200.png 578.02,307.86;1264.84,267.86;1305.39,834.2;595.65,868.7;
00000233.png 576.77,312.58;1262.65,265.85;1309.63,829.73;600.11,873.21;
00000266.png 575.29,318.06;1260.42,263.34;1314.33,827.81;605.63,878.24;
00000300.png 572.51,323.98;1257.08,259.22;1317.29,823.93;610.95,884.18;
00000333.png 569.88,329.21;1251.77,254.62;1321.3,816.35;616.28,887.35;
00000367.png 566.24,334.86;1247.07,249.55;1326.51,810.74;621.27,892.9;
00000400.png 562.38,336.97;1244.45,243.48;1328.89,805.9;623.83,895.92;
00000433.png 556.7,342.07;1237.84,237.68;1331.46,796.63;628.95,899.3;
00000467.png 551.99,346.63;1231.01,231.82;1332.06,790.47;632.07,902.86;
00000500.png 544.58,347.54;1223.74,224.41;1331.53,781.19;632.78,903.56;
00000533.png 535.72,353.22;1213.86,222.36;1330.42,778.15;631.55,910.46;
00000567.png 529.8,355.8;1208.47,217.33;1330.01,771.6;632.5,912.23;
00000600.png 520.31,359.58;1204.15,211.47;1331.66,769.94;630.33,916.73;
00000633.png 520.4,362.35;1196.18,211.35;1328.42,764.52;633.01,918.58;
00000667.png 516.66,370.33;1191.61,211.32;1331.63,765.27;636.16,924.74;
00000700.png 512.12,376.53;1190.63,207.52;1337.18,763.51;637.92,934.72;
00000734.png 518.13,389.38;1184.49,215.8;1336.29,762.11;648.13,939.41;
00000767.png 515.53,394.13;1183.11,213.61;1340.15,760.98;649.78,944;
00000800.png 511.55,403.28;1177.25,214.35;1342.12,758.59;652.83,952.25;
00000834.png 506.47,412.9;1170.58,214.43;1343.18,757.3;656.58,960.76;
00000867.png 503.32,423.84;1164.06,214.78;1345.3,755.55;662.39,969.63;
00000900.png 500.61,433.14;1156.98,212.92;1347.9,750.34;668.07,976.26;
00000934.png 500.03,442.02;1152.31,211.33;1350.97,744.12;676.8,980.9;
00000967.png 497.57,451.23;1146.44,208.77;1355.21,738.71;683.31,987.41;
00001001.png 493.42,457.42;1140.9,203.5;1357.39,730.22;689.28,992.18;
00001034.png 488.54,466.01;1135.04,198.36;1362.05,724.38;694.34,998;
00001067.png 489.17,470.32;1126.19,195.41;1361.82,715.28;701.53,998.31;
00001101.png 487.19,479.12;1119.35,193.22;1363.31,709.59;709.01,1003.91;
00001134.png 483.95,482.4;1115.97,189.32;1365.28,704.56;711.06,1006.1;
00001167.png 483.01,488.05;1107.49,186.32;1364.49,696.86;717.03,1006.41;
00001201.png 481.24,492.98;1102.44,183.39;1366.31,690.15;722.42,1008.65;
00001234.png 479.89,499.73;1096.2,181.02;1365.77,683.2;728.75,1011.06;
00001267.png 479.09,506.24;1090.91,178.93;1368.92,677.74;734.86,1014.23;
00001301.png 476.53,513.15;1085.22,176.97;1369.44,671.83;740.33,1017.04;
00001334.png 478.09,520.7;1077.78,175.63;1370.18,664.24;746.42,1019.7;
00001368.png 477.16,527.6;1071.91,171.67;1372.15,656.63;755.09,1021.67;
00001401.png 471.44,534.37;1065.56,164.8;1378.35,651.03;761.59,1029.83;
00001434.png 476.16,543.48;1057.04,166.89;1373.52,641.75;769.28,1027.44;
00001468.png 472.92,550.37;1047.83,163.32;1373.39,632.31;776.22,1029.76;
00001501.png 470.9,555.73;1041.06,162.09;1371.38,627.07;780.11,1031.12;
00001534.png 468.98,560.57;1032.3,157.18;1372.43,616.05;787.65,1031.17;
00001568.png 462.94,564.43;1025.12,143.29;1377.27,603.82;794.36,1033.26;
00001601.png 468.99,569.41;1016.04,144.67;1371.56,590.49;803.54,1025.42;
00001634.png 467.16,574.33;1007.77,140.49;1370.26,579.58;811.56,1024.44;
00001668.png 464.78,580.27;997.7,134.64;1369.03,570.12;816.44,1025.54;
00001701.png 463.65,586.78;989.58,132.16;1367,561.88;822.7,1025.63;
00001735.png 462.19,593.22;981.35,130.61;1365.09,553.97;828.37,1027.12;
00001768.png 462.17,601.16;974.81,130.81;1366.57,548.84;834.89,1029.76;
00001801.png 462.95,609.67;970.23,131.88;1368.03,543.26;843.65,1031.75;
00001835.png 465.47,618.24;964.47,132.44;1369.08,539.1;852.5,1035.02;
00001868.png 467.18,623.97;961.74,131.55;1370.83,533.41;859.69,1036.84;
00001901.png 472.14,630.66;959.36,131.14;1375.33,525.9;870.5,1038.5;
00001935.png 478.74,637.95;955.7,130.53;1378.99,518.99;883.68,1038.33;
00001968.png 485.25,643.64;955.62,128.4;1384.52,511.11;896.45,1037.79;
00002002.png 486.65,649.26;951.63,121.04;1392.99,501.94;908.67,1040.61;
00002035.png 490.66,655.41;950.36,117.86;1396.85,492.96;919.81,1041.57;
00002068.png 501.47,659.83;948.11,121.46;1395.97,484.76;931.57,1035.8;
00002102.png 506.49,665.94;944.39,121.08;1397.31,477.44;941.51,1034.71;
00002135.png 505.74,673.84;938.98,116.93;1403.37,470.91;951.07,1039.54;
00002168.png 515.18,680.76;934.91,124.25;1397.63,466.14;958.96,1036.11;
00002202.png 518.54,686.48;930.85,124.37;1399.31,459.05;969.19,1034.84;
00002235.png 522.25,690.72;927.51,124.15;1399.34,453.46;974.36,1033.73;
00002268.png 523.02,696.39;920.93,124.07;1398.91,446.85;982.98,1032.2;
00002302.png 525.9,700.85;913.48,120.4;1396.32,437.33;988.82,1029.39;
00002335.png 525.24,704.2;906.81,118.83;1393.27,429.56;994.48,1028.43;
00002369.png 526.81,709.97;899.78,118.73;1390.34,422.24;999.61,1026.75;
00002402.png 525.56,715.13;890.67,119.37;1385.5,416.05;1003.43,1025.18;
00002435.png 525.15,720.41;882.45,120.37;1379.27,409.12;1006.41,1022.96;
00002469.png 523.9,724.36;873.76,120.15;1375.73,403.19;1011.08,1022.77;
00002502.png 524.27,729.47;866.76,118.36;1373.59,397.19;1015.01,1022.04;
00002535.png 523.73,733.12;858.77,117.78;1369.23,389.6;1019,1018.5;
00002569.png 525.45,736.5;852.77,114.71;1365.78,380.35;1024.03,1014.92;
00002602.png 526.1,737.9;848.11,115.24;1362.1,374.49;1025.87,1011.77;
