00000066.png 467.39,223.04;1267.02,213.75;1300.63,853.72;467.02,880.25;
00000100.png 475.29,220.5;1265.53,211.6;1299.3,847.14;472.83,872.72;
00000133.png 480.74,216.04;1268.19,209.18;1303.27,845.55;476.87,870.1;
00000166.png 486.61,212.91;1273.69,206.81;1307.17,842.4;481.99,864.85;
00000200.png 492.31,206.25;1278.3,204.6;1313.33,839.57;488.92,860.68;
00000233.png 500.95,206.16;1286.77,202.65;1320.56,838.64;495.53,858.75;
00000266.png 510.47,207.39;1294.33,204.33;1327.48,840.23;503.58,859.56;
00000300.png 519.89,208.79;1302.12,211.65;1336.74,846.39;514.26,864.96;
00000333.png 534.66,219.9;1325.48,222.13;1356.64,859.98;529.61,876.23;
00000367.png 558.83,230.74;1337.96,237.77;1368.7,868.6;550.56,882.43;
00000400.png 572.06,233.17;1347.91,246.52;1376.12,874.42;563.15,883.85;
00000433.png 582.63,238.65;1357.65,255.63;1382.04,883.53;568.64,891.24;
00000467.png 589.27,239.28;1361.61,265.58;1385.93,893.62;573.45,892.98;
00000500.png 594.46,240.94;1367.72,273.11;1387.86,899.6;573.09,896.32;
00000533.png 597.29,238.7;1368.69,279.48;1384.45,904.64;571.2,897.49;
00000567.png 590.86,231.17;1370.32,277.85;1383.4,911.5;561.39,900.77;
00000600.png 598.65,233.86;1366.2,286.11;1377.3,908.94;566.34,893.47;
00000633.png 600.8,225.9;1368.5,288.42;1377.21,908.79;566.14,890.36;
00000667.png 608.68,220.54;1374.42,286.52;1379.86,908.59;571.66,886.12;
00000700.png 615.92,213.75;1380.5,285.24;1384,904.06;578.41,880.17;
00000734.png 623.37,205.38;1383.33,283.48;1386.55,899.74;583.81,874.91;
00000767.png 629.25,206.52;1385.72,286.28;1389.85,901.4;592.64,876.35;
00000800.png 638.4,214.17;1391.38,293.69;1397.97,909.02;602.81,884.8;
00000834.png 657.88,227.55;1406.55,307.81;1414.34,920.28;623.4,899.27;
00000867.png 686.45,248.79;1424.81,326.12;1438.52,935.51;656.78,919.7;
00000900.png 715.95,271.16;1444.99,347.11;1459.9,952.34;691.7,940.25;
00000934.png 737.87,297.03;1454.69,368.68;1473.71,967.05;717.07,960.76;
00000967.png 753.01,315.36;1459.75,384.38;1480.61,977.82;734.5,975.05;
00001001.png 748.99,309.4;1463.97,379.77;1487.82,983.33;732.7,984.22;
00001034.png 749.62,310.89;1451.9,379.5;1477.63,970.36;735.55,973.08;
00001067.png 749.2,295.88;1448.2,365.76;1478.51,953.33;741.27,961.21;
00001101.png 755.84,283.28;1451.05,348.93;1485.77,933.4;755.23,945.04;
00001134.png 768.27,270.8;1457.03,331.42;1499.55,913.04;776.67,930.1;
00001167.png 776.85,255.23;1468.78,312.08;1515.02,897.6;792.76,922.14;
00001201.png 789.22,254.37;1465.89,306.85;1518.92,878.7;813.45,906.99;
00001234.png 793.79,250.47;1465.35,299.25;1523.24,869.74;822,902.65;
00001267.png 799.9,250.98;1465.56,298.58;1524.52,866.53;832.28,902.78;
00001301.png 807.15,255.11;1463.71,304.73;1524.67,867.68;841.51,905.46;
00001334.png 812.64,256.79;1462.1,311.79;1521.14,870.94;845.85,906.53;
00001368.png 815.42,258.28;1453.54,317.78;1510.96,872.99;846.92,905.44;
00001401.png 816.9,256.79;1446.66,324.24;1500.36,876.26;845.62,904.95;
00001434.png 821.37,258.62;1442,333.26;1493.38,882.95;845.89,908.96;
00001468.png 826.04,263.84;1438.51,344.02;1487.19,890.1;847.32,910.08;
00001501.png 827.68,267.73;1434.45,352.01;1479.77,895.93;846.49,912.73;
00001534.png 833.82,268.57;1433.95,360.92;1475.29,903.81;849.37,917.25;
00001568.png 835.89,268.13;1434.43,365.71;1475.03,908.94;850.36,918.39;
00001601.png 848.24,265.56;1433.34,366.58;1471.37,904.35;858.99,910.26;
00001634.png 856.16,260.32;1432.85,365.37;1470.04,901.27;865.66,903.65;
00001668.png 868.97,253.13;1438.95,363.08;1474.41,897.56;877.59,896.95;
00001701.png 878.6,237.51;1449.27,353.63;1482.35,894.52;888,893.62;
00001735.png 900.56,236.68;1454.18,354.45;1486.78,884.85;908.76,879.73;
00001768.png 915.46,232.78;1460.69,354.65;1490.95,884.06;923.81,876.09;
00001801.png 929.77,230.54;1465.54,356.08;1495.15,883.63;936.04,874.71;
00001835.png 941.38,233.29;1469.53,360.69;1498.12,886.93;947.95,878.28;
00001868.png 949.5,233.31;1468.96,365.66;1496.33,889.57;953.77,879.89;
00001901.png 951.62,230.9;1470.17,368.49;1496.69,896.43;955.18,883.05;
00001935.png 959.28,232.31;1468.12,373.63;1493.67,899.32;959.8,884.59;
00001968.png 966.3,233.93;1467.45,378.79;1491.06,904.81;966.46,888.83;
00002002.png 968.98,233.13;1465.15,381.72;1487.69,908.76;968.77,891.64;
00002035.png 967.48,229.9;1463.62,383.31;1483.52,911.09;967.03,894.5;
00002068.png 971.62,225.94;1455.2,380.34;1476.08,904.95;970.44,886.28;
00002102.png 973.07,218.61;1450.69,375.92;1471.97,899.87;971.99,881.46;
00002135.png 969.83,214.1;1444.67,374.24;1465.79,897.3;970.67,880.21;
00002168.png 960.58,208.51;1436.98,372.92;1457.39,902.72;962,886.29;
00002202.png 960.37,213.14;1424.43,376.75;1447.27,899.31;961.96,880.49;
00002235.png 956.97,210.4;1418.69,378.5;1441.57,899.65;961.01,879.9;
00002268.png 960.31,211.7;1415.06,378.92;1442.15,903.87;966.03,884.73;
00002302.png 965.53,213.14;1414.36,383.24;1442.62,907.34;972.9,888.81;
00002335.png 966.57,214.78;1416.72,386.17;1444.77,913.45;977.92,898.31;
00002369.png 980.36,218;1417.84,389.44;1448.31,916.4;992.14,903.64;
00002402.png 987.36,222.91;1419.31,393.7;1450.75,922.18;1000.75,913.57;
00002435.png 995.86,220.83;1423.69,395.23;1454.6,925.71;1009.93,916.42;
00002469.png 1004.76,222.75;1428.37,397.89;1458.15,930.3;1019.68,920.99;
00002502.png 1012.91,223.57;1430.26,402.64;1457.75,934.25;1027.78,927.62;
00002535.png 1018.85,228.67;1428.63,408.57;1455.95,939.68;1029.25,932.63;
00002569.png 1023.46,230.19;1428.23,413.45;1454.44,944.33;1033.09,935.92;
00002602.png 1031.55,232.35;1431.09,418.07;1455.06,950.27;1039.91,939.28;
00002635.png 1037.17,237.13;1431.95,427.4;1457.03,959.14;1047.6,946.5;
00002669.png 1043.02,238.23;1431.2,430.62;1456.35,962.14;1053.14,944.22;
00002702.png 1044.04,244.07;1432.42,439.75;1457.2,971.64;1054.11,953.14;
00002736.png 1057.96,250.09;1436.62,446.22;1463.95,978.13;1069.15,958.47;
00002769.png 1072.06,255.14;1445.02,454.58;1474.47,987.19;1083.66,966.72;
00002802.png 1084.76,260.88;1451.49,463.46;1482,997.75;1098.43,975.52;
00002836.png 1091.17,267.1;1453.86,471.76;1484.57,1007.64;1106.79,984.59;
00002869.png 1095.47,274.7;1452.17,479.36;1484.34,1015.05;1111.94,991.16;
00002902.png 1095.92,278.69;1453.59,486.9;1485.74,1025.35;1114.78,1002.74;
00002936.png 1100.9,278.31;1449.66,487.5;1484.28,1025.82;1118.01,1003.01;
00002969.png 1094.75,277.48;1442.08,489.54;1475.81,1027.53;1111.94,1003.6;
00003003.png 1087.62,276.43;1432.79,490.6;1469.1,1028.28;1106.77,1001.74;
00003036.png 1080.65,274.61;1424.99,491.29;1461.9,1029.64;1101.84,1001.8;
00003069.png 1068.51,277.18;1411.48,496.16;1448.99,1031.87;1090.15,1006.09;
00003103.png 1060.45,279.3;1403.77,501.27;1442.03,1040.47;1083.82,1011.7;
00003136.png 1054.93,273.55;1396.56,500.34;1436.18,1046.91;1079.36,1018.03;
00003169.png 1060.39,278.56;1391.27,505.4;1435.22,1045.9;1085.69,1011.33;
00003203.png 1059.91,280.8;1391.72,510.8;1433.29,1051.01;1087.3,1018.55;
00003236.png 1065.45,279.83;1387.76,510.02;1430.05,1048.26;1093.73,1014.45;
00003269.png 1068.52,277.37;1386.33,509.36;1428.82,1047.87;1096.55,1013.03;
00003303.png 1071.23,264.82;1387.83,500.35;1430.02,1040.45;1100.72,1005.02;
00003336.png 1074.79,254.32;1388.02,492.01;1429.58,1033.67;1104.35,994.87;
00003370.png 1075.95,243.01;1386.52,482.06;1428.43,1022.29;1106.53,983.46;
00003403.png 1076.48,233.36;1386.89,474.48;1429.48,1015.1;1108.07,975.5;
00003436.png 1077.1,223.69;1385.63,468.81;1428.07,1009.79;1108.7,968.05;
