00000066.png 618.98,321.9;1176.39,285.61;1228.6,854.94;639.52,897.58;
00000100.png 619.57,326.92;1174.57,291.49;1225.96,857.79;640.17,899.11;
00000133.png 620.57,331.87;1170.97,296.93;1222.53,860.03;640.63,901.21;
00000166.png 621.97,335.95;1169.94,301.11;1219.51,862.69;640.15,903.22;
00000200.png 622.95,345.14;1164.17,311.6;1214.52,866.64;640.27,905.77;
00000233.png 622.85,348.23;1162.95,316.49;1211.66,869.48;639.67,908.46;
00000266.png 623.53,355.16;1161.08,323.6;1208.34,873.37;641.16,911.73;
00000300.png 623.34,361.87;1157.44,329.59;1204.15,875.8;639.73,914.91;
00000333.png 623.28,367.86;1154.76,336.93;1200.66,880.02;639.23,918.14;
00000367.png 624.1,382.35;1148.32,352.13;1193.26,890.01;638.78,926.9;
00000400.png 623.24,388.86;1144.17,359.48;1190.19,894.02;638.4,930.74;
00000433.png 624.54,393.85;1140.64,366.83;1185.43,897.86;638.67,932.57;
00000467.png 623.54,403.03;1137.96,372.83;1182.58,902.5;637.88,938.22;
00000500.png 622.85,412.69;1132.58,385.11;1175.39,908.56;636.11,943.57;
00000533.png 624.13,418.78;1129.33,391.9;1172.14,911.89;635.17,947.25;
00000567.png 621.7,425.53;1126.57,397.85;1168.73,916.78;634.27,951.62;
00000600.png 621.77,431.42;1122.67,403.69;1165.34,919.06;634.37,954.76;
00000633.png 621.79,435.78;1120.65,408.49;1162.98,922.74;633.37,957.32;
00000667.png 622.01,443.25;1116.67,416.89;1159.33,927.69;633.48,961.72;
00000700.png 621.03,447.99;1116.46,420.58;1157.87,928.52;633.76,963.98;
00000734.png 622.5,449.11;1114.26,423.98;1156.45,927.94;636.53,961.97;
00000767.png 624.94,452.91;1112.84,425.58;1155.04,927.98;637.99,962.69;
00000800.png 625.89,458.27;1111.29,430.15;1153.09,928.14;638.96,963.92;
00000834.png 627.1,460.02;1109.46,431.79;1151.5,928.57;640.06,963.14;
00000867.png 626.95,460.42;1108.24,433.25;1149.67,927.1;640.62,963.54;
00000900.png 627.36,462.78;1106.76,435.1;1148.56,928.6;640.54,963.13;
00000934.png 627.93,464.24;1105.03,436.5;1146.89,927.44;641.66,961.8;
00000967.png 629.48,466.47;1101.95,438.22;1144.25,922.39;644.35,959.71;
00001001.png 631.36,466.64;1101.26,437.67;1143.73,921.57;646.02,956.02;
00001034.png 634.05,467.3;1100.55,438.64;1141.97,917.96;650.1,954.97;
00001067.png 635.85,466.26;1100.17,437.9;1142.44,914.64;651.91,951.42;
00001101.png 644.45,465.05;1097.18,438.85;1140.04,906.56;659.58,942.28;
00001134.png 643.6,464.69;1100.22,434.88;1142.05,904.27;660.78,941.27;
00001167.png 645.69,464.22;1101.39,434.31;1143.15,901.14;663.03,937.65;
00001201.png 647.22,460.55;1102.99,432.48;1142.97,897.63;665.2,933.38;
00001234.png 651.12,460.77;1102.46,431.64;1144.03,894.91;669.1,930.4;
00001267.png 656.98,461.84;1101.02,433.54;1142.06,888.7;675.78,925.13;
00001301.png 658.68,459.89;1104.6,430.02;1145.47,888.16;677.37,923.31;
00001334.png 661.78,459.75;1104.99,429.97;1146.37,884.97;679.81,921.14;
00001368.png 663.58,461.21;1105.23,430;1146.55,884.26;683.09,919.82;
00001401.png 669.09,462.5;1107.87,431.34;1148.3,880.66;688.3,916.71;
00001434.png 671.53,462.03;1107.8,431.63;1149.77,879.73;693.24,916.27;
00001468.png 673.83,463.01;1106.85,432.64;1152.47,879.6;698.78,915.36;
00001501.png 678.1,466.05;1106.32,435.98;1149.17,874.59;702.69,910.69;
00001534.png 678.51,466.63;1108.13,433.49;1152.79,874.82;702.74,912.83;
00001568.png 682.65,469.67;1109.67,435.55;1153.9,872.71;706.73,912.56;
00001601.png 685.36,472.11;1109.88,437.41;1154.24,872.19;709.82,911.72;
00001634.png 685.89,471.02;1109.66,436.56;1154.72,871.23;710.9,909.86;
00001668.png 689.38,473.32;1109.28,438.13;1154.68,870.52;714.8,910.08;
00001701.png 690.06,475.14;1108.68,439.14;1154.71,868.53;715.27,909.99;
00001735.png 690.99,476.62;1107.01,438.54;1153.66,864.51;718.1,907.04;
00001768.png 692.52,478.12;1105.73,439.42;1153.14,864.18;720.33,906.27;
00001801.png 693.05,477.81;1105.28,439.46;1153.14,862.26;721.44,904.71;
00001835.png 695.9,479.09;1104.19,440.17;1151.77,860.42;723.76,903.7;
00001868.png 696,481.89;1101.7,442.13;1149.73,859.38;724.68,903.12;
00001901.png 694.93,482.69;1101.17,442.47;1150.42,859.34;725.4,902.92;
00001935.png 695.1,484.55;1100.09,443.84;1149.78,859.64;725.38,903.28;
00001968.png 698.58,487.11;1099.34,445.49;1149.14,858.59;729.47,903.44;
00002002.png 699.24,488.39;1100.32,446.77;1149.98,857.5;731.54,902.52;
00002035.png 702.23,491.52;1101.42,449.83;1151.35,858.56;735.94,903.12;
00002068.png 707.5,494.96;1100.16,453.68;1150,857.12;739.61,901.72;
00002102.png 708.22,495.37;1103.14,453.43;1152.66,858.35;741.68,904.3;
00002135.png 711.98,496.05;1104.31,453.99;1153.42,856.48;745.62,901.34;
00002168.png 718.2,499.09;1102.42,457.7;1152.9,853.19;752.47,897.01;
00002202.png 717.48,497.24;1105.96,456.35;1154.73,854.31;750.83,897.46;
00002235.png 720.65,497.72;1105.82,458.07;1152.58,852.35;753.59,896.65;
00002268.png 722.93,499.02;1104.82,459.08;1152.77,852.04;753.79,895.13;
00002302.png 722.38,497.28;1103.59,460.15;1151.04,850.27;755.75,893.15;
00002335.png 723.33,500.84;1101.85,460.77;1148.22,850.15;754.16,890.72;
00002369.png 722.34,500.18;1099.72,461.4;1146.67,847.77;752.8,889.72;
00002402.png 724.01,503.18;1097,463.36;1143.99,848.42;753.78,889.54;
00002435.png 724.54,503.09;1096.59,463.88;1143.11,846.48;755.36,887.76;
00002469.png 725.74,505.74;1092.49,468.68;1136.57,844.83;755.2,886.15;
00002502.png 724.82,505.8;1093.42,466.97;1138.16,847.52;753.82,887.86;
00002535.png 723.71,506.36;1089.85,469.72;1136.27,846.87;754.09,888.4;
00002569.png 723.2,508.37;1090.54,470.21;1135.22,847.89;751.84,888.43;
00002602.png 723.56,508.64;1090.67,470.85;1135.35,848.41;752.33,887.82;
00002635.png 728.5,509.76;1087.43,472.03;1133.29,844.26;755.25,884.27;
00002669.png 723.11,506.19;1089.42,469.04;1134.86,845.03;752.68,885.62;
00002702.png 723.78,507.56;1086.26,469.11;1133.15,843.52;753.66,882.98;
00002736.png 721.02,503.26;1088.46,465.22;1135.26,846.02;753.75,886.36;
00002769.png 718.75,500.91;1092,461.18;1137.73,844.58;747.71,886.62;
00002802.png 717.78,497.52;1093.49,459.96;1140.43,844.99;747.58,886.54;
00002836.png 717.65,495.2;1095.73,456.87;1142.15,843.71;747.35,885.34;
00002869.png 717.22,493.38;1096.92,452.86;1143.82,844.07;746.82,885.58;
00002902.png 715.36,488.17;1095.58,449.84;1143.17,841.7;746.49,883.99;
00002936.png 711.94,483.37;1099.96,443.42;1147.1,840.73;742.24,883.5;
00002969.png 711.37,480.71;1098.1,441.01;1145.2,835.4;743.21,879.35;
00003003.png 707.66,475.24;1099.81,435.49;1146.84,835.41;737.37,880.17;
00003036.png 704.62,470.19;1098.79,430.56;1146.21,835.46;734.71,877.3;
00003069.png 704.34,469.22;1094.74,427.61;1142.43,829.11;736.43,871.52;
00003103.png 698.62,457.73;1097.74,418.43;1144.35,825.45;728.18,868.51;
00003136.png 697.24,453.26;1096.74,414.24;1143.46,823.6;727.31,865.89;
00003169.png 694.26,448;1096.4,409.76;1143.16,820.35;724.55,863.02;
00003203.png 692.52,446.04;1096.29,407.3;1142.85,819.9;720.99,862.15;
00003236.png 688.44,438.38;1095.89,399.53;1142.88,815.61;717.34,857.56;
00003269.png 685.21,435.25;1095.8,397.35;1141.62,815.56;714.39,858.04;
00003303.png 683.46,432.44;1094.58,394.06;1141.17,814.65;711.59,855.21;
00003336.png 680.33,426.48;1092.81,389.1;1142.96,810.77;709.81,853.18;
00003370.png 678.57,423.37;1094.25,385.62;1141.47,809.71;706.71,852.47;
00003403.png 670.32,414.19;1091.53,378.26;1140,807.5;702.91,850.16;
00003436.png 669.01,414.17;1094.24,375.57;1140.01,807.69;698.23,849.76;
00003470.png 668.43,409.74;1094.15,371.48;1140.33,805.32;697.73,847.54;
00003503.png 669.23,406.31;1095.74,368.49;1141.69,803.61;697.35,845.49;
00003536.png 665.42,397.59;1096.69,360.64;1141.4,798.47;694.72,841.37;
00003570.png 662.95,395.29;1096.83,356.65;1142.79,797.68;692.72,840.39;
00003603.png 661.89,390.82;1097.19,353.14;1144.17,796.26;690.84,838.81;
00003636.png 659.69,387.37;1097.46,349.78;1143.95,793.42;688.99,837.24;
00003670.png 657.36,382.64;1098.29,345.57;1145.44,793.69;685.38,836;
00003703.png 652.85,378.17;1098.1,339.94;1145.08,792.54;682.76,834.73;
00003737.png 649.11,375.62;1097.79,336.92;1145.22,791.98;678.96,835.84;
00003770.png 647.79,375;1094.85,336.82;1142.49,788.82;679.26,835.22;
00003803.png 644.23,371.88;1097.88,332;1145.17,791.89;674.97,836.78;
00003837.png 639.47,365.14;1097.57,325.85;1145.32,790.86;669.95,834.82;
00003870.png 637.41,361.14;1096.72,323.18;1144.76,788.88;667.37,834.53;
00003903.png 632.45,360.28;1095.46,320.95;1143.64,791.44;663.5,836.83;
00003937.png 629.59,360.11;1093.74,320.83;1142.81,793;658.96,839.27;
00003970.png 626.59,357.93;1094.68,318.57;1142.65,795.42;656.22,840.02;
00004004.png 622.03,351.64;1093.46,314.05;1142.23,790.55;652.41,837.55;
00004037.png 621.71,349.32;1096.79,310.14;1146.32,791.82;651.49,838.32;
00004070.png 619.82,344.94;1098.89,305.82;1148.5,790.69;649.63,837.4;
00004104.png 617.93,342.06;1101.16,302.07;1150.47,791.93;648.3,838.08;
00004137.png 616.83,333.89;1105.77,295.27;1154.91,791.15;647.06,836.74;
00004170.png 613.2,331.14;1107.18,291.48;1156.75,792.12;644.17,837.5;
00004204.png 612.81,326.2;1108.67,288.23;1156.46,788.88;642.42,834.15;
00004237.png 611.64,323.61;1111.34,285.14;1159.73,790.76;642.08,836.61;
00004270.png 610.26,320.8;1108.97,280.68;1158.71,790.86;641.39,837.02;
00004304.png 605.81,313.72;1115.17,275.37;1163.75,791.17;636.21,836.16;
00004337.png 604.08,309.05;1114.76,270.7;1163.7,789.29;633.06,834.3;
00004371.png 600.78,305.87;1116.47,268.54;1164.44,788.84;629.92,834.42;
00004404.png 599.59,300.94;1114.79,264.64;1165.51,786.99;629.12,835.35;
00004437.png 594.04,290.71;1119.64,255.05;1167.76,785.35;622.37,829.39;
00004471.png 593.42,287.92;1120.16,251.7;1167.67,784.12;621.74,827.76;
00004504.png 591.59,280.88;1122.47,246.14;1170.1,782.22;617.25,825.75;
00004537.png 589.49,276.03;1123.88,241.44;1171.02,780.51;615.22,826.08;
00004571.png 586.76,271.31;1124.08,236.04;1172.98,779.72;612.61,823.54;
00004604.png 583.06,259.9;1130.12,224.68;1177.77,776.72;609.43,819.96;
00004637.png 579.57,252.87;1132.73,216.69;1180.36,773.92;606.05,817.39;
00004671.png 578.1,247.35;1133.88,212.57;1181.59,773.72;603.52,817.03;
00004704.png 575.04,242.77;1135.44,208.14;1183.42,774.81;600.15,817.77;
00004738.png 572.26,239.89;1136.5,204.86;1184.37,774.64;597.04,818.76;
00004771.png 566.09,233.6;1138.68,199.18;1187.51,777.83;590.89,821.91;
00004804.png 563.52,230.93;1140.77,196.77;1189.62,781.61;587.41,824.71;
00004838.png 560.66,231.81;1141.06,198.41;1188.3,779.99;591.43,823.56;
00004871.png 559.81,227.36;1142.81,196.56;1190.71,784.51;584.9,826.43;
00004904.png 552.23,222.74;1150.38,189.84;1200.25,792.59;575.48,835.6;
00004938.png 553.17,220.97;1153.67,188.09;1203.14,794.73;575.07,838.23;
00004971.png 552.05,217.03;1157.56,186.57;1207.24,797.6;573.46,840.5;
00005005.png 551.72,216.18;1162.67,183.2;1212.02,798.97;572.87,841.82;
00005038.png 550.82,211.5;1168.39,180.26;1217.88,801.28;571.77,844.61;
00005071.png 554.81,207.51;1178.63,175.63;1229.66,807.82;574.37,849.98;
00005105.png 554.81,203.44;1185.39,171.7;1235.69,808.47;574.3,850.8;
00005138.png 560.46,201.53;1191.69,170.88;1242.07,810.23;578.45,851.34;
00005171.png 565.9,203.05;1192.4,172.16;1246.1,809.5;585.26,849.81;
00005205.png 570.65,191.37;1214.11,161.28;1265.2,815.29;586.67,854.6;
00005238.png 573.22,188.75;1222.77,158.27;1273.54,817.35;587.85,855.84;
00005271.png 574,184.5;1230.28,153.49;1280.9,819.72;589.33,856.99;
00005305.png 576.72,182.77;1235.74,152;1287.87,822.81;590.93,859.77;
00005338.png 578.4,178.41;1242.14,149.1;1293.95,826.61;590.34,862.97;
00005372.png 575.1,172.53;1252.26,143.27;1305.36,833.77;587.96,870.46;
00005405.png 575.04,170.07;1257.53,141.13;1310.07,836.58;586.8,872.45;
00005438.png 571.99,167.7;1261.95,136.11;1315.24,840.46;583.1,876.81;
00005472.png 569.09,162.59;1266.4,132.45;1319.24,843.41;580.09,879.72;
00005505.png 565.42,157.81;1267.86,129.99;1323.6,847.71;575.23,886.71;
00005538.png 558.23,154.62;1273.74,124.66;1328.31,855.31;568.98,892.74;
00005572.png 554.08,152.83;1275.83,121.68;1330.14,859.6;564.37,896.47;
00005605.png 549.3,149.49;1277.42,119.49;1332.85,862.49;557.14,901.84;
00005638.png 543.45,146.52;1278.24,116.63;1334.53,868.09;552.4,905.52;
00005672.png 533.12,141.84;1280.04,111.78;1336.5,873.64;540.23,913.72;
00005705.png 525.95,137.55;1276.13,108.09;1336.35,874.49;539.25,915.3;
00005739.png 520.12,134.48;1279.44,104.5;1338.01,873.99;530.03,920.71;
00005772.png 516.48,130.76;1281.6,100.3;1338.7,879;523.81,919.42;
00005805.png 507.34,122.51;1280.21,92.32;1338.8,882.36;515.11,923.09;
00005839.png 504.07,117.24;1278.67,89.01;1336.83,880.12;514.74,919.89;
00005872.png 500.01,116.64;1282.17,86.75;1340.04,885.62;505.8,925.82;
00005905.png 495.06,113.59;1281.47,84.61;1340.52,887.53;501.76,928.07;
00005939.png 492.27,110.71;1283.79,81.92;1341.53,890.56;498.42,931.67;
00005972.png 486.37,106;1285.95,78.86;1343.56,893.47;492.43,934.9;
00006006.png 482.73,103.08;1288.05,76.03;1344.77,896.31;488.4,936.5;
00006039.png 481.55,101.25;1288.68,74.46;1346.41,897.27;486.24,937.49;
00006072.png 481.11,98.7;1290.6,71.7;1347.82,898.88;483.93,939.52;
00006106.png 478.06,96.51;1293.11,69.77;1349.37,900.78;482.55,940.96;
00006139.png 475.56,92.49;1296.05,67.5;1353.38,904.88;478.76,944.62;
00006172.png 474,91.64;1298.48,65.49;1355.5,906.5;476.66,946.29;
00006206.png 472.43,90.72;1301.08,65.53;1358.29,909.04;475.8,947.48;
00006239.png 471.05,89.12;1303.67,63.69;1361.59,911.27;473.57,950.43;
00006272.png 470.59,85.14;1309.21,61.12;1366.86,916.82;470.93,955.7;
00006306.png 468.27,84.99;1311.11,59.54;1370.19,920.6;469.61,959.92;
00006339.png 466.37,84.45;1314.51,60.15;1372.58,924.12;468.01,963.61;
00006373.png 470.88,89.68;1311.27,65.11;1371.81,923.45;471.69,965.27;
00006406.png 464.01,83.21;1313.45,60.82;1376.26,929.52;466.51,971.84;
00006439.png 461.2,92.05;1315.87,67.36;1376.76,940.69;462.92,982.47;
00006473.png 460.66,96.05;1313.28,70.79;1376.24,944.63;461.62,986.11;
00006506.png 460.67,101.96;1312.81,75.64;1373.73,944.47;464.04,987.47;
00006539.png 462.01,106.66;1309.39,79.94;1372.76,944.99;465.02,988.67;
00006573.png 468.1,117.02;1305,86.94;1369.88,941.49;473.21,986.42;
00006606.png 472.52,122.52;1301.61,93.52;1367.79,938.94;480.62,983.99;
00006639.png 479.19,131.12;1291.93,100.83;1360.73,932.22;489.86,980.13;
00006673.png 479.57,134.78;1294.48,103.05;1363.21,932.69;488.67,981.57;
00006706.png 484.88,142.87;1289.38,110.28;1359.35,929.23;496.22,978.58;
00006740.png 493.11,154.7;1281.11,118.17;1354.03,917.41;506.69,969.9;
00006773.png 500.45,162.09;1271.61,126.33;1345.96,908.64;516.52,964.06;
00006806.png 505.37,165.4;1271.05,127.37;1348.72,905.95;521.89,960.82;
00006840.png 511.08,170.08;1265.18,133.09;1345.32,896.97;530.21,952.13;
00006873.png 524.82,182.76;1261.05,140.26;1344.32,886.28;546.12,946.42;
00006906.png 532.5,187.52;1259.28,143.93;1345.03,879.01;555.17,940.06;
00006940.png 539.45,191.43;1258.35,146.59;1346.94,871.17;565.09,934.63;
00006973.png 550.19,198.55;1257.87,151.37;1347.91,864.48;579,930.22;
00007007.png 560.24,205.07;1257.77,156.36;1351.79,859.37;587.74,925.94;
00007040.png 581.89,214.23;1255.5,166.79;1350.97,843.32;614.93,910.21;
00007073.png 588.69,219.31;1257.74,167.81;1356.8,841.96;621.25,910.12;
00007107.png 596.22,224.18;1256.95,171.71;1357.52,836.6;628.78,905.13;
00007140.png 599.43,226.32;1255.89,173.47;1358.34,831.86;633.05,900.22;
00007173.png 608.48,235.94;1249.63,182.56;1352.7,820.75;643.01,892.54;
00007207.png 613.38,240.58;1245.52,186.78;1349.83,818.35;646.19,887.91;
00007240.png 615.44,243.85;1242.97,190.24;1347.19,812.07;647.97,883.95;
00007273.png 621.54,247.52;1236.86,196.66;1339.24,807.41;655.79,876.09;
00007307.png 627.18,252.82;1234.63,200.8;1336.75,800.58;660.3,868.38;
00007340.png 628.68,252.53;1231.17,201.72;1332.89,794.09;657.72,860.13;
