00000066.png 662.26,319.09;1187.87,305.22;1216.88,844.44;653.36,858.52;
00000100.png 665.22,318.32;1184.89,308.01;1214.26,839.99;657.53,852.16;
00000133.png 667.17,316.77;1184.82,305.01;1215.01,837.35;659.06,851.54;
00000166.png 665.17,315.72;1189.6,303.22;1217.29,838.98;655.97,852.6;
00000200.png 664.48,315.07;1189.31,301.66;1216.9,838.63;656.23,852.73;
00000233.png 665.08,312.05;1189.52,301.57;1216.63,837.69;657.78,849.83;
00000266.png 667.66,312.7;1187.6,301.51;1216.18,834.34;658.78,845.48;
00000300.png 665.97,312.45;1190.42,300.1;1217.51,834.97;656.42,847.25;
00000333.png 666.3,310.37;1190.94,298.12;1218.01,833.92;657.54,845.43;
00000367.png 667.48,305.92;1190.7,296.11;1217.26,830.63;658.42,842.19;
00000400.png 666.03,306.61;1191.24,295.33;1218.43,829.65;657.62,842.57;
00000433.png 666.78,306.6;1191.39,295.45;1216.31,827.63;657.02,842.35;
00000467.png 667.94,304.04;1191.5,294.82;1218.45,830.98;657.75,841.9;
00000500.png 668.54,304.99;1192.71,293.9;1218.47,829.87;658.23,841.63;
00000533.png 668.51,305.22;1193.72,294.87;1218.42,829.47;659.27,841.7;
00000567.png 670.9,302.59;1192.56,294.44;1220,829.42;661.15,840.98;
00000600.png 675.26,307.51;1195.64,294.58;1220.78,825.98;667.29,837.24;
00000633.png 676.98,302.27;1197.95,294.08;1224.21,826.59;668.03,836.84;
00000667.png 681.96,303.76;1204.95,293.07;1229.73,825.93;672.36,837.71;
00000700.png 683.99,304.41;1207.06,294.59;1233.69,828.13;675.22,839.32;
00000734.png 692.48,304.59;1210.8,296.25;1239.46,827.34;682.38,835.98;
00000767.png 696.3,305.02;1215.75,296.62;1243.62,826.88;687.66,837.59;
00000800.png 700.53,304.29;1221.9,294.34;1249.63,829.93;690.8,837.76;
00000834.png 713.33,303.3;1237.56,293.5;1265.21,831.49;703.51,840.35;
00000867.png 719.85,302.91;1245.9,294.31;1273.89,832.85;710.8,840.8;
00000900.png 735.08,302.03;1260.9,295.04;1288.5,832.28;727.92,838.93;
00000934.png 743.9,302.64;1268.13,294.97;1296.21,830.53;737.62,837.89;
00000967.png 762.63,302.24;1288.05,295.09;1316.71,832.51;754.91,837.59;
00001001.png 775.3,301.3;1297.62,294.49;1325.93,830.21;766.86,835.86;
00001034.png 793.12,300.74;1318.88,293.54;1348.44,832.07;787.04,835.79;
00001067.png 803.92,299.81;1328.61,293.01;1358.3,829.62;801.71,834.3;
00001101.png 814.21,299.6;1340.49,292.27;1370.38,831.68;808.12,834.3;
00001134.png 834.87,297.36;1358.12,292.52;1391.25,828.62;831.86,831.49;
00001167.png 846.06,298.74;1372.84,292.38;1403.33,831.09;841.57,832.91;
00001201.png 867.39,296.8;1395.44,291.64;1426.64,831.36;864.11,832.44;
00001234.png 879.02,296.43;1405.54,292.24;1437.57,830.17;876.13,831.61;
00001267.png 898.24,297.23;1428.97,292.5;1461.84,833.2;896.57,834;
00001301.png 910.87,298.66;1436.54,295.12;1471.7,832.88;909.16,833.09;
00001334.png 920.09,298.26;1449.53,293.97;1483.53,835.62;919,835;
00001368.png 941.56,303.42;1468.48,297.4;1504.01,835.14;941.87,835.75;
00001401.png 949.64,302.08;1481.05,296.78;1516.18,839.61;949.44,838.78;
00001434.png 971.48,303.44;1500.97,300.59;1536.49,842.27;971.28,841.52;
00001468.png 981.15,305.05;1509.66,301.27;1545.73,838.28;983.86,837.94;
00001501.png 1000.8,304.74;1529.83,302.26;1567.72,843.52;1003.49,841.67;
00001534.png 1010.12,304.77;1541.38,304.12;1577.13,845.62;1013.36,842.61;
00001568.png 1019.6,305.73;1551.76,304.26;1589.22,847.45;1021.64,844.77;
00001601.png 1041.32,304.3;1572.47,305;1610.81,848.06;1043.74,845.27;
00001634.png 1050.42,306.25;1584.88,305.86;1622.12,849.76;1053.74,846.54;
00001668.png 1072.15,305.2;1605.85,307.06;1644.55,850.64;1076.32,846.22;
00001701.png 1082.61,307.34;1615.83,307.77;1655.51,853.17;1086.52,847.83;
00001735.png 1105.73,305.37;1639.72,308.86;1679.22,854.54;1108.21,848.71;
00001768.png 1114.38,306.1;1651.02,309.02;1690.16,856.24;1118.3,848.69;
00001801.png 1125.78,306.44;1659.94,311.33;1699.26,856.61;1130.63,848.51;
00001835.png 1144.27,307.11;1682.08,311.73;1720.95,858.78;1147.36,851;
00001868.png 1154.48,306.91;1692.02,312.75;1731.12,861.01;1157.64,851.19;
00001901.png 1173.26,307.82;1711.16,313.22;1750.3,862.72;1176.59,852.84;
00001935.png 1182.6,307.93;1720.58,316.06;1758.64,860.53;1188.24,852.61;
00001968.png 1199.73,307.01;1736.96,316.54;1775.19,860.87;1206.37,853.65;
00002002.png 1207.4,307.53;1748.5,315.16;1787.39,866.5;1212.69,854.43;
00002035.png 1224.59,306.38;1765.4,315.34;1806.18,867.39;1229.51,855.17;
00002068.png 1233.05,305.72;1773.01,316.2;1813.34,867.28;1238.84,853.54;
00002102.png 1239.21,305.24;1781.31,314.93;1822.33,867.06;1244.33,853.94;
00002135.png 1250.88,303.62;1792.24,313.92;1834.14,865.96;1255.15,853.78;
00002168.png 1256.8,304.83;1794.37,314.62;1837.3,863.18;1259.96,852.6;
00002202.png 1259.44,301.32;1802.99,310.32;1844.94,863.6;1264.12,851.49;
00002235.png 1259.56,300.56;1803.1,308.64;1844.73,860.77;1266.62,848.99;
00002268.png 1256.3,297.8;1798.82,305.21;1840.53,857.71;1262,847.75;
00002302.png 1251.92,296.04;1793.73,303.72;1835.93,855.45;1259.24,845.62;
00002335.png 1245.23,296.23;1787.91,302.75;1829.48,853.12;1251.18,843.75;
00002369.png 1226.83,294.39;1768.53,299.17;1810.14,849.85;1232.63,841.62;
00002402.png 1216.37,291.8;1756.1,298.78;1796.8,845.68;1223.42,837.73;
00002435.png 1189.01,289.81;1728.97,294.71;1769.66,843.55;1194.99,837.48;
00002469.png 1174.35,292.5;1712.65,292.72;1753.59,840.68;1179.38,836.25;
00002502.png 1141.42,289.1;1680.5,288.76;1720.31,836.7;1146.11,832.11;
00002535.png 1123.46,288.32;1662.95,286.72;1703.1,832.77;1128.99,830.3;
00002569.png 1109.75,288.46;1642.89,287.43;1682.71,825.84;1118.45,826.18;
00002602.png 1074.2,283.58;1606.21,281.04;1646.77,822.93;1077.49,821.97;
00002635.png 1053.86,282.04;1590.65,277.09;1630.6,823.19;1058.39,822.87;
00002669.png 1016.47,278.82;1554.38,271.97;1591.05,817.17;1020.52,819.58;
00002702.png 999.65,277.25;1534.98,270.1;1572.66,815.68;1001.89,818.23;
00002736.png 964.7,274.66;1497.89,267.21;1534.07,808.84;967.36,813.28;
00002769.png 945.68,273.21;1478.79,264.58;1515.39,807.9;947.66,812.95;
00002802.png 928.42,271.36;1459.62,262.34;1495.93,802.11;933.5,808.95;
00002836.png 891.76,266.92;1423.59,258.39;1460.54,800.12;893.24,807.1;
00002869.png 875.51,267.48;1406.9,257.47;1442.21,798.44;875.73,805.83;
00002902.png 838.28,266.11;1369.43,253.95;1405.27,795.76;839.03,804.79;
00002936.png 820.04,264.31;1351.19,253.83;1385.68,794.03;819.53,804.05;
00002969.png 783.08,264.4;1316.25,250.81;1349.83,792.52;780.49,804.21;
00003003.png 765.52,262.56;1298.47,250.35;1330.93,791.25;762.57,804.74;
00003036.png 729.78,264.19;1261.99,250.48;1293.05,787.25;729.65,802.63;
00003069.png 712.1,261.54;1242.55,248.96;1275.31,788.62;708.97,803.95;
00003103.png 695.53,264.78;1225.06,249.11;1257.13,788.98;691.08,805.34;
00003136.png 660.39,264.31;1191.89,248.43;1222.68,788.77;655.27,806.82;
00003169.png 641.78,265.7;1175.28,248.48;1205.62,787.16;636.16,807.18;
00003203.png 607.79,264.81;1141.2,247.83;1170.49,787.43;600.67,809.31;
00003236.png 590.83,265.48;1124.32,247.27;1153.96,787.03;584.64,809.57;
00003269.png 561.17,267.59;1087.36,249.86;1117.19,782.69;554.35,808.15;
00003303.png 542.24,264.03;1074.56,247.26;1103.37,784.68;536.17,808.68;
00003336.png 526.23,264.23;1058.15,245.67;1087.4,784.12;519.16,809.51;
00003370.png 490.48,265.51;1026.33,245.42;1053.38,779.2;487.63,809.52;
00003403.png 477.69,265.81;1012.68,243.82;1040.7,782.48;469.58,811.96;
00003436.png 445.43,264.87;980.53,242.27;1009.56,780.78;438.91,812.59;
00003470.png 429.6,265.72;965.5,241.85;995.25,780.38;423.77,812.99;
00003503.png 402.4,269.03;934.7,242.38;965.65,778.76;395.38,814.33;
00003536.png 385.91,271.79;921.75,243.93;952.81,780.4;380.89,816.87;
00003570.png 370.02,271.26;908.26,243.77;939.01,781.74;366.27,820.8;
00003603.png 341.04,278.19;876.75,246.92;908.1,783.25;338.21,826.22;
00003636.png 325.8,277.08;864.37,246.8;895.82,786.21;322.72,828.83;
00003670.png 296.24,285.56;833.2,250.92;866.26,788.14;295.31,834.27;
00003703.png 280.76,287.98;820.8,250.81;854.76,790.15;279.78,837.64;
00003737.png 251,294.87;793.66,253.22;828.75,795.87;252.2,845.36;
00003770.png 238.88,297.71;779.24,255.71;815.83,797.66;240.22,849.94;
00003803.png 211.87,304.8;754.17,258.98;790.96,802.97;214.3,856.8;
00003837.png 199.02,305.65;738.98,261.4;778.22,805.25;200.95,860.91;
00003870.png 183.15,310.99;726.58,263.4;764.3,806.55;189.36,864.34;
00003903.png 156.76,318.27;701.43,267.52;740.12,812.51;164.6,872.53;
00003937.png 145.71,319.35;688.57,268.46;731.31,813.84;153.32,875.92;
00003970.png 125.9,321.84;673.55,268.92;714.82,820.14;131.05,881.69;
00004004.png 117.22,323.47;666.04,270.11;706.59,820.16;123.27,883.84;
00004037.png 104.81,326.8;654.09,271.79;696.61,824.17;111.43,887.33;
00004070.png 103.6,324.32;650.74,273.31;694.46,824.9;109.72,887.66;
00004104.png 103.24,327.14;653.17,272.81;695.06,825.85;109.17,889.58;
00004137.png 113.42,327.64;658.23,276.24;700.62,825.79;119.95,887.05;
00004170.png 120.05,325.48;670.61,274.61;712.69,826.94;128.55,888.04;
00004204.png 147.13,323.35;696.93,274.68;738.56,825.2;156.87,883.49;
00004237.png 165.92,321.43;713.64,274.98;755.8,823.87;173.92,879.13;
00004270.png 206.02,313.4;752.88,271.21;795.33,818.41;212.8,871.27;
00004304.png 228.28,311.25;774.67,270.4;814.59,815.85;234.24,868.87;
00004337.png 251.49,305.89;797.41,268.24;837.83,813.42;257.74,863.32;
00004371.png 300.61,296.23;847.08,261.94;885.89,808.81;305.06,853.78;
00004404.png 326.61,291.23;872.9,260.38;912.36,804.98;332.07,847.59;
00004437.png 386.88,281.91;934.27,256.06;968.65,800.01;392.41,837.73;
00004471.png 419.75,276.43;963.88,252.61;1001.74,796.59;422.43,831.64;
00004504.png 490.45,269.39;1031.7,249.34;1066.01,794.49;491.09,821.23;
00004537.png 525.51,265.43;1064.19,251.32;1097.22,790.87;529.69,815.38;
00004571.png 557.59,261.81;1102.14,247.71;1137.01,793.33;556.8,813.75;
00004604.png 637.25,257.65;1175.24,249.51;1207.5,794.62;634.25,807.19;
00004637.png 674.11,255.25;1213.97,249.64;1247.81,795.28;668.76,806.05;
00004671.png 751.45,259.49;1288.9,257.08;1316.57,802.7;747.84,804.87;
00004704.png 789.72,260.39;1328.59,260.27;1356.8,807.27;781.88,806.01;
00004738.png 864.33,262.74;1405.4,268.38;1434.39,817.73;857.22,809.28;
00004771.png 902.64,265.19;1443.9,272.93;1471.46,823.98;893.26,811.89;
00004804.png 976.16,272.16;1518.74,283.23;1543.75,835.04;969.29,818.05;
00004838.png 1010.49,273.71;1553.71,287.21;1581.25,840.21;999.25,821.1;
00004871.png 1044.41,275.6;1588.31,292.83;1610.42,845.47;1032.8,823.63;
00004904.png 1106.15,284.86;1651.14,304.46;1673.89,854.26;1099.46,832.16;
00004938.png 1135.43,286.18;1678.89,307.24;1700.77,862.14;1121.82,835.15;
00004971.png 1175.32,288.53;1722.21,311.32;1743.95,868.31;1160.3,839.17;
00005005.png 1188.68,287.82;1733.97,312.27;1756.14,869.03;1172.5,839.65;
00005038.png 1194.05,289.2;1741.63,312.9;1762.57,868.93;1178.86,840.76;
00005071.png 1187.66,287.17;1739.57,310;1758.43,871.46;1169.4,841.86;
00005105.png 1174.88,287.73;1726.37,308.09;1745.42,870.08;1156.21,841.13;
00005138.png 1129.93,283.59;1683.38,301.9;1701.97,863;1113.12,838.28;
00005171.png 1101.6,281.37;1655.47,297.2;1671.83,859.52;1083.45,834.61;
00005205.png 1037.83,277.54;1587.52,288.16;1604.11,849.92;1012.53,831.05;
00005238.png 997.03,276.73;1543.59,284.13;1565.76,843.62;975.26,827.82;
00005271.png 909.51,271.65;1462.41,272.26;1484.88,834.2;893.12,823.07;
00005305.png 870.99,269.98;1412.84,270.57;1436.44,820.26;852.55,818.62;
00005338.png 822.48,268.48;1368.66,262.99;1390.92,819.72;805.6,821.12;
00005372.png 725.83,263.78;1269.33,252.38;1296.54,806.44;714.42,818.4;
00005405.png 672.48,261.74;1223.74,248.34;1250.75,802.11;654.71,818.88;
00005438.png 576.69,259.04;1127.05,238.48;1158.2,794.54;569.61,820.3;
00005472.png 526.95,257.46;1080.66,234.67;1113.03,789.38;518.83,822.14;
00005505.png 435.99,257.78;990.65,227.17;1025.51,784.06;429.88,823.71;
00005538.png 392.66,258.48;941.47,225.42;977.84,776.76;388.88,824.13;
00005572.png 346.72,259.81;905.26,222.48;940.51,779.35;347.19,827.38;
00005605.png 272.75,257.02;834.77,217.11;875.25,777.82;272.95,831.04;
00005638.png 237.91,256.37;802.56,213.73;841.95,778.1;238.76,832.55;
00005672.png 180.14,256.55;749.5,211.02;790.42,776.8;185.05,833.89;
00005705.png 163.25,255.02;728.7,209.89;770.35,775.62;167.13,832.22;
00005739.png 137.23,255.41;703.81,209.64;744.77,774.96;140.97,834.46;
00005772.png 133.5,256.61;701.78,209.11;743.02,776.32;138.2,836.1;
00005805.png 138.81,255.23;709.8,211.3;750.3,779.16;142.39,835.91;
00005839.png 150.3,257.2;719.32,213.81;758.12,776.13;155.29,833.3;
00005872.png 168.42,254.5;736.02,214.88;774.77,780.72;170.18,832.03;
