00000066.png 802.98,230.13;1421.3,236.84;1419.71,867.71;789.88,854.77;
00000100.png 804.81,231.85;1423.79,238.27;1419.75,869.33;791.48,856.48;
00000133.png 807.45,232.22;1423.34,239.84;1422.65,870.21;794.42,858.15;
00000166.png 807.08,234.34;1424.62,240.39;1422.7,869.67;792.84,858.38;
00000200.png 807.59,230.98;1427.43,240.13;1424.66,872.96;794.53,860.69;
00000233.png 809.9,235.28;1423.93,243.12;1423.97,869.49;795.78,859.77;
00000266.png 809.51,234.46;1426.37,242.35;1424.93,871.23;795.75,859.54;
00000300.png 808.4,236.42;1426.76,241.52;1425.14,873.07;798.13,861.47;
00000333.png 807.34,234.67;1426.83,241.81;1425.24,872.94;794.51,861.05;
00000367.png 807.24,237.45;1426.07,242.07;1425.12,872.88;797.55,862.07;
00000400.png 806.79,236.93;1424.91,242.95;1423.53,872.49;793.82,862.26;
00000433.png 806.07,238.42;1424.36,243.96;1422.9,875.22;798.19,863.25;
00000467.png 804.57,237.01;1423.33,243.71;1421.06,873.45;792.15,862.06;
00000500.png 805.88,239.82;1415.8,247.69;1416.32,870.92;795.38,859.77;
00000533.png 801.34,237.65;1419.26,243.66;1418.41,874.19;789.96,864.32;
00000567.png 799.51,238.91;1418.25,244.09;1416.48,874.48;786.98,864.27;
00000600.png 798.56,240.35;1416.72,244.62;1416.34,875.75;788.1,864.05;
00000633.png 798.89,238.9;1416.63,245.22;1416.58,874.41;787.47,865.08;
00000667.png 799.48,239.7;1417.69,244.96;1416.58,874.69;788.3,863.87;
00000700.png 800.5,241.09;1416.58,246.92;1416.43,876.68;788.35,864.44;
00000734.png 799.66,240.32;1417.44,245.94;1417.06,876.6;788.29,865.06;
00000767.png 800.25,240.41;1417.98,246.48;1416.9,876.94;788.37,865.85;
00000800.png 802.4,242.92;1412.21,250.82;1414.2,874.88;790.53,863.59;
00000834.png 798.47,241.81;1415.52,247.59;1415.96,876.76;787.4,866.22;
00000867.png 801.3,243.82;1415.72,248.47;1415.59,878.2;788.52,868.16;
00000900.png 799.54,243.46;1415.69,248.71;1415.57,876.79;787.58,866.57;
00000934.png 802.07,245.73;1414.04,251.97;1415.76,876.49;792.31,866.8;
00000967.png 800.41,243.5;1417.47,247.92;1418.21,877.32;789.58,866.67;
00001001.png 803.66,246.51;1414,250.88;1415.44,871.96;794.09,861.48;
00001034.png 801.62,242.19;1417.86,246.7;1418.32,875.71;791.54,866.56;
00001067.png 801.43,242.31;1417.41,245.9;1417.73,874.1;790.4,864.19;
00001101.png 800.21,243.81;1415.44,245.9;1416.85,875.32;789.45,864.02;
00001134.png 797.82,240.03;1415.41,244.28;1416.17,874.37;787.79,863.13;
00001167.png 796.95,239.72;1414.35,243.53;1415.34,874.6;786.25,862.67;
00001201.png 796.21,239.68;1414.53,243.94;1415.11,874.27;786.48,861.29;
00001234.png 796.79,238.35;1413.08,242.43;1414.21,871.08;787.89,861.23;
00001267.png 797.96,237.95;1415.48,241.17;1415.42,871.87;787.81,861.27;
00001301.png 799.75,237.82;1418.27,241.37;1417.85,872.27;789.33,859.99;
00001334.png 799.06,238.52;1416.22,241.16;1417.53,871.03;788.45,859.71;
00001368.png 798.56,239.56;1415.35,241.32;1416.82,870.91;788.76,861.36;
00001401.png 798.57,237.62;1413.03,240.25;1414.38,869.35;789.04,860.44;
00001434.png 798.06,237.49;1413.08,240.73;1414.69,870.04;787.64,859.19;
00001468.png 796.08,236.66;1412.51,240.25;1413.13,869.69;784.69,859.49;
00001501.png 794.92,235.32;1412.42,240.58;1412.92,868.73;784.46,858.24;
00001534.png 794.26,237.33;1411.93,240.43;1412.08,869.11;784.63,858.06;
00001568.png 795.79,237.61;1411.04,240.61;1411.42,869.23;785.81,859.02;
00001601.png 795.14,238.07;1410.55,241.63;1411.52,870.38;785.04,859.19;
00001634.png 797.66,240.38;1411.39,242.99;1411.53,871.49;786.69,860.87;
00001668.png 797.85,241.16;1411.54,242.87;1412.97,870.68;788.67,861.14;
00001701.png 800.49,240.76;1412.85,242.83;1415.4,871.86;789.15,860.12;
00001735.png 801.33,239.8;1416.01,242.25;1417.34,871.09;791.29,859.81;
00001768.png 802.65,241.19;1415.56,243.03;1418.39,870.25;793,860.04;
00001801.png 802.13,241.14;1414.53,245.99;1414.97,868.99;792.5,859.11;
00001835.png 800.88,241.27;1414.21,244.01;1414.76,871.96;791.66,861.9;
00001868.png 799.29,241.71;1412.08,244.73;1412.97,870.22;789.79,859.71;
00001901.png 796.58,241.51;1410.19,244.64;1411.46,872.13;786.49,863.46;
