00000066.png 542,252.33;1129.41,245.14;1146.17,845.59;528.99,855.68;
00000100.png 543.33,251.43;1130.47,245.62;1148.26,846.07;531.4,856.43;
00000133.png 543.65,253.09;1130.2,246.63;1148.03,844.16;533.1,856.14;
00000166.png 542.47,253.7;1130.71,244.86;1149.79,844.32;533.28,858.4;
00000200.png 541.28,251.85;1128.75,243.47;1149.52,842.92;533.99,857.09;
00000233.png 540.5,254.63;1128.09,241.6;1151.42,842.16;534.85,859.79;
00000266.png 537.64,257.24;1126.25,241.36;1152.88,841.63;535.63,861.02;
00000300.png 537.66,257.73;1123.43,239.54;1154.56,837.24;541.31,861.42;
00000333.png 538.02,259.58;1124.3,236.87;1157.91,834.54;543.03,864.06;
00000367.png 535.93,262.22;1123.16,234.42;1160.86,833.1;545.42,865.06;
00000400.png 531.89,264;1120.71,230.4;1165.12,829.17;550.05,868.21;
00000433.png 529.76,266.95;1117.22,229.46;1167.05,827.77;552.47,872.25;
00000467.png 525.58,269.53;1113.97,225.19;1169.47,823.45;553.95,873.66;
00000500.png 525.5,270.18;1111.8,221.17;1172.72,818.27;559.83,873.04;
00000533.png 525.11,275.73;1109.74,216.81;1178.33,812.8;566.19,875.66;
00000567.png 523.96,277.06;1107.44,213.38;1181.58,808.15;572.06,877.1;
00000600.png 519.68,279.26;1104.06,210.4;1184.23,804.84;576.55,879.23;
00000633.png 517.5,280.01;1102.42,205.05;1187.42,797.92;577.41,879.9;
00000667.png 514.21,281.86;1097.3,198.92;1191.66,792.39;583.44,882.92;
00000700.png 512.54,283.56;1095.19,194.16;1195.82,785.69;588.48,883.36;
00000734.png 509.22,283.06;1093.11,187.99;1200.38,777.96;594.32,883.95;
00000767.png 511.06,284.97;1090.61,180.05;1206.51,767.4;605.04,881.43;
00000800.png 509.32,284.91;1089.43,173.26;1212.92,761.36;611.75,882.16;
00000834.png 509.47,287.18;1087.21,168.17;1216.76,753.63;618.78,880.01;
00000867.png 510.34,290.58;1083.34,165.86;1219.01,746.34;626,879.44;
00000900.png 505.42,295.41;1077.91,161.14;1222.81,739.16;631.66,882.36;
00000934.png 502.55,299.12;1070.57,155.75;1225.97,734.33;637.26,884.88;
00000967.png 500.6,302.31;1069.55,151.01;1228.45,724.42;641.84,886.25;
00001001.png 494.35,306.02;1064.46,144.52;1234.64,721.33;647.97,888.79;
00001034.png 488.39,312.11;1054.9,139.63;1237.66,714.41;652.92,893.95;
00001067.png 486.01,317.72;1048.57,138.97;1238.37,709.85;657.57,897.26;
00001101.png 480.72,325.87;1042.47,138.23;1237.69,704.35;661.21,901.47;
00001134.png 471.88,336.84;1032.47,137.92;1242.11,705.31;661.99,913.4;
00001167.png 467.29,344.9;1025.32,137.84;1240.71,702.45;665.88,919.2;
00001201.png 461.94,349.94;1019.4,136.88;1242.3,700.47;667.39,923.12;
00001234.png 458.62,356.44;1013.65,136.12;1243.1,696.23;672.55,926.34;
00001267.png 454.59,363.08;1006.58,132.61;1247.46,691.35;679.65,931.11;
00001301.png 457.34,367.29;1001.51,132.65;1247.77,683.32;685.98,929.99;
00001334.png 457.81,372.24;999.73,129.71;1252.33,679.18;694.88,931.38;
00001368.png 458.51,377.32;998.57,130;1255.76,676.01;701.24,934.14;
00001401.png 460.37,386.02;997.5,126.65;1264.8,669.84;712.53,937.37;
00001434.png 461.98,391.86;996.6,126.05;1272.16,667.73;721.1,942.43;
00001468.png 465.4,395.61;994.82,126.46;1275.42,662.4;730.31,942.58;
00001501.png 464.89,400.67;991.9,119.59;1283.64,653.71;739.62,944.4;
00001534.png 464.27,407.06;988.36,116.73;1287.72,648.02;748.33,945.01;
00001568.png 466.64,409.91;986.97,113.73;1292.34,642.96;755.03,946.93;
00001601.png 466.45,411.2;983,112.16;1290.53,634.85;762.47,941.41;
00001634.png 465,416.26;974.86,108.2;1292.14,623.85;768.87,941.39;
00001668.png 460.45,422;968.59,104.47;1295.48,619.85;770.35,944.95;
00001701.png 461.34,424.17;965.71,102.77;1296.79,615.18;777.02,945.97;
00001735.png 460.4,428.35;961.04,101.3;1298.08,610.01;781.31,945.96;
00001768.png 456.99,432.68;952.29,96.09;1298.22,598.72;786.87,943.59;
00001801.png 456.68,437.46;949.24,94.07;1300.89,594.07;794.04,945.29;
00001835.png 456.78,440.33;943.32,93.24;1301.39,587.04;800.38,942.47;
00001868.png 456.01,446.73;936.79,89.42;1304.2,577.39;809.2,943.27;
00001901.png 458.75,454.69;930.51,91.88;1302.96,571.01;815.07,942.46;
00001935.png 457.36,458.76;926.58,90;1306.6,566.81;821.94,945.36;
00001968.png 459.06,465.56;919.96,92.48;1305.43,561.89;828.05,944.15;
00002002.png 459.31,474.67;912.92,91.41;1306.54,552.77;837.09,945.22;
00002035.png 458.15,480.29;906.39,92.91;1304.21,547.47;841.3,945.76;
00002068.png 456.39,487.15;901.92,91.3;1309.59,543.1;848.15,950.59;
00002102.png 457.27,494.04;896.05,92.16;1307.35,537.96;852.98,949.15;
00002135.png 458.36,505.02;890.37,94.42;1312.79,532.73;865.07,954.44;
00002168.png 461.79,510.25;886.21,95.7;1312.69,527.44;871.69,954.38;
00002202.png 463.61,519.76;883.03,98.2;1315.79,524.4;879.63,957.11;
00002235.png 463.59,530;874.06,101.22;1314.01,518.29;888.09,958.32;
00002268.png 466.08,535.88;867.88,103.86;1310.56,511.17;893.03,954.61;
00002302.png 461.43,540.96;861.86,99.83;1315.94,506.68;898.65,959.35;
00002335.png 462.08,545.22;855.35,100.62;1312.11,500.03;904.01,956.98;
00002369.png 461.55,552.75;841.58,102.15;1308.9,487.93;910.41,955.53;
00002402.png 458.66,559.62;835.97,96.37;1310.68,481.01;916.72,955.18;
00002435.png 459.75,566.19;828.78,96.12;1310.04,473.84;923.93,953.71;
00002469.png 463.52,575.39;817.44,100.55;1304.9,463.35;931.38,948.44;
00002502.png 459.7,582.45;810.1,100.26;1305.44,458.7;936.65,954.63;
00002535.png 457.25,589;802.46,102.07;1301.94,452.55;940.08,952.93;
00002569.png 457.44,595.74;792.64,105.53;1297.57,448.63;944.8,953.11;
00002602.png 456.73,605.04;783.4,110.71;1288.5,439.12;950.08,948.32;
00002635.png 453.59,613.11;773.88,109.57;1289.09,435.8;953.9,952.89;
00002669.png 452.74,617.87;765.3,111.3;1286.18,430.14;955.61,953.4;
00002702.png 452.53,625.41;759.78,116.44;1279.69,427.07;958.72,950.45;
00002736.png 453.02,637.07;749.52,115.55;1281.05,420.31;966.87,954.71;
00002769.png 453.37,640.62;743.72,118.27;1279.19,414.7;972.58,953.06;
00002802.png 453.03,645.38;739,119.96;1278.09,410.47;977.83,951.31;
00002836.png 457.85,654.64;730.95,124.63;1274.54,403.43;986.88,949.82;
00002869.png 458.2,660.8;726.4,124.84;1274.85,398.17;992.33,949.92;
00002902.png 461.15,667.84;722.48,128.67;1275.04,395.16;998.03,950.13;
00002936.png 463.75,673.91;719.04,131.58;1274.79,391.14;1004.14,950.33;
00002969.png 468.89,683.02;713.3,135.97;1274.08,385;1014.9,949.76;
00003003.png 471.82,685.99;709.94,136.75;1273.77,379.69;1019.19,946.99;
00003036.png 474.14,686.74;706.25,136.94;1272.35,374.21;1024.57,945.29;
00003069.png 478.46,691.68;703.63,139.19;1270.26,368.79;1032.11,937.53;
00003103.png 483.68,693.61;700.22,136.66;1269.05,356.22;1040.67,930.14;
00003136.png 488.25,695.68;698.43,136.46;1271.1,351.37;1045.39,928.96;
00003169.png 489.54,698.24;695.51,135.76;1275.38,345.23;1052.71,927;
