00000066.png 624.2,280.87;1177.46,254.42;1229.35,814.14;639.18,850.94;
00000100.png 635.09,279.38;1187.85,256.07;1239.34,814.43;649.8,851.39;
00000133.png 644.13,281.06;1192.18,259.64;1244.15,812.95;662.31,848.62;
00000166.png 657.17,281.33;1206.77,258.63;1259.46,816.54;672.22,851.4;
00000200.png 668.09,281.22;1215.58,260.84;1269.68,815.2;685.61,849.77;
00000233.png 676.98,286.49;1219.05,263.84;1274.54,814.52;694.42,849.68;
00000266.png 683.39,283.92;1230.68,263.43;1284.35,815.71;702.29,852.76;
00000300.png 688.2,284.87;1234.08,265.11;1290.32,814.96;713.17,852.15;
00000333.png 690.25,286.52;1235.82,266.4;1292.55,817.76;712.27,854.91;
00000367.png 691.26,289.16;1234.11,270.85;1291.84,818.57;713.88,857.32;
00000400.png 689.13,289.34;1233.21,271.75;1291.41,819.88;712.68,859.87;
00000433.png 691,289.07;1233.79,273.61;1292.87,821.62;713.79,860.67;
00000467.png 693.92,291.1;1237.58,276.85;1296.41,824.65;718.77,863.16;
00000500.png 699.17,292.59;1241.81,279.82;1300.33,826.53;723.08,866.23;
00000533.png 705.64,292.41;1247.66,282.2;1305.6,829.69;730.12,866.47;
00000567.png 714.8,293.3;1254.1,285.68;1311.04,833.17;738.6,867.43;
00000600.png 719.91,291.76;1257.97,286.7;1314.18,832.93;741.32,868.24;
00000633.png 727.91,289.79;1264.65,287.98;1319.68,832.04;748.81,866.36;
00000667.png 734.74,288.5;1270.33,287.68;1325.74,832.42;756.15,864.74;
00000700.png 742.94,286.06;1276.68,288.35;1330.51,830.59;764.09,862.09;
00000734.png 749.42,285.37;1281.46,290.56;1335.36,831.11;771.61,861.31;
00000767.png 756.18,283.56;1284.72,290.22;1338.01,828.76;776.01,859.95;
00000800.png 762.59,281.06;1287.41,290.38;1339.79,824.64;784.99,856.23;
00000834.png 770.72,278.66;1293.72,288.41;1347.12,824.87;791.24,853.28;
00000867.png 164.97,248.12;1298.99,289.71;1351.27,825.89;141.84,877.7;
00000900.png 784.45,277.1;1305.95,291.42;1359.23,824.21;812.14,851.35;
00000934.png 796.42,275.01;1312.83,291.58;1365.55,825.26;819.24,849.69;
00000967.png 802.97,272.36;1316.52,291.46;1369.28,823.68;825.4,847.68;
00001001.png 810.15,270.41;1322.01,291.03;1374.37,823.33;832.95,846.55;
00001034.png 816.5,270.54;1324.2,291.14;1376.96,821.1;837.75,844.62;
00001067.png 823.11,268.73;1330.11,291.78;1382.86,821.22;845.94,844.67;
00001101.png 834.24,270.05;1338.27,295.13;1390.5,823.54;857.57,846.95;
00001134.png 841.15,273.27;1342.7,298.9;1394.06,827.33;864.69,849.14;
00001167.png 848.97,277.09;1347.68,304.1;1399.7,832.26;873.27,854.97;
00001201.png 862.46,283.42;1352.06,313.69;1403.81,835.38;886.2,860.18;
00001234.png 864.37,285.71;1359.2,315.37;1410.48,844.03;889.44,867.95;
00001267.png 872.33,291.35;1362.37,322.39;1413.98,851.43;896.93,875.79;
00001301.png 875.31,294.94;1362.91,326.68;1414.95,854.62;899.98,880.48;
00001334.png 874.63,298.73;1361.29,331.8;1413.24,858.86;901.88,885.46;
00001368.png 875.66,301.67;1357.68,336.6;1410.06,863.65;901.61,891.36;
00001401.png 874.54,303.19;1354.71,338.82;1407.38,865.32;901.01,894.32;
00001434.png 876,310.54;1351.07,345.08;1402.12,868.01;905.72,898.29;
00001468.png 876.35,313.22;1351,350.08;1403.59,875.74;904.61,906.24;
00001501.png 881.62,318.42;1352.38,355.15;1405.26,878.98;909.47,910.05;
00001534.png 887.66,324.29;1352.07,361.14;1405.73,881.92;916.31,913.95;
00001568.png 891.53,326.47;1351.08,365.37;1405.02,882.54;921,914.93;
00001601.png 896.11,328.26;1346.65,364.46;1400.38,879.15;927.78,912.37;
00001634.png 890.85,324.57;1346.73,364.27;1399.88,882.71;921.24,917.4;
00001668.png 888.02,323.21;1341.86,364.49;1397.75,881.73;922.59,913.63;
00001701.png 884.76,319.19;1335.97,362.28;1392.05,879.78;919.06,913.31;
00001735.png 881.78,314.9;1328.9,359.25;1385.04,874.41;917.57,909.3;
00001768.png 878.91,312.74;1326.66,357.02;1383.11,872.11;914.38,907.6;
00001801.png 885.22,311.74;1320.97,358.64;1377.81,866.9;920.15,902.14;
00001835.png 883.42,311.19;1320.42,356.75;1377.79,867.68;919.81,902.38;
00001868.png 888.03,311.79;1322.02,358.84;1378.11,869;924.28,903.83;
00001901.png 897.08,314.27;1326.25,360.95;1381.73,870.11;933.65,903.56;
00001935.png 901.73,314.61;1330.19,362.18;1388.01,870.75;938.71,906.22;
00001968.png 914.92,315.41;1338.16,364.86;1395.24,872.09;951.94,906.49;
00002002.png 924.24,314.94;1345.02,365.49;1401.6,872.2;963.84,907.14;
00002035.png 933.18,314.66;1348.16,368.67;1406.21,871.01;974.98,904.85;
00002068.png 943.71,313.53;1355.85,365.01;1412.98,868.9;982.95,902.24;
00002102.png 954.49,311.29;1360.81,363.77;1417.13,867.04;994.05,899.22;
00002135.png 959.39,310.27;1362.93,363.81;1419.84,863.47;1003.24,895.08;
00002168.png 969.38,309.15;1368.29,365.16;1425.27,866.38;1009.82,897.84;
00002202.png 981.09,310.12;1376.12,367.18;1431.06,867.89;1020.85,897.67;
00002235.png 988.84,310.17;1378.94,368.89;1434.46,869.22;1027.79,899.2;
00002268.png 998.45,309.39;1383.66,369.96;1438.4,871.61;1036.81,900.46;
00002302.png 1003.69,307.55;1385.26,371.57;1441.57,872.23;1041.77,899.27;
00002335.png 1008.6,305.59;1386.63,373.64;1438.86,874.49;1044.9,900.8;
00002369.png 1012.86,311;1380.03,378.98;1430.97,874.05;1047.48,900.13;
00002402.png 1006.9,305.89;1378.75,377.77;1429.33,877.61;1040.7,903.04;
00002435.png 1003.92,305.68;1371.94,379.98;1421.18,880.51;1036.68,903.98;
00002469.png 1002.92,306.01;1367.05,383.45;1413.11,884.47;1033.63,906.6;
00002502.png 1003.48,311.81;1361.45,388.4;1407.83,886.29;1032.61,907.92;
00002535.png 1010.39,313.82;1361.45,392.02;1407.36,889.2;1040.7,910.92;
00002569.png 1012.12,311.99;1366.4,393.95;1410.98,894.52;1043.02,916.56;
00002602.png 1027.9,316.74;1372.38,398.27;1416.41,900.43;1051.56,921.89;
00002635.png 1026.84,319.17;1371.81,405.13;1414.79,905.23;1055.83,927.79;
00002669.png 1035.36,325.03;1371.97,409.05;1412.06,907.78;1061.43,928.66;
00002702.png 1038.12,318.71;1376.47,408.01;1414.09,909.29;1064.78,930.77;
00002736.png 1048.41,316.47;1384.15,408.59;1420.21,915.24;1068.73,933.8;
00002769.png 1059.87,312.32;1392.34,405.88;1428.92,914.47;1083.29,931.24;
00002802.png 1079.66,307.72;1407.88,404.85;1443.91,914.18;1100.8,930.63;
00002836.png 1103.33,312.61;1421.98,410.43;1455.41,920.98;1120.88,937.25;
00002869.png 1108.18,317.11;1427.79,414.96;1461.55,927.23;1127.62,944.92;
00002902.png 1119.05,325.18;1433.32,423.88;1464.99,934.3;1138.08,952.74;
00002936.png 1129.11,330.57;1437.3,428.49;1468.15,940.16;1144.83,958.82;
00002969.png 1137.08,337.04;1443.35,438.23;1472.73,951.94;1152.96,969.86;
00003003.png 1144.53,344.86;1447.07,445.67;1476.65,959.64;1158.92,978.19;
00003036.png 1150.27,346.1;1449.85,450.05;1479.59,964.13;1164.59,983.85;
00003069.png 1159.25,349.24;1454.86,453.07;1483.02,969.43;1174.12,987.88;
00003103.png 1166.95,349.33;1457.57,456.8;1486.12,975.27;1185.25,993.42;
00003136.png 1169.33,347.63;1458.39,457.59;1486.71,975.45;1181.58,992.84;
00003169.png 1176.97,347.74;1457.61,459.42;1483.34,977.61;1187.17,994.62;
00003203.png 1178.1,351.07;1458.2,460.96;1487.09,979.2;1191.93,996.41;
00003236.png 1184.7,347.46;1459.13,460.14;1489.26,978.06;1199.54,995.46;
