00000033.png 535.05,211.92;1184.3,204.04;1201.99,857.18;536.14,871.8
00000066.png 534.77,210.93;1182.41,202.94;1199.17,854.26;536.23,868.55
00000100.png 533.28,210.29;1179.76,203.15;1196.37,853.26;534.49,866.87
00000133.png 530.04,209.67;1178.67,202.19;1195.1,851.53;533.04,866.96
00000166.png 530.69,209.22;1175.6,201.76;1192.78,849.73;532.42,862.94
00000200.png 528.63,206.62;1177.14,199.7;1193.79,851.31;529.54,865.58
00000233.png 528.26,206.58;1175.14,199.92;1191.65,849.03;530.22,862.3
00000266.png 525.34,205.33;1173.87,197.91;1191.76,847.74;527.5,862.38
00000300.png 526.38,204.84;1172.88,198.85;1189.51,847;527.41,860.57
00000333.png 526.19,205.02;1171.74,198.09;1188.92,845.68;527.78,859.47
00000367.png 528.37,203.81;1172.88,196.59;1189.15,843.51;529.68,857.84
00000400.png 530.3,205.2;1172.29,198;1188.64,842.31;531.54,855.92
00000433.png 532.67,206.38;1172,199.75;1189.5,840.49;534.59,853.46
00000467.png 536.63,211.45;1168.8,202.74;1187.03,839.03;537.34,852.29
00000500.png 541.72,218.99;1167.35,210.35;1184.35,837.8;543.66,851.49
00000533.png 546.92,225.21;1163.51,216.84;1180.1,837.65;547.44,851.57
00000567.png 547.16,234.42;1157.36,226.48;1175.44,839.33;548.66,853.37
00000600.png 549.99,248.44;1146.83,240.01;1165.62,839.5;551.99,853.82
00000633.png 552.79,257.77;1139.47,248.96;1157.53,838.22;554.76,854.25
00000667.png 554.53,265.6;1132.31,256.69;1150.58,838.03;555.68,853.49
00000700.png 555.98,271.39;1126.17,262.55;1145.31,836.26;557.09,851.46
00000734.png 553.91,282.21;1116.22,274.18;1135.68,836.78;556.6,852.04
00000767.png 552.16,285.63;1111.12,276.71;1131.04,838.61;554.36,854.13
00000800.png 550.73,290.35;1106.29,281.24;1125.27,838.81;552.27,855.41
00000834.png 551.17,298.53;1099.81,288.51;1119.97,839.36;552.15,856.21
00000867.png 551.07,300.88;1097.45,292.44;1117.42,840.32;551.03,857.33
00000900.png 553.79,306.81;1094.36,298.01;1113.01,841.62;553.44,858.15
00000934.png 556.57,312.34;1092.88,303.32;1111.52,843.36;555.75,859.34
00000967.png 559.78,321.07;1090.7,312.44;1110.21,845.57;558.96,861.7
00001001.png 564.34,327.94;1090.71,319.18;1109.4,846.73;563.36,862.93
00001034.png 568.93,335.62;1089.12,328.13;1108.32,851.84;567.77,867.08
00001067.png 575.67,347.03;1087.63,338.67;1106.87,854.42;574.97,869.94
00001101.png 578.98,353.9;1086.6,345.18;1106.7,857.67;576.89,872.65
00001134.png 582.29,360.09;1086.65,350.16;1105.78,858.87;581.4,873.86
00001167.png 585.64,367.42;1083.31,357.74;1104.05,860.68;586.44,877.3
00001201.png 587.12,372.86;1081.29,362.56;1102.26,859.14;588.52,876.62
00001234.png 590.14,377.72;1078.14,366.63;1098.73,859.67;590.7,877.24
00001267.png 592.53,381.46;1074.17,370.49;1095.87,856.48;594.31,875.54
00001301.png 590.87,389.12;1065.92,376.92;1089.16,855.46;595.14,875.8
00001334.png 589.26,391.59;1062.32,378.87;1085.79,854.93;594.09,875.5
00001368.png 587.89,394.6;1056.23,381.12;1080.25,851.31;594.23,873.03
00001401.png 589.72,398.4;1049.15,384.31;1073.69,845.33;596.57,868.49
00001434.png 589.77,399.41;1045.3,385.54;1070.24,841.39;597.26,864.61
00001468.png 591.24,401.36;1041.05,386.21;1066.6,838.34;598.21,861.71
00001501.png 589.37,407.26;1032.36,392.41;1057.22,836.12;596.11,860.39
00001534.png 588.16,411.31;1026.36,395.92;1051.69,835.08;595.42,859.05
00001568.png 588.19,415.17;1022.25,399.19;1047.53,834.22;596.66,858.16
00001601.png 588.77,418.92;1018.82,403.31;1045.19,834.07;597.63,858.56
00001634.png 591.3,427.9;1014.5,411.25;1041.19,834.51;599.35,860.41
00001668.png 596.59,430.71;1014.09,414.3;1040.79,832.72;604.95,857.98
00001701.png 598.34,437.63;1011.63,420.09;1038.29,833.78;606.73,859.01
00001735.png 604.12,448.2;1008.2,431.37;1034.46,836.87;612.28,862.07
00001768.png 607.23,452.88;1009.44,436.35;1035.39,839.12;614.77,864.11
00001801.png 612.3,455.39;1011.87,438.99;1036.95,838.73;619.9,862.41
00001835.png 619.22,455.65;1017.01,440.88;1043.13,840.13;626.63,864.24
00001868.png 630.4,462.99;1024.73,446.87;1051.1,841.51;639.5,865.23
00001901.png 640,468.53;1028.9,452.65;1054.97,844.4;647.14,867.39
00001935.png 644.2,469.87;1034.38,453.35;1059.96,846.3;653.24,868.05
00001968.png 653.95,476.72;1038.81,461.39;1064.09,850.12;660.35,871.69
00002002.png 660.86,480.4;1040.68,465.88;1065.06,849.89;667.15,870.72
00002035.png 665.23,481.96;1043.52,467.48;1067.71,848.68;672.61,869.45
00002068.png 672.93,485.19;1045.09,470.6;1069.03,845.07;679.54,866.3
00002102.png 675.52,487.46;1045.91,473.58;1069.35,845.71;681.74,866.02
00002135.png 679.22,489.61;1045.9,474.21;1069.03,844.75;685.56,865.71
00002168.png 678.35,495.14;1043.71,480.66;1067.01,850.15;684.27,870.17
00002202.png 676.39,505.67;1038.2,491.41;1060.67,857.91;681.93,877.54
00002235.png 675.56,509.76;1036.5,494.56;1058.83,858.85;680.71,879.19
00002268.png 676.67,512.63;1033.65,498.89;1056.22,861.42;682.57,879.61
00002302.png 678.48,514.63;1034.06,501.18;1056.17,860.65;683.83,878.96
00002335.png 680.79,515.67;1034.79,502.54;1055.46,860.05;685.95,878.53
00002369.png 682.8,518.4;1035.34,504.72;1056.64,861.44;687.37,878.9
00002402.png 687.92,520.48;1035.11,507.32;1056.76,858.36;692.24,875.56
00002435.png 690.13,518.71;1036.21,506.96;1056.52,857.28;694.04,874.61
00002469.png 688.91,517.85;1037.43,504.53;1058.81,856.32;693.63,874.82
00002502.png 693.28,515.21;1039.43,502.93;1060.33,852.28;696.96,869.48
00002535.png 692.09,512.23;1041.19,499.78;1062.84,852.68;696.79,869.62
00002569.png 693.01,509.03;1042.69,496.18;1064.46,849.25;697.35,867.38
00002602.png 692.37,505.44;1043.59,492.82;1065.59,845.74;697.75,864.78
00002635.png 690.67,499.09;1046.66,484.58;1067.85,844.49;695.58,862.65
00002669.png 689.7,495.69;1047.28,481.6;1069.32,842.55;695.46,861.49
00002702.png 687.31,490.22;1050.26,474.5;1074.13,841.34;693.89,860.9
00002736.png 685.85,486.95;1051.44,471.2;1075.42,839.77;693.74,860.5
00002769.png 682.55,479.27;1053.3,462.86;1077.78,836.29;691.66,857.61
00002802.png 679.51,476.29;1054.7,459.15;1080.09,836.76;688.73,859.34
00002836.png 678,471.09;1055.27,453.59;1082.49,832.34;687.9,856.27
00002869.png 673.84,463.3;1058.93,443.44;1086.05,831.55;685.59,855.9
00002902.png 669.92,459.3;1059.47,439.65;1088.68,831.25;682.22,857.28
00002936.png 667.69,454.02;1061.12,434.31;1091.03,829.78;681.28,855.72
00002969.png 667.01,449.07;1063.46,428.85;1095.09,828.95;679.74,856.69
00003003.png 664.48,446.7;1066.44,425.76;1096.85,830.44;678.47,857.84
00003036.png 663.15,442.41;1067.57,421.16;1098.92,828.42;677.09,855.52
00003069.png 663.25,436.41;1069.95,414.79;1100.99,824.54;677.38,851.29
00003103.png 658.1,426.81;1069.92,405.84;1102.43,819.63;673.9,848.45
00003136.png 657.75,420.47;1070.7,399.38;1101.68,814.63;672.48,842.08
00003169.png 654,415.6;1069.26,394.75;1101.34,811.1;669.83,839.07
00003203.png 648.28,405.41;1070.24,384.1;1102.32,806.77;664.39,836
00003236.png 645.6,399.04;1068.68,377.72;1101.89,801.85;662.28,831.48
00003269.png 642.95,395.08;1068.95,371.78;1103.18,798.91;659.12,829.76
00003303.png 638.56,386.62;1071.39,362.57;1104.39,797.65;654.11,828.25
00003336.png 636.55,380.94;1072.6,357.96;1106.86,793.4;653.83,825.18
00003370.png 634.41,377.26;1075.16,352.58;1109,793.67;653.13,824.65
00003403.png 632.6,369.8;1079.69,344.91;1115.52,793.82;651.18,825.15
00003436.png 633.45,361.31;1084.73,336.22;1121.11,788.44;653.28,821.72
00003470.png 632.64,355.79;1087.08,330.9;1124.87,785.24;652.36,820.03
00003503.png 630.7,351.3;1091.27,323.91;1127.93,785.6;650.44,819.01
00003536.png 625.16,342.3;1092.72,314.93;1130.56,782.92;645.28,817.92
00003570.png 619.31,336.66;1093.25,309.01;1132.01,783.66;640.79,819.98
00003603.png 614.58,330.22;1094.42,303.17;1133.8,781.61;636.72,818.52
00003636.png 610.57,325.83;1093.91,297.83;1134.9,780.77;632.93,818.67
00003670.png 604.14,317.84;1094.86,289.74;1135.9,779.99;626.96,817.57
00003703.png 600.48,313.78;1095.45,284.7;1136.78,779.58;623.78,817.19
00003737.png 597.22,308.74;1096.52,279.72;1138.62,780.25;620.11,818.88
00003770.png 588.13,303.06;1100.25,273.55;1143.11,786.15;612.41,824.69
00003803.png 581.33,299.01;1102.76,269.81;1145.84,790.78;604.84,830.31
00003837.png 577.91,295.68;1105.52,265.97;1147.91,793.6;601.8,833.86
00003870.png 570.89,290.92;1108.1,262.21;1152.4,798.43;595.24,838.45
00003903.png 570.47,287.93;1110.61,259.09;1154.19,801.56;592.87,839.95
00003937.png 566.1,283.03;1115.24,254.44;1158.64,804.01;589.11,844.29
00003970.png 562.06,278.82;1120.32,249.98;1162.77,808.94;583.95,848.86
00004004.png 557.26,272.1;1125.9,245.09;1168.38,815;578.32,854.14
00004037.png 554.04,268.95;1130.36,241.64;1172.81,819.48;574.82,858.28
00004070.png 549.36,264.06;1134.19,237.45;1176.64,824.79;569.39,863.28
00004104.png 543.73,258.72;1137.64,232.31;1178.32,827.58;563.76,865.95
00004137.png 537.12,251.88;1139.4,226.44;1180.82,828.89;557.43,867.37
00004170.png 533.79,247.29;1142.26,222.34;1182.37,832.49;553.64,869.46
00004204.png 526.75,236.3;1147.32,212.53;1186.28,834.3;545.85,870.44
00004237.png 523.22,228.82;1151.52,206.87;1189.92,835.82;542.63,871.13
00004270.png 521.06,223.77;1156.32,201.69;1192.95,838.56;538.59,872.6
00004304.png 518.61,215.74;1163.07,195.46;1198.86,838.69;535.59,873.52
00004337.png 519.8,206.06;1174.69,188.2;1208.5,844.5;533.9,875.77
00004371.png 518.6,200.99;1181.9,184.08;1213.61,847.26;532.05,876.09
00004404.png 520.03,198.13;1188.34,182.98;1218.14,853.38;530.91,880.19
00004437.png 520.61,189.94;1200.08,178.78;1228.04,859.33;529.65,882.73
00004471.png 523.71,185.97;1208.16,176.07;1231.22,860.62;530.86,882.97
00004504.png 525.27,179.13;1217.8,170.97;1241.01,865.95;530.57,885.12
00004537.png 523.03,173.43;1226.92,167.56;1247.76,873.44;526.36,890.94
00004571.png 521.24,171.43;1234.88,166.79;1251.95,881.87;522.79,897.28
00004604.png 520.12,167.58;1241.64,163.6;1259.2,887.73;519,902.15
00004637.png 516.59,164.69;1245.81,162.8;1262.21,894.95;516.23,907.56
00004671.png 510.55,158.13;1254.82,156.86;1270.15,902.8;508.73,914.51
00004704.png 507.62,157.27;1258.99,155.25;1272.24,909.18;504.61,920.46
00004738.png 502.96,156.11;1259.47,154.11;1273.94,913.55;501.11,924.65
00004771.png 500.61,156.92;1262.36,154.89;1276.25,921.87;498.15,932.51
00004804.png 497.34,159.96;1261.79,156.58;1275.63,925.66;495.97,935.38
00004838.png 492.15,157.41;1262.53,153.79;1277.01,928.2;491,939.61
00004871.png 486.9,153.87;1264.81,150.13;1279.28,931.38;485.51,943.69
00004904.png 479.77,148.49;1268.51,143.14;1283.63,935.33;480.06,948.88
00004938.png 476.95,145.42;1268.94,141.78;1285.01,937.24;477.58,950.85
00004971.png 473.19,144.33;1270.21,138.65;1287.03,940.25;474.41,953.69
00005005.png 468.88,140.85;1271.49,134.83;1288.88,941.33;470.38,955.3
00005038.png 460.86,136.84;1271.39,129.59;1289.56,943.73;463.11,959.16
00005071.png 456.05,134.51;1270.77,128.35;1290.07,945.8;459.3,961.81
00005105.png 453.16,135.23;1273.31,128.33;1292.27,951.89;456.5,967.7
00005138.png 450.96,133.7;1276.16,126.46;1295.54,955.68;454.89,972.09
00005171.png 446.83,128.96;1280.53,122.35;1300.5,958.27;450.86,974.29
00005205.png 442.62,124.92;1283.75,117.85;1303.22,960.79;447.06,977.85
00005238.png 437.38,118.92;1286.06,111.7;1304.81,963.12;441.73,979.73
00005271.png 430.88,113.5;1287.34,106.65;1306.56,965.12;436.78,982.1
00005305.png 426.57,115;1284.63,107.28;1303.11,967.51;431.4,986.12
00005338.png 420.04,113.51;1282.78,105.84;1300.33,969.73;426.44,988.9
00005372.png 414.27,111.46;1281.5,102.96;1300.02,971.9;420.92,990.88
00005405.png 407.69,103.67;1282.75,96.95;1301.98,970.67;415.26,991.06
00005438.png 399.99,98.84;1282.12,90.17;1301.45,973.14;407.69,993.18
00005472.png 392.69,93.53;1281.7,84.79;1302.35,974.19;402.88,994.46
00005505.png 388.62,91.94;1283.1,82.72;1302.6,976;398.97,997.33
00005538.png 385.62,90.43;1284.8,80.2;1305.95,977.8;397.28,1000.56
00005572.png 381.97,92.2;1284.88,81.31;1305.54,981.85;395.22,1005.52
00005605.png 377.87,93.11;1284.48,80.96;1305.16,986.04;392.07,1010.21
