00000033.png 767.33,244;1281.34,245.17;1295.67,762.46;757.65,759.64
00000066.png 779.45,243.76;1293.63,245.02;1306.72,764.65;769.24,759.7
00000100.png 793.3,243.3;1307.2,245.53;1321.48,763.98;782.25,758.91
00000133.png 807.69,241.69;1321.85,244.94;1336.12,764.05;797.63,757.35
00000166.png 839.74,240.36;1355.18,244.16;1369.38,763.67;830.04,755.93
00000200.png 857.29,240.16;1372.04,244.08;1385.8,763.89;846.63,755.24
00000233.png 872.98,238.4;1389.59,242.94;1404.38,763.1;863.66,753.81
00000266.png 906.59,237.8;1421.88,243.71;1437.22,762.91;897.04,752.45
00000300.png 923.34,236.88;1438.29,242.59;1453.56,762.92;912.95,752.52
00000333.png 937.45,236.82;1454.56,242.43;1470.35,763.35;928.58,752.35
00000367.png 967.02,236.87;1484.2,242.63;1500.65,763.27;958.66,751.94
00000400.png 980.9,236.18;1499.68,242.15;1516.88,764.01;974.7,752.19
00000433.png 996.69,237.02;1514.65,242.53;1532.51,764.47;989.18,752.23
00000467.png 1024.39,236.01;1543.82,242.11;1564.27,763.87;1019.74,752.94
00000500.png 1039.46,236.29;1557.85,241.6;1578.63,764.37;1034.44,753.58
00000533.png 1053.04,236.44;1572.33,241.51;1594.81,764.15;1049.92,753.44
00000567.png 1084.66,236.44;1604.53,241.19;1627.05,764.08;1081.63,754.25
00000600.png 1099.25,236.11;1620.29,241.25;1643.62,764.6;1098.68,754.09
00000633.png 1115.02,236.03;1636.9,240.43;1662.74,764.95;1115.44,755.17
00000667.png 1145.99,236.07;1668.31,240.45;1695.1,765.6;1147.04,756.79
00000700.png 1160.28,235.46;1683.57,239.92;1712.68,766.43;1162.75,756.86
00000734.png 1174.76,235.08;1699.93,239.31;1728.65,766.81;1178.14,758.4
00000767.png 1203.33,235.14;1729.86,238.17;1761.17,767.21;1208.14,760.24
00000800.png 1216.36,235.11;1744.09,238.3;1775.68,768.94;1221.97,761.71
00000834.png 1228.92,235.08;1758.68,238.48;1789.96,770.04;1235.49,762.7
00000867.png 1253.28,234.75;1784.5,237.2;1819.09,772.04;1260.95,764.85
00000900.png 1263.48,234.87;1795.81,236.69;1828.81,771.18;1271.85,764.63
00000934.png 1273.12,235.11;1804.97,237.33;1839.71,771.97;1281.21,765.68
00000967.png 1287.6,235.97;1820.21,237.63;1854.17,773.03;1295.24,767.48
00001001.png 1290.48,236.61;1823.64,237.1;1857.89,773.08;1298.54,768.16
00001034.png 1289.99,236.49;1824.69,237.34;1859.12,773.75;1299.3,768.8
00001067.png 1286.21,237.04;1820.24,236.94;1853.72,773.5;1293.97,769.07
00001101.png 1279.64,237.38;1813.07,236.14;1847.34,771.99;1287.41,769.44
00001134.png 1268.98,237.31;1803.46,235.57;1838.46,771.9;1277.83,768.39
00001167.png 1244.37,237.06;1778.19,233.41;1810.83,770.1;1252.05,768.37
00001201.png 1227.43,236.44;1760.83,232.42;1795.74,768.82;1235.28,769.03
00001234.png 1209.76,236.55;1743.42,231.7;1776.22,767.26;1218.04,767.55
00001267.png 1172.38,235.08;1705.62,228.22;1737.23,763.74;1178.9,763.8
00001301.png 1149.4,233.38;1684.63,225.42;1717.01,761.33;1158.49,764.2
00001334.png 1129.26,233.62;1660.31,224.88;1693.31,759.34;1136.99,761.9
00001368.png 1082.88,230.49;1613.62,221.4;1644.93,753.47;1091.61,757.71
00001401.png 1060.93,229.4;1591.56,218.6;1622.07,750.61;1067.14,756.47
00001434.png 1037.7,229.55;1564.83,217.73;1595.24,749.19;1045.22,754.04
00001468.png 990.13,228.83;1516.55,216.34;1546.07,746.83;996.56,752.2
00001501.png 967.42,228.11;1492.68,215.4;1521.46,744.77;971.89,751.94
00001534.png 942.55,227.99;1468.97,215.01;1496.69,743.38;948.6,750.72
00001568.png 894.64,228.79;1419.6,214.86;1445.29,742.59;899.66,751.82
00001601.png 869.45,229.48;1395.29,214.87;1420.57,741.4;874.34,751.99
00001634.png 847.06,228.87;1367.11,214.96;1393.22,741.7;849.56,752.13
00001668.png 799.58,230.18;1317.68,217.15;1341.47,740.43;800.78,753.15
00001701.png 774.99,232.08;1292.79,218.44;1317.78,741.42;777.4,752.93
00001735.png 751.53,232.61;1272.38,218.87;1295.41,743.01;752.27,755.49
00001768.png 705.51,235.56;1226.89,222.22;1247.84,745.55;705.27,758.94
00001801.png 683.09,236.02;1203.89,222.68;1224.5,745.58;683.4,759.56
00001835.png 662.13,237.67;1181.85,224.26;1201.02,746.82;659.55,761.27
00001868.png 616.94,239.52;1136.66,226.44;1155.27,749.95;613.56,765.06
00001901.png 593.94,240.92;1115.04,227.39;1132.77,749.93;590.39,766.2
00001935.png 571.96,242.27;1092.15,228.98;1109.8,751.76;566.52,767.52
00001968.png 523.62,243.2;1048.51,230.24;1063.83,755.27;518.6,772.38
00002002.png 500.36,243.98;1026.31,230.86;1042.11,756.38;494.12,774.16
00002035.png 478.53,245.22;1004.12,231.82;1018.93,757.19;470.04,775.16
00002068.png 433.25,246.77;960.38,233.38;973.35,759.91;423.6,778.36
00002102.png 410.46,247.35;939.09,234.17;953.13,760.87;402.02,780.26
00002135.png 390.35,248.78;919.21,235.32;931.21,761.84;380.59,781.4
00002168.png 350.11,250.26;879.81,236.34;890.53,764.23;338.79,783.84
00002202.png 332.15,250.1;860.74,235.66;871.86,763.13;320.45,784.01
00002235.png 314.35,250.01;844.08,235.69;854.61,763.28;302.64,784.13
00002268.png 280.97,248.94;810.94,234.75;823.09,764.16;266.59,783.79
00002302.png 263.71,247.68;797.3,233.62;808.33,762.54;251.21,784.73
00002335.png 250.8,248.38;780.72,232.18;791.44,761.15;236.54,782.38
00002369.png 223.47,246.47;753.72,230.26;762.79,759.13;209.79,780.6
00002402.png 209.58,246.3;739.28,229.82;748.5,758.43;194.32,779.75
00002435.png 196.43,244.62;723.76,228.64;733.91,755.56;182.18,777.83
00002469.png 172.06,244.5;700.04,225.43;707.9,751.38;157.92,773.63
00002502.png 159.34,241.72;688.91,223.91;698.56,751.26;143.38,774.04
00002535.png 149.75,240.49;678.69,222.71;687.37,750.22;134.34,772.29
00002569.png 131.98,237.11;662.44,218.26;671.96,748.29;116.96,770.18
00002602.png 126.14,235.39;655.87,216.9;664.76,745.24;111.12,769.2
00002635.png 120.41,235.27;650.23,215.52;658.04,744.77;104.51,768.36
00002669.png 111.56,234.62;641.16,214.55;650.09,743.81;96.96,767.63
00002702.png 110.79,234.25;639.85,213.59;648.47,742.84;96.19,766.38
00002736.png 111.48,232.8;640.58,212.48;650.28,742.28;97.32,765.53
00002769.png 121.49,230.64;652.14,210.75;662.89,739.57;109.39,764.23
00002802.png 132.49,230.66;660.96,210.65;673.12,739.31;119.86,762.88
00002836.png 144.56,229.91;672.02,210.75;685.17,738.36;132.87,763.41
00002869.png 177.46,230.45;704.77,212.17;717.51,738.7;167.47,761.89
00002902.png 196.99,232.2;724.36,213.59;738.33,739.8;187.4,761.79
00002936.png 216.19,232.05;742.83,214.93;756.72,739.91;207.36,762.41
00002969.png 261.7,232.97;787.34,217.16;801.78,740.22;254.37,761.49
00003003.png 285.3,233.23;811.58,217.85;826.74,741.66;278.85,762.52
00003036.png 310.05,233;836.67,218.52;852,741.84;303.29,761.42
00003069.png 363.61,233.28;889.3,219.83;906.38,743.46;359.39,762.03
00003103.png 390.59,233.8;917.19,220.51;935.33,744.28;388.13,761.5
00003136.png 418.84,233.01;946.18,221.21;964.15,744.18;415.73,761.92
00003169.png 477.9,235.09;1000.93,223.51;1022.54,746.62;476.4,762.22
00003203.png 506.2,234.92;1027.79,224.3;1050.33,748.61;505.68,763.23
00003236.png 535.61,237.76;1055.82,225.64;1074.79,750.43;535.31,763.76
00003269.png 592.84,238.23;1112.65,227.61;1136.02,752.12;592.44,764.78
00003303.png 622.17,239.27;1144.93,227.9;1168.31,753.11;622.48,765.39
