00005500.png 585.1,187.37;1170.51,161.87;1188.21,762.69;598.59,773.46
00005533.png 584.53,186.46;1170.7,160.97;1187.88,759.99;596.68,773.32
00005566.png 584.85,184.45;1170.09,159.88;1187.19,759.99;597.87,771.64
00005600.png 585.22,184.1;1170.86,159.18;1187,759.71;597.12,770.72
00005633.png 583.96,184.39;1169.4,159.3;1185.32,757.13;598.1,769.68
00005666.png 582.96,181.51;1169.55,156.95;1184.75,756.75;597.79,768.76
00005700.png 582.24,181.01;1170.65,157.55;1184.8,756.71;597.8,769.5
00005733.png 582.61,182.57;1170.29,156.91;1184.88,757.15;597.07,768.13
00005766.png 582.56,182.31;1169.85,157.04;1185.19,756.92;597.68,767.68
00005800.png 581.23,182.36;1170.9,156.83;1185.81,757.64;597.34,768.29
00005833.png 583.36,180.31;1169.65,154.72;1184.32,755.61;598.65,766.72
00005866.png 581.87,179.09;1169.04,154.72;1185.18,754.01;597.33,765.38
00005900.png 581.8,178.84;1169.02,154.77;1184.99,754.26;595.28,765.43
00005933.png 580.31,176.86;1168.62,151.56;1183.61,752.4;594.44,765.29
00005966.png 580.7,175.65;1167.71,152.13;1181.93,751.66;594.31,764.38
00006000.png 580.1,176.66;1166.73,152.29;1182.23,752.05;592.67,763.94
00006033.png 578.76,173.52;1167.28,152.59;1182.17,752.5;595.17,763.16
00006066.png 580.05,175.98;1166.72,151.79;1182.33,751.94;591.89,765.57
00006100.png 580.53,174.52;1166.64,151.42;1181.67,750.23;593.79,763.55
00006133.png 580.59,177.84;1166.24,152.43;1181.09,750.31;593.02,762.55
00006166.png 579.22,176.72;1163.38,153.27;1181.06,751;591.24,764.51
00006200.png 580.5,175.61;1165.52,152.29;1180.29,748.57;594.62,763
00006233.png 578.11,177.08;1165.29,152.05;1179.77,752.05;592.3,763.4
00006266.png 578.3,177.89;1164.84,153.04;1180,751.92;592.48,763.27
00006300.png 577.91,178.13;1164.6,153.06;1179.68,751.39;592.62,764.26
00006333.png 577.38,177.69;1164.98,152.09;1180.01,750;589.48,765.11
00006366.png 576.89,176.16;1163.13,152.14;1180.34,751.77;591.02,764.96
00006400.png 574.89,176.5;1164.69,151.7;1180.03,751.89;589.53,764.72
00006433.png 575.32,178.12;1162.31,152.51;1177.08,751.85;589.86,764.7
00006466.png 575.39,176.63;1163.27,152.64;1177.42,752.34;589.54,764.77
00006500.png 574.18,177.27;1162.02,153.39;1176.96,752.22;587.75,764.15
00006533.png 572.03,177.18;1161.24,151.92;1177.57,752.59;587.08,765.43
00006566.png 571.43,176.26;1160.28,152.28;1176.69,752.14;585.45,764.08
00006600.png 572.49,176.29;1159.55,151.73;1175.08,752.44;586.96,765.07
00006633.png 572.42,178.13;1159.82,153.16;1175.24,752.19;587.42,765.04
00006666.png 573.24,176.3;1157.53,152.7;1176.86,751;588.43,764.88
00006700.png 571.83,178.01;1159.84,152.5;1176.22,752.58;587.51,765.13
00006733.png 572.77,177.06;1161.18,152.19;1175.33,750.64;586.92,764.14
00006766.png 571.77,175.43;1159.47,150.39;1175.77,751.44;587.28,764.09
00006800.png 571.27,177.39;1157.83,151.65;1175.32,749.98;586.32,763.42
00006833.png 569.52,176.09;1157.93,150.62;1174.65,751.15;585.79,765.25
00006866.png 570.47,176.58;1157.25,152.14;1174.93,749.61;584.84,764.05
00006900.png 569.9,179.92;1156.95,152.97;1173.17,752.39;584.93,764.9
00006933.png 569.79,179.63;1155.81,154.43;1173.05,752.77;584.99,766.63
00006966.png 569.37,179.41;1155.66,154.53;1172.63,750.85;584.22,767.9
00007000.png 568.54,180.26;1155.14,154.64;1172.52,754.64;585.92,767.45
00007033.png 568.73,183.41;1153.57,157.09;1172.25,754.52;585.05,767.74
00007066.png 568.02,183.57;1153.67,157.17;1171.18,755.33;583.54,769.37
00007100.png 567.3,184.31;1153.9,159.29;1172.46,757.45;584.37,771.64
00007133.png 567.22,187.28;1152.54,161.21;1170.15,757.37;583.82,772.31
00007166.png 567.36,188.1;1151.95,160.3;1169.96,757.37;583.39,772.35
00007200.png 565.33,186.65;1150.84,160.45;1170.32,757.77;581.18,772.32
00007233.png 566.07,186.5;1149.5,161.03;1168.06,757.83;581.91,772.38
00007266.png 564.95,186.71;1150.18,161.05;1167.51,759.11;581.41,773.05
00007300.png 565.17,190.43;1148.46,163.77;1167.19,759.65;582.05,774.89
00007333.png 564.92,189.62;1148.8,161.87;1167.58,759.41;581.44,774.88
00007366.png 564.12,188.79;1148.68,163.25;1167.47,758.5;580.7,776.27
00007400.png 562.55,189.14;1147.18,162.15;1165.58,758.07;580.09,774.63
00007433.png 563.84,187.4;1146.2,162.97;1166.09,756;581.53,773.77
00007466.png 562.89,187.34;1146.32,161.87;1164.83,758.3;578.06,773.44
00007500.png 562.06,189.22;1147.05,162.02;1164.84,758.34;578.01,774.32
00007533.png 561.82,190.04;1145.29,163.52;1165.09,759.41;578.38,774.2
00007566.png 562.86,191.23;1145.24,164.78;1165.66,759.45;580.01,774.61
00007600.png 563.19,190.72;1146.63,163.58;1165.18,758.42;579.44,775.11
00007633.png 563.69,191.72;1145.63,164.93;1164.94,759.37;579.73,774.48
00007666.png 565.15,193.32;1145.14,166.85;1165.09,759.68;581.22,775.28
00007700.png 565.5,190.57;1146.31,165.69;1163.99,759.17;582.3,775.16
00007733.png 566.37,193.05;1146.18,167.53;1168.35,757.78;579.05,775.33
00007766.png 565.26,190.41;1145.52,164.94;1164.98,759.01;580.65,774.93
00007800.png 564.45,189.78;1147.48,162.29;1165.22,757.74;579.32,773.52
00007833.png 564.67,187.4;1144.82,162.97;1163.6,756;582.35,770.44
00007866.png 565.07,187.68;1146.97,162.06;1165.25,756.08;581.65,770.25
00007900.png 565.08,189.32;1146.78,162.71;1165.14,754.63;582.17,770.74
00007933.png 569.5,187.17;1146.77,161.41;1166.22,752.22;582.76,769.1
00007966.png 565,186.84;1146.53,161;1165.34,753.76;583.4,769.87
00008000.png 564.5,187.73;1146.87,160.54;1165.32,753.52;581.5,768.5
00008033.png 563.66,184.51;1145.67,159.26;1164.64,752.11;581.11,767.94
00008066.png 563.66,185.79;1145.25,159.91;1164.05,752.98;580.12,768.12
00008100.png 564.13,187.25;1144.98,159.87;1163.22,752.67;579.87,768.21
00008133.png 562.06,186.78;1143.61,161.45;1163.06,752.48;580.57,768.7
00008166.png 561.52,187.44;1143.71,160.47;1162.26,754.21;578.7,769.7
00008200.png 563.8,187.72;1143.16,162.13;1162.4,755.75;578.02,771.9
00008233.png 560.57,189.93;1142.19,163.54;1161.66,757.16;577.77,773.08
