00000033.png 559.6,249.3;1199.19,236.41;1218.66,884.83;563.63,898.03
00000066.png 558.35,249.22;1200.51,235.41;1221.11,884.83;563.02,899.14
00000100.png 561.79,250.77;1199.18,236.3;1220.39,882.16;567.83,898.03
00000133.png 562.02,251.64;1199.59,233.29;1222.46,880.19;570.25,897.28
00000166.png 562.58,250.43;1199.88,230.79;1225.75,876.6;573.13,896.24
00000200.png 563.8,249.79;1200.53,227.28;1228.51,872.03;577.45,893.75
00000233.png 564.49,251;1199.19,223.08;1231.62,865.95;582.4,893.34
00000266.png 563.35,252.66;1197.2,221.76;1233.71,864.28;584.8,894.74
00000300.png 562.71,255.75;1195.47,219.39;1235.54,861.6;588.11,895.37
00000333.png 559.88,258.19;1193.4,217.73;1238.24,859.98;591.04,898.26
00000367.png 559.11,263.86;1189.92,216.14;1242.74,856.27;597.32,903.13
00000400.png 556.84,267.41;1186.82,213.84;1244.46,852.47;600.72,904.25
00000433.png 554.61,272.54;1182.96,213.75;1246.05,850.86;603.62,909.2
00000467.png 551.08,278.02;1177.65,213.42;1246.54,848.69;606.88,911.64
00000500.png 546.12,286.1;1170.87,212.6;1249.61,846.03;610.34,919.17
00000533.png 544.69,291.45;1166.3,211.8;1251.51,842.67;614.8,921.59
00000567.png 540.94,297.73;1162.1,210.75;1255,840.58;619.27,926.12
00000600.png 539.7,304.02;1159.32,210.22;1258.51,838.84;623.97,933.04
00000633.png 537.3,309.83;1154.94,208.35;1262.37,835.39;629.06,936.51
00000667.png 533.74,319.17;1148.01,204.57;1266.81,828.59;638.5,941.47
00000700.png 529.97,323.89;1144.11,201.89;1272.42,824.23;643.66,946.73
00000734.png 527.46,330.12;1138.11,197.85;1275.51,817.47;649.96,949.52
00000767.png 524.81,335.62;1132.1,193.68;1279.37,809.19;656.99,951.49
00000800.png 518.47,342.98;1124.05,185.12;1285.49,797.71;667.72,954.91
00000834.png 513.95,349.54;1116.18,181.4;1289.59,791.06;674.25,960.26
00000867.png 509.43,354.96;1107.46,175.34;1292.38,781.62;680.55,961.68
00000900.png 504.42,361.68;1098.7,170.27;1295.44,773.46;687.69,965.56
00000934.png 496.71,371.35;1085.59,163.81;1298.32,759.9;696.67,968.8
00000967.png 492.79,380.33;1077.3,161.67;1301.89,752.49;704.51,973.49
00001001.png 487.25,390.48;1067.57,159.42;1303.48,745.61;711.45,978.74
00001034.png 484.57,403;1057.66,159.94;1304.09,740.44;718.81,984.45
00001067.png 476.31,412.01;1045.24,158.23;1304.59,735.12;722.13,989.83
00001101.png 464.45,429.27;1026.35,158.89;1301.37,726.54;728.64,999.44
00001134.png 457.13,438.53;1013.66,157.53;1299.58,719.65;732.15,1004.19
00001167.png 450.97,447.16;1002.36,155.42;1299.47,712.41;737.34,1007.37
00001201.png 445.42,456.67;992.07,153.36;1299.11,705.04;743.2,1012.05
00001234.png 440.96,469.84;978.59,151.33;1302.77,694.25;755.42,1015.9
00001267.png 437.96,479.36;970.39,149.64;1304.36,686.87;763.31,1019.83
00001301.png 436.82,486.98;962.48,147.39;1306.9,677.55;772.87,1020.52
00001334.png 434.38,496.97;953.77,145.48;1308.39,670.02;782.32,1022.78
00001368.png 431.91,512.03;939.97,145.91;1309.43,657.51;794.34,1026.69
00001401.png 431.62,523.44;930.27,148.02;1309.83,651.2;804.15,1030.31
00001434.png 428.91,535.54;920.37,149.87;1310.76,645.17;812.27,1034.88
00001468.png 426.15,548.65;909.39,152.74;1309.29,639.27;819.73,1039.02
00001501.png 423.15,560.91;898.2,155.39;1307.87,633.11;826.78,1042.24
00001534.png 419.7,576.2;881.79,156.66;1305.09,621.1;837.61,1044.61
00001568.png 416.59,586.1;870.61,155.89;1303.96,613.38;845.39,1045.37
00001601.png 415.9,594.15;860.94,156.15;1302.29,604.11;852.64,1045.19
00001634.png 415.95,602.61;851.72,157.98;1300.16,596.24;859.32,1044.85
00001668.png 416.73,614.57;840.76,158.22;1300.67,584.94;871.21,1043.85
00001701.png 418.78,620.85;833.26,158.46;1298.83,576.43;878.91,1041.78
00001735.png 417.45,628.26;826.83,158.66;1299.52,569.02;886.45,1041.78
00001768.png 418.2,634.92;819.93,160.28;1298.66,564.32;892.79,1042.01
00001801.png 419.58,645.64;811.52,163.96;1297.21,556.86;900.85,1042.41
00001835.png 420.62,652.47;806.09,165.63;1296.7,552.92;906.84,1043.8
00001868.png 422.95,658.28;802.3,166.26;1297.92,547.71;913.79,1043.23
00001901.png 427.65,662.37;799.88,167.21;1297.85,541.74;921.41,1041.2
00001935.png 430.18,666.43;796.46,167.71;1300.5,535.77;928.15,1039.4
00001968.png 434.37,670.72;792.64,164.78;1302.72,525.62;939.75,1035.19
00002002.png 438.78,672.3;790.5,162.77;1305.01,517.11;948.02,1030.98
00002035.png 443.57,676.13;789.2,162.94;1307.65,510.93;956.63,1029.07
00002068.png 446.94,682.3;787.24,164.49;1309.26,506.18;964.72,1028.46
00002102.png 454.54,691.97;783.09,168.9;1311.74,500.27;977.68,1028.4
00002135.png 458,699.9;780.06,171.85;1312.77,496.62;985.98,1028.51
00002168.png 459.5,709.13;775.7,174.12;1314.73,492.04;993.8,1031.07
00002202.png 462.54,718.12;771.77,179.61;1314.93,490.21;1001.91,1033.85
00002235.png 467.85,729.79;764.65,184.88;1313.92,483.76;1012.93,1033.73
00002268.png 471.3,738.13;760.5,188.33;1315.77,478.84;1022.15,1034.13
00002302.png 475.99,743.53;755.94,189.74;1313.91,471.28;1029.92,1030.16
00002335.png 478.91,747.51;750.82,187.64;1314.61,461.93;1038.62,1026.54
00002369.png 482.76,750.72;746.51,185.17;1316.72,451.38;1048.39,1020.95
00002402.png 490.71,755.39;739.3,182.79;1317.72,434.42;1062.87,1011.2
00002435.png 496.24,757.47;734.9,180.69;1317.03,422.32;1073.46,1003.38
00002469.png 500.73,761.18;730.31,178.34;1318.24,411.02;1084.23,996.31
00002502.png 507.82,766.33;726.51,180.17;1318.51,401.2;1094.02,990.64
00002535.png 517.68,775.61;721.06,182.81;1318.88,388.96;1110.44,984.73
00002569.png 524.69,778.67;715.12,184.38;1316.69,378.53;1118.56,976.74
00002602.png 529.13,781.39;709.35,183.25;1314.67,367.41;1126.8,969.03
00002635.png 533.35,784.99;701.74,183.11;1311.3,357.07;1133.38,961.42
00002669.png 538.63,788.51;692.07,181.1;1306.33,338.2;1144.48,948.82
00002702.png 542.55,790.48;684.98,180.46;1302.34,326.66;1150.76,940.54
00002736.png 547.21,792.05;677.99,180.39;1296.93,317.2;1156.05,931.62
00002769.png 549.58,794.25;670.53,180.35;1292.68,306.93;1160.95,925.19
00002802.png 551.12,798.56;659.34,179.56;1285.54,293.24;1166.65,914.63
00002836.png 551.42,801.89;652.41,180.7;1280.29,286.85;1169.3,910.66
00002869.png 553.09,805.6;644.38,184.58;1272.17,281.44;1171.55,904.23
00002902.png 555.16,807.8;638.1,186.95;1267.34,274.04;1173.79,898.73
00002936.png 555.57,812.32;629.59,188.82;1260.71,269.94;1174.6,895.19
00002969.png 556.49,819.21;620.24,192.92;1253.73,262.69;1180.36,890.91
00003003.png 561.67,822.45;617.95,196.58;1251.03,258.71;1184.85,886.91
00003036.png 566.85,826.91;615.93,201.83;1249.35,255.96;1189.92,884.94
00003069.png 575.09,830.33;617.31,207.57;1248.67,253.89;1196.2,882.22
00003103.png 586.07,841.61;619.49,217.08;1252.11,255.52;1209.04,885.06
00003136.png 592.54,844.86;621.05,220.77;1253.98,251.78;1217.16,883.61
00003169.png 599.8,847.47;622.95,224.48;1256.06,249.93;1223.1,880.6
00003203.png 605.9,851.93;623.3,227.26;1257.44,246.7;1230.81,879.21
00003236.png 613.68,856.97;622.74,230.71;1259.15,242.49;1240.95,876.78
00003269.png 618.86,860.15;623.32,233.53;1259.44,239.19;1246.71,874.75
00003303.png 623.3,861.25;621.33,235.36;1257.25,234.85;1249.94,870.12
00003336.png 626.58,864.38;618.78,239.56;1253.16,233.11;1252.3,867.57
00003370.png 628.54,867.34;615,244.75;1248.23,231.65;1253.16,865.83
00003403.png 628.93,873.59;606.37,250;1240.32,227.9;1255.12,862.07
00003436.png 631.75,874.91;601.6,250.88;1235.82,222.43;1256.74,856.93
00003470.png 632.41,872.97;595.63,248.52;1231.33,211.99;1259.37,848.24
00003503.png 635.28,871.91;590.06,246.89;1226.15,202.92;1260.65,839.59
00003536.png 638.79,870.06;583.04,244.23;1220.15,189.93;1265.43,827.37
00003570.png 643.61,871.76;581.13,246.36;1217.21,185.02;1269.67,821.55
00003603.png 648.87,873.46;578.39,249.57;1213.79,180.06;1273.79,815.69
00003636.png 655.42,876.08;577.7,255.53;1210.48,178.59;1278.06,812.28
00003670.png 665.19,882.32;577.47,264.12;1207.92,175.55;1286.25,807.81
00003703.png 672.01,886.35;576.06,270.58;1204.27,175;1290.71,804.37
00003737.png 680.49,891.89;576.19,277.98;1202.71,173.46;1297.39,801.83
00003770.png 687.75,897.05;576.86,284.48;1201.5,171.95;1304.31,800.27
00003803.png 694.9,902.62;576.63,290.71;1201.33,169.32;1311.38,797.93
00003837.png 707.5,910.33;577.3,302.19;1197.89,168.92;1321.71,794.04
00003870.png 715.28,915.8;577.52,310.65;1194.7,169.44;1326.31,791.81
00003903.png 722.36,921.14;575.26,317.43;1191.8,168.38;1331.55,788.46
00003937.png 728.28,922.82;574.1,322.9;1188.16,164.85;1335.84,783.34
00003970.png 735.07,927.53;570,329.72;1180.43,160.52;1339.51,776.03
00004004.png 739.99,929.02;567.54,333.42;1175.4,157.07;1343.01,770.1
00004037.png 744.4,931.06;564.16,337.81;1170.47,153.23;1346.21,764.26
00004070.png 749.55,932.43;562.02,341;1166.22,148.94;1348.83,758.69
00004104.png 757.04,936.13;558.66,349.13;1158.38,144.76;1353,751.05
00004137.png 761.73,940.24;554.66,353.98;1153.09,142.24;1355.91,747.11
00004170.png 765.89,946.06;551.75,362.02;1147.08,142.54;1358.44,744.77
00004204.png 771.14,950.2;549.2,369.45;1141.82,142.65;1360.5,741.13
00004237.png 777.25,955.02;548.42,376.68;1137.64,141.52;1364.43,738.94
00004270.png 785.56,961.57;544.92,389.43;1129.32,143.65;1367.23,735.21
00004304.png 789.47,967.03;541.6,397.49;1122.41,143.26;1369.04,731.92
00004337.png 793.4,970.15;538.51,403.07;1115.17,142.55;1369.95,726.76
00004371.png 798.4,971.95;535.84,409.54;1109.19,140.12;1371.08,721.36
00004404.png 806.8,973.61;531.26,417.57;1100.56,135.71;1374.17,713.11
00004437.png 811.98,975.41;529.19,422.78;1094.34,133.67;1376.24,706.16
00004471.png 817.57,976.74;528.03,428.05;1088.12,131.35;1376.7,699.56
00004504.png 822.46,979.75;525.15,434.07;1081.15,129.93;1377.91,694.58
00004537.png 829.83,984.61;521.64,446.18;1070.83,130.86;1379.06,688.61
00004571.png 833.29,988.78;518.01,455.1;1061.82,132;1377.85,684.79
00004604.png 837.32,992.37;513.41,463.44;1053.84,132.91;1378.55,680.33
00004637.png 840.95,994.46;510.24,470.91;1044.09,133.18;1374.69,675.41
00004671.png 844.29,996.83;506.21,478.32;1034.44,133.66;1373.13,670.6
00004704.png 849.88,999.85;500.68,489.27;1020.82,133.17;1370.6,661.27
00004738.png 854.6,1001.35;498.26,496.22;1012.77,133.65;1370.37,656.81
00004771.png 862.89,1004.13;499.06,504.44;1007.9,133.43;1373.36,651.02
00004804.png 870.27,1005.17;500.45,511.8;1002.62,134.71;1374.83,645.38
00004838.png 884.67,1007.72;505.51,524.48;996.64,137.61;1379.35,637.99
00004871.png 895.72,1009;510.58,534.15;992.93,141.07;1382.58,633.36
00004904.png 904.77,1010.39;512.66,542.08;988.16,141.77;1385.17,627.22
00004938.png 913.46,1010.79;513.46,550.02;981.94,142.59;1387.28,620.37
00004971.png 924,1013.22;512.89,562.3;971.29,142.48;1387.59,611.18
00005005.png 929.94,1016.58;510.64,571.16;961.62,143.65;1387.47,604.46
00005038.png 936.33,1016.47;509.32,581.12;951.52,145.42;1385.23,597.57
00005071.png 943.87,1015.83;507.76,587.66;942.51,144.55;1384.77,588.59
00005105.png 948.77,1015.42;506.41,596.53;930.99,143.6;1381.43,580.25
00005138.png 957.81,1011.31;503.15,606.66;915.51,142.24;1377.74,565.77
00005171.png 963.23,1007.43;501.43,612.51;904.04,140.12;1373.82,555.46
00005205.png 968.58,1005.58;499.24,618.53;892.74,138.52;1370.54,545.5
00005238.png 973.36,1000.25;495.31,622.5;880.37,134.64;1367.1,532.15
00005271.png 980.39,995.21;491.63,630.35;864.16,129.73;1361.38,516.25
00005305.png 985,990.75;489.39,635.85;852.21,127.87;1356.43,505.83
00005338.png 989.03,986.35;486.45,640.31;841.36,125.78;1352.74,495
00005372.png 992.54,980.75;485.07,644.06;829.92,123.96;1347,483.64
00005405.png 1000.26,971.81;483.4,649.46;813.92,120.01;1340.36,467.32
00005438.png 1005.87,965.55;484.41,652.57;805.48,117.65;1337.71,455.51
00005472.png 1012.67,959.91;486.34,656.12;797.55,115.79;1336.27,444.32
00005505.png 1020.76,955.99;489.5,662.14;791.28,115.3;1336.15,435.64
