00000033.png 525.54,230.17;1216.73,226.46;1234.76,924.83;520.85,935.84
00000066.png 528.79,227.34;1218.8,222.85;1235.54,919.81;524.42,930.52
00000100.png 531.35,228.08;1219.94,223.12;1237.17,919.55;526.14,929.41
00000133.png 540.31,226.36;1226.94,222.24;1244.35,916.7;535.66,926.9
00000166.png 545.8,225.9;1231.17,222.25;1248.18,915.51;540.05,924.8
00000200.png 549.17,226.25;1233.11,222.12;1251.16,913.65;544.36,923.03
00000233.png 552.28,225.41;1234.58,222.11;1253.16,912.43;547.4,921.81
00000266.png 563.06,225.48;1243.06,222.64;1262.37,909.6;558.97,920.32
00000300.png 570.06,228.98;1247.27,225.43;1268.21,910.14;567.02,921.92
00000333.png 576.95,234.92;1251.91,229.84;1276.75,910.71;577.79,925.72
00000367.png 596.27,241.03;1266.21,233.94;1295.14,910.26;600.33,928.76
00000400.png 621.74,252.16;1284.99,242.9;1320.08,912.7;631.27,936.45
00000433.png 629,259.58;1286.7,247.27;1325.45,911.35;640.4,939.9
00000467.png 628.24,261.62;1284.26,246.49;1328.11,907.65;645.53,941
00000500.png 631.06,259.09;1284.44,241.4;1333.7,898.4;654.05,939.09
00000533.png 630.14,256.13;1282.44,238.08;1335.78,892.89;658.45,936.99
00000567.png 630.74,250.46;1279.34,230.28;1336.7,880.62;663.23,930.46
00000600.png 634.05,242.68;1279.45,223.82;1337.76,869.48;668.13,921.21
00000633.png 639.15,232.65;1280.27,215.57;1338.78,856.34;674.68,910.37
00000667.png 646.99,228.08;1284.87,212.84;1344.52,851.79;683.17,904.9
00000700.png 662.66,224.79;1295.06,213.08;1354.85,847.39;698.9,900.45
00000734.png 672.21,222.45;1303.71,213.96;1362.17,847.07;708.82,899.99
00000767.png 684.66,219.3;1313.95,214.6;1373.6,847.08;720.84,898.81
00000800.png 695.71,218.24;1323.91,216.15;1380.81,849.33;729.72,900.62
00000834.png 711.04,216.35;1337.72,218.31;1393.52,851.08;744.22,900.39
00000867.png 723.7,216.55;1346.38,221.77;1401.54,853.88;754.48,901.26
00000900.png 738.94,214.72;1358.6,224.08;1410.72,855.34;767.64,899.99
00000934.png 762.22,210.46;1378.24,224.74;1426.15,853.67;788.99,893.73
00000967.png 783.08,204.68;1396.66,224.42;1441.86,852.82;806.47,889.92
00001001.png 808.5,206.38;1417,230.14;1458.92,858.97;828.76,891.84
00001034.png 828.68,204.21;1436.78,232.85;1475.51,862.91;845.24,894.59
00001067.png 856.72,201.11;1461.6,233.46;1497.41,863.26;871.23,891.82
00001101.png 869.93,195.21;1472.58,231.82;1506.31,862.6;882.95,889.87
00001134.png 876.41,190.99;1478.14,230.14;1509.55,862.9;887.98,890.34
00001167.png 872.17,188.5;1472.78,230.37;1504,863.95;883.69,893.19
00001201.png 858.95,190.1;1455.99,234.48;1486.22,866.67;870.68,898.87
00001234.png 845.95,191.37;1440.95,237.16;1471.99,869.48;858.19,904.59
00001267.png 830.27,190.41;1423.19,239.4;1453.62,871.23;844.06,910.09
00001301.png 824.66,190.12;1415.57,241.2;1445.47,874.19;837.79,915.28
00001334.png 822.1,190.17;1410.04,243.92;1439.83,876.76;836.47,919.54
00001368.png 831.71,192.15;1413.57,249.58;1442.35,883.95;843.64,928.68
00001401.png 846.57,191.25;1425.02,251.24;1450.53,885.82;855.61,931.49
00001434.png 864.64,188.75;1435.53,252.47;1460.26,887.22;874.11,933.77
00001468.png 875.68,185.89;1440.58,252.33;1463.6,887.51;883.72,934.9
00001501.png 881.8,181.19;1442.43,252.67;1462.3,889.52;888.88,939.66
00001534.png 881.76,176.21;1439.06,252.75;1457.27,890.44;886.19,943.23
00001568.png 887.64,172.36;1438.69,251.43;1455.69,892.66;891.29,948.78
00001601.png 894.01,170.09;1441.67,252.53;1457.66,896.6;897.71,954.99
00001634.png 905.38,172.06;1445.86,256.44;1459.94,901.54;907.74,963.69
00001668.png 911.17,173.67;1447.87,259.25;1459.2,906.48;910.89,971.53
00001701.png 911.03,174.24;1443.78,260.98;1454.97,908.89;909.9,975.88
00001735.png 914.22,167.18;1443.35,257.01;1453.25,906.04;912.15,973.9
00001768.png 919.2,159.51;1446.56,252.25;1453.74,902.22;915.13,971.37
00001801.png 932.35,151.15;1452.54,246.24;1458.62,895.73;929.47,965.11
00001835.png 944.04,140.51;1461.51,239.35;1467.17,892.63;940.3,963.07
00001868.png 962.13,129.91;1472.13,233.58;1476.54,889.63;956.47,960.72
00001901.png 971.12,127.55;1477.18,233.67;1479.79,891.74;963.99,964.23
00001935.png 985.84,130.47;1480.86,238.42;1482.78,895.98;976.88,969.19
00001968.png 987.76,134.22;1478.36,244.15;1478.42,902.11;974.47,978.03
00002002.png 988.08,140.52;1472.11,250.42;1472.84,908.86;976.27,988.22
00002035.png 991.11,142.25;1468.9,254.22;1469.01,911.96;981.14,993.93
00002068.png 997,142.49;1467.74,255.81;1469.39,914.37;986.9,999.87
00002102.png 997.89,140.57;1464.96,255.54;1467.56,914.6;991.3,1002.09
00002135.png 1003.36,136.93;1466.68,252.5;1470.53,913.71;997.62,1004.14
00002168.png 1005.83,127.41;1464.64,245.05;1471.9,909.09;1003.06,1003.08
00002202.png 1007.46,117.49;1463.16,238.17;1470.48,904.12;1006.47,1000.27
00002235.png 1010.39,109.26;1460.35,232.45;1469.31,898.53;1011.72,995.97
00002268.png 1017.68,106.59;1460.78,230.5;1470.15,895.74;1020.26,994.32
00002302.png 1032.06,105.39;1463.03,230.27;1472.6,894.39;1033.97,994.41
00002335.png 1035.34,104.11;1461.95,230.63;1471.89,894.39;1038.52,995.39
00002369.png 1032.57,99.69;1456.19,230.41;1464.35,897.51;1032.69,1002.29
00002402.png 1029.93,97.43;1451.27,230.6;1459.25,902.34;1029.94,1008.64
00002435.png 1035.35,95.13;1452.69,231.41;1458.3,906.25;1033.75,1016.11
00002469.png 1044.47,92.67;1456.43,231.11;1463.01,907.65;1043.37,1018.39
00002502.png 1053.37,89.18;1456.9,229.14;1464.03,904.25;1048.14,1016.63
00002535.png 1059.17,86.32;1456.51,228.21;1461.92,904.23;1054.56,1016.23
00002569.png 1060.66,82.94;1454.32,226.57;1459.39,902.33;1058.84,1015.02
00002602.png 1062.09,78.88;1451.48,225.5;1456.35,902.53;1059.86,1017.25
00002635.png 1062.76,74.35;1448.18,224.96;1453.27,902.95;1057.64,1017.54
00002669.png 1065.64,66.9;1445.33,220.37;1451.07,902.15;1059.37,1015.85
00002702.png 1068.64,61.72;1444.45,218.51;1449.34,901.53;1066.19,1015.29
00002736.png 1071.19,56.05;1438.39,217.76;1442.6,898.52;1062.47,1014.09
00002769.png 1068.05,54.73;1431.69,219.54;1434.77,902.13;1061.71,1014.97
00002802.png 1065.8,56.08;1423.85,224.63;1427.76,908.13;1060.07,1022.53
00002836.png 1067.1,60.27;1419.83,229.93;1423.82,913.71;1059.91,1030.1
00002869.png 1067.95,71.68;1411.88,240.91;1415.04,922.6;1060.2,1040.38
00002902.png 1066.05,85.95;1402.99,252.29;1406.65,930.57;1060.45,1050
00002936.png 1064.62,102.28;1393.36,265.46;1398.6,940.26;1058.2,1061.26
00002969.png 1063.87,111.3;1389.04,272.08;1393.99,945;1059.04,1068.17
00003003.png 1066.52,112.17;1385.32,274.32;1392.03,947.04;1061.59,1070.8
00003036.png 1059.4,102.83;1377.16,268.2;1383.73,940.19;1055.27,1061.9
00003069.png 1055.45,95.03;1373.26,263.46;1378.88,934.85;1051.43,1056.1
00003103.png 1054.66,89.21;1369.09,258.12;1374.83,928.62;1051.69,1049.44
00003136.png 1057.33,82.51;1368.9,252.16;1375.59,923.45;1055.13,1042.63
