00000033.png 624.78,234.36;1488.51,228.13;1490.5,817.34;625.33,814.3
00000066.png 625.14,235.64;1485.49,229.98;1488.55,818.55;623.57,814.59
00000100.png 623.67,236.5;1484,229.96;1486.1,816.8;623.62,813.53
00000133.png 623.27,236.54;1483.06,229.95;1484.07,817.03;623.99,814.03
00000166.png 623.23,238.43;1481.3,231.25;1482.03,816.84;623.48,813.87
00000200.png 624.09,240.63;1478.69,232.33;1480.42,816.5;623.89,812.86
00000233.png 622.25,240.6;1478.03,233.21;1479.33,817.39;622.6,814.51
00000266.png 622.56,240.42;1476.43,233.26;1478.38,816.25;622.7,813.55
00000300.png 623.85,240.88;1476.39,233.14;1477.89,815.96;623.22,812.99
00000333.png 624.18,241.54;1475.07,233.54;1476.86,814.91;624.75,813.22
00000367.png 624.97,242.8;1474.39,234.7;1476.62,813.91;626.41,812.16
00000400.png 624.93,242.67;1473.19,234.46;1476.08,813.54;625.69,811.81
00000433.png 626.1,241.36;1473.41,233.29;1475.73,811.01;627.9,810.14
00000467.png 625.34,241.04;1473.22,231.65;1475.67,810.52;628.09,808.79
00000500.png 626.95,240.6;1472.75,231.34;1475.83,807.86;629.39,807.87
00000533.png 628.95,240.04;1473.36,230.79;1475.92,805.72;632.09,806.3
00000567.png 629.53,239.81;1472.11,230.79;1474.02,804.48;632.37,804.06
00000600.png 630.52,238.97;1472.61,228.81;1474.5,800.92;635.29,801.86
00000633.png 631.11,238.06;1471.03,227.95;1472.25,797.6;637.12,799.25
00000667.png 633.06,236.8;1471.32,225.48;1474.37,796.52;638.22,798.09
00000700.png 634.64,236.16;1471.65,224.33;1473.97,793.71;640.84,795.78
00000734.png 636.29,235.34;1472.01,222.52;1474.3,790.07;643.61,792.64
00000767.png 637.44,233.91;1473.12,221.18;1475.05,787.63;645.02,790.26
00000800.png 639.39,232.99;1471.25,218.99;1474.36,783.73;648.36,787.85
00000834.png 642.64,232.81;1472.3,218.56;1474.13,781.34;652.06,785.14
00000867.png 643.41,231.31;1471.14,215.74;1474.42,779.56;653.25,783.47
00000900.png 645.92,231.97;1471.48,216.53;1473.86,776.16;656.92,780.84
00000934.png 647.17,230.37;1471.09,214.43;1474.43,773.93;658.3,779.45
00000967.png 649.25,231.93;1472.24,214.87;1474.57,772.28;661.38,778.25
00001001.png 650.68,230.52;1471.72,213.7;1474.92,770.47;663.31,777.13
00001034.png 652.93,231.32;1471.11,214.3;1473.24,767.82;666.27,775.84
00001067.png 654.58,231.83;1470.74,213.63;1473.75,766.66;667.52,774.48
00001101.png 656.14,231.31;1470.96,212.74;1473.68,765.69;670.14,773.43
00001134.png 657.66,230.97;1471.8,212;1474.58,763.96;671.67,772.44
00001167.png 660.3,232.76;1471.39,212.69;1474.49,763.13;673.92,771.63
00001201.png 662.88,232.94;1472.1,212.57;1475.09,761.66;676.1,770.21
00001234.png 664.22,233.25;1471.29,213.04;1475.09,759.79;679.15,768.92
00001267.png 665.7,233.72;1470.3,214.28;1474.03,760.57;680.65,768.32
00001301.png 668.39,235.19;1469.47,215.52;1470.82,757.29;684.64,765.47
00001334.png 671.18,237.09;1468.1,216.24;1471,757.05;685.68,765.9
00001368.png 671.52,236.65;1466.93,216.56;1471.24,756.78;685.76,765.45
00001401.png 673.41,237.28;1466.27,217;1470.02,755.01;687.71,763.51
00001434.png 675.28,237.4;1465.88,217.4;1469.23,754.54;688.84,763.77
00001468.png 677.32,238.12;1465.41,217.84;1468.07,753.18;690.94,761.46
00001501.png 680.92,239.37;1463.88,220.05;1467.54,752.23;693.82,759.38
00001534.png 682.83,240.09;1463.08,219.99;1466.4,751.25;695.07,758.86
00001568.png 685.61,239.74;1462.79,221.35;1465.65,749.7;697.43,756.62
00001601.png 688.55,239.92;1461.4,221.37;1465.05,747.68;699.98,754.08
00001634.png 691.35,238.55;1460.37,220.73;1463.02,744.8;702.87,750.39
00001668.png 694.43,239.4;1457.55,221.46;1461.44,741.81;705.35,747.27
00001701.png 697.51,238.73;1456.9,221.95;1459.78,738.14;708.05,744.05
00001735.png 702.13,239.84;1454.57,222.76;1457.2,734.87;711.61,739.93
00001768.png 706.68,240.06;1451.71,224.65;1453.5,731.58;716.18,735.99
00001801.png 710.28,239.99;1451.26,224.9;1452.72,729.65;719.06,732.93
00001835.png 713.54,240.71;1451.43,225.53;1451.62,726.73;722.47,731.07
00001868.png 717.26,239.5;1451.74,225.06;1453.04,724.97;725.39,727.98
00001901.png 721.83,237.32;1452.57,223.94;1454.26,722.6;728.02,725.01
00001935.png 726.18,237.42;1451.95,223.76;1454.05,718.77;733.07,720.78
00001968.png 731.25,238.39;1451.24,224.32;1452.92,714.83;736.83,716.94
00002002.png 733.92,239.37;1450.19,225.62;1450.82,713.53;740.69,715.7
00002035.png 736.76,240.78;1447.98,230.12;1449.24,714.62;742.99,713.37
00002068.png 740.24,243.37;1446.29,230.59;1446.85,713.17;745.12,713.45
00002102.png 742.93,244.83;1443.83,233.52;1445.32,713.01;747.4,712.47
00002135.png 744.4,248.24;1439.46,237.85;1441.33,711.9;749.35,711.36
00002168.png 745.78,250.05;1438.33,239.15;1439.88,711.5;750.18,711.29
00002202.png 747.52,252.85;1434.99,242.52;1436.17,711.08;751.02,711.14
00002235.png 747.12,254.8;1433.05,244.62;1434.01,711.88;750.47,711.84
00002268.png 749.25,258.55;1429.6,249.44;1429.97,712.73;752.55,711.38
00002302.png 750.13,262.5;1424.86,252.18;1426.77,713.48;753.06,711.97
00002335.png 749.81,265.82;1421.96,256.38;1422.88,714.83;752.16,713.52
00002369.png 749.45,268.41;1419.78,258.93;1421.41,716.65;752.82,714.85
00002402.png 749.16,271.77;1417.51,262.14;1419.33,717.51;752.2,716.46
00002435.png 748.72,274.34;1413.7,265.39;1415.83,719.49;750.96,717.48
00002469.png 747.84,277.74;1411.48,268.89;1413.35,721.32;750.66,721.28
00002502.png 748.45,282.2;1406.02,272.21;1408.88,722.49;750.46,721.73
00002535.png 747.36,284.76;1403.1,275.93;1406.27,723.79;748.66,723.91
00002569.png 746.31,288.66;1398.91,280.14;1399.72,725.51;748.55,725.58
00002602.png 745.26,292.62;1396.22,284.78;1398.68,726.91;747.59,727.9
00002635.png 744.73,296.88;1391.31,286.17;1395.56,728.1;748.88,729.83
00002669.png 744.24,300.7;1388.34,289.9;1392.03,728.12;747.87,731.49
00002702.png 742.88,302.94;1383.98,292.66;1388.4,729.28;747.72,733.32
00002736.png 742.88,306.96;1380.3,296.82;1384.31,729.56;746.54,732.83
00002769.png 742.12,309.67;1377.45,299.47;1382.97,731.78;747.24,735.99
00002802.png 743,312.22;1374.23,301.21;1379.5,731.08;747.8,735.28
00002836.png 743.64,314.76;1371.22,302.89;1376.07,729.8;748.62,734.79
00002869.png 743.99,314.66;1368.71,302.53;1374.42,727.72;750.03,733.53
00002902.png 745.3,315.02;1367.07,302.07;1372.17,724.03;752.15,731.37
00002936.png 747.65,315.46;1366.35,301.67;1372.59,722.81;752.96,729.1
00002969.png 748.5,313.97;1366.52,299.9;1372.28,720.36;755.53,727.56
00003003.png 750.84,313.29;1365.85,298.46;1371.83,716.55;759,723.79
00003036.png 752.99,312.58;1367.53,296.47;1373.25,715.97;761.36,722.33
00003069.png 755.33,310.31;1365.92,295.01;1372.31,712.11;763.37,719.64
00003103.png 755.65,309.85;1364.77,294.22;1371.61,709.55;764.66,718.02
00003136.png 758.01,310.73;1362.1,296.18;1369.63,706.13;766.91,714.32
00003169.png 759.1,308.92;1361.83,293.31;1367.9,704.21;767.71,712.16
00003203.png 760.47,309.32;1359.91,293.8;1367.14,701.12;769.44,709.69
00003236.png 762.07,308.58;1359.35,291.73;1364.81,698.09;771.85,706.16
00003269.png 762.81,306.39;1358.01,289.91;1364.94,695.82;772.9,704.4
00003303.png 764.08,304.91;1357.83,288.92;1363.98,692.68;773.47,701.53
00003336.png 766.23,303.82;1357.67,287.55;1363.47,690.37;774.45,699.06
00003370.png 768.46,302.56;1357.32,287.29;1363.16,687.93;777.44,696.47
00003403.png 770.93,301.33;1357.49,285.23;1364.25,685.65;780.13,693.37
00003436.png 773.21,300.64;1357.71,284.62;1363.38,682.51;782.27,691.53
00003470.png 776.95,300.5;1357.58,285.81;1361.88,679.49;785.37,687.63
00003503.png 780.1,299.27;1358.4,284.33;1364.44,677.24;789.48,686.02
00003536.png 782.78,297.97;1361.53,283.79;1364.9,676.72;790.03,683.29
00003570.png 785.29,296.55;1361.44,283.65;1364.82,674.56;794.03,681.15
00003603.png 788.23,295.21;1364.22,282.01;1367.71,674.36;794.97,680.21
00003636.png 792.43,295.51;1364.35,281.52;1368.26,672.88;799.56,676.34
00003670.png 796.75,295.03;1366.09,283.67;1369.53,669.97;802.29,674.98
00003703.png 801.33,294.78;1367.95,283.51;1370.7,669.06;806.81,673.63
00003737.png 805.73,295.66;1370.46,284.55;1373.69,669.17;809.75,672.38
00003770.png 810.48,295.85;1374.29,285.53;1376.67,669.49;814.6,671.09
00003803.png 816.53,296.69;1375.85,287.3;1377.82,666.86;820.03,669.98
00003837.png 821.86,297.82;1378.1,288.69;1379.98,668.06;825.1,668.45
00003870.png 827.47,300.3;1381.12,290.77;1381.58,667.11;830.92,667.99
00003903.png 831.87,300.77;1383.24,291.99;1385.09,668.17;834.87,667.77
00003937.png 837.61,302.75;1387.43,294.5;1387.93,670.21;839.19,668.22
00003970.png 843.78,303.54;1389.7,297.63;1390.69,671.3;845.3,667.73
00004004.png 848.46,306.31;1391.72,300.25;1392.06,669.43;849.76,666.89
00004037.png 853.39,308.34;1393.46,303.79;1395.33,672;852.96,666.77
00004070.png 857.88,310.67;1396.16,305.37;1396.1,672.06;856.92,668.63
00004104.png 861.76,314.9;1398.29,308.59;1396.64,675.18;860.28,669.31
00004137.png 865.37,317.57;1398.43,312.37;1397.75,676.23;863.74,670.99
00004170.png 868.28,320.02;1399.39,315.73;1399.15,677.22;866.08,671.59
00004204.png 871.98,323.58;1400.04,319.77;1399.16,678.72;870.3,673.6
00004237.png 873.71,326;1400.18,321.97;1399.85,681.61;871.96,675.39
00004270.png 874.53,328.55;1400.95,324.31;1400.48,684.06;873.55,677.87
00004304.png 877.39,333.79;1399.59,328.3;1398.43,684.69;875.4,677.81
00004337.png 877.21,334.43;1397.17,331.46;1396.9,686.71;875.36,679.32
00004371.png 877.98,336.92;1395.44,333.75;1395.15,686.53;876.26,680.16
00004404.png 880.01,338.84;1393.05,336.7;1392.75,685.9;877.72,679.61
00004437.png 880.16,340.91;1392.93,336.87;1391.65,688.07;877.64,681.27
00004471.png 880.12,342.65;1390.46,338.83;1389.62,687.78;877.46,680.67
00004504.png 880.01,344.53;1387.54,341.39;1388.15,688.01;878.66,682.01
