00000033.png 668.04,227.71;1361.67,219.23;1363.87,692.73;669.44,693.93
00000066.png 667.45,228.36;1359.78,219.89;1361.29,690.63;670.67,692.83
00000100.png 667.31,228.8;1359.99,219.62;1362.26,691.23;669.58,692.57
00000133.png 667.8,226.85;1360.29,217.89;1363.35,691.38;669.83,694.2
00000166.png 667.3,227.33;1359.65,218.64;1361.9,690.19;669.69,691.68
00000200.png 666.44,226.7;1359.77,217.76;1361.59,690.09;669.94,692.21
00000233.png 666.14,225.58;1359.86,216.63;1362.66,691.61;668.87,692.32
00000266.png 666.13,226.96;1358.45,217.24;1361.75,688.2;669.97,690.7
00000300.png 665.83,225.17;1358.8,215.83;1362.38,688.39;668.52,691.89
00000333.png 665.52,225.1;1358.95,216.21;1361.29,687.53;670.12,690.73
00000367.png 664.46,224.61;1359.28,215.56;1360.94,688.07;668.57,690.69
00000400.png 664.72,224.91;1357.92,215.26;1360.2,687.33;668.39,689.99
00000433.png 663.94,224.85;1356.78,215.38;1359.83,687.23;668.02,690.26
00000467.png 663.16,223.99;1356.82,213.91;1358.91,686.27;666.41,689.44
00000500.png 662.62,224.3;1355.3,214.11;1358.55,686.94;666.91,689.25
00000533.png 661.51,224.94;1354.54,215.05;1357.63,686.52;665.74,689.56
00000567.png 659.27,223.46;1353.64,213.98;1357.09,686.98;662.35,689.24
00000600.png 659.37,224.82;1349.99,215.9;1353.96,686.41;662.63,689.84
00000633.png 656.61,224.25;1348.14,214.95;1351.01,683.72;661.06,689.02
00000667.png 650.72,223.44;1342.93,213.74;1346.24,684.41;654.97,688.74
00000700.png 646.81,224.23;1338.57,215.73;1341.6,685.19;651.61,689.37
00000734.png 642.61,224.42;1333.11,215.08;1336.47,684.94;646.59,688.02
00000767.png 636.3,223.77;1326.32,215.14;1330.35,683.31;641.97,689.16
00000800.png 629.02,223.57;1319.69,215.51;1323.54,684.56;633.76,689.21
00000834.png 621.82,225.1;1311.24,216.77;1315,684.33;626.83,689.82
00000867.png 613.42,224.71;1300.33,218;1304.47,683.86;618.07,688.92
00000900.png 601.32,224.89;1290.08,217.95;1293.71,684.12;607.52,689.97
00000934.png 591.91,225.46;1278.19,219.42;1281.61,685.5;597.06,689.6
00000967.png 579.04,225.49;1266.11,220.19;1269.67,684.79;583.29,689.65
00001001.png 568.37,227.39;1249.47,224.36;1253.39,683.72;574.33,689.87
00001034.png 553.9,227.64;1235.8,225.07;1239.39,684.84;558.88,690.42
00001067.png 541.3,228.55;1220.61,226.53;1223.58,684.56;543.83,692
00001101.png 525.94,229.17;1205.39,228.47;1207.57,684.46;528.89,692.43
00001134.png 510.01,230.9;1188.11,230.48;1191.11,685.74;513.41,693.27
00001167.png 490.62,230.08;1171.72,232.12;1176.61,686.1;493.26,695.3
00001201.png 475.11,231.55;1154.2,234;1157.27,687.2;477.76,694.79
00001234.png 457.62,232.34;1136.72,235.03;1139.57,687.32;460.56,694.62
00001267.png 439.56,232.11;1119.99,236.88;1121.67,686.72;442.36,695.08
00001301.png 407.26,233.8;1083.23,240.81;1085.14,687.57;408.81,696.39
00001334.png 389.89,234.43;1065.74,241.6;1067.84,687.31;391.22,695.67
00001368.png 374.06,233.33;1049.07,242.55;1051.1,686.88;373.55,696.83
00001401.png 355.57,233.51;1033.38,241.24;1036.01,687.95;356.89,696.62
00001434.png 339.63,235.48;1018.38,243.83;1018.61,688.18;339.42,697.7
00001468.png 323.59,235.26;1001.58,244.35;1003.6,686.22;326.89,697
00001501.png 310.45,235.3;988.96,246.4;991.27,687.56;309.74,697.72
00001534.png 297.94,234.84;977.82,245.12;980.3,686.62;297.94,698.45
00001568.png 288.26,234.45;966.67,246.68;968.67,686.31;288.11,698.39
00001601.png 279.93,237.34;958.18,247.52;959.96,687.82;280.44,697.89
00001634.png 274.29,236.9;953.19,248.71;955.01,687.57;273.95,698.6
00001668.png 271.41,238.44;950.19,249.16;952.09,688.15;272.02,699.17
00001701.png 272.07,238.75;950.56,249.66;953.05,688.22;272.61,700.23
00001735.png 275.81,240.04;954.42,250.32;956.21,687.57;277.03,700.27
00001768.png 281.33,239.81;961.54,248.83;964.22,688.34;280.91,702.08
00001801.png 291.07,239.52;970.53,249.28;973.25,689.65;291.11,701.64
00001835.png 305.38,240.32;983.2,247.93;986.27,688.62;304.78,702.49
00001868.png 319.81,239.11;999.14,246.7;1001.86,688.31;320.95,701.68
00001901.png 340.14,239.14;1016.72,245.67;1019.08,687.51;341.22,701.86
00001935.png 389.31,240.23;1059.68,244.28;1063.27,689.66;389.61,702.98
00001968.png 413.82,240.48;1084.63,242.58;1088.82,690.29;416.23,704.12
00002002.png 440.68,240.21;1113.94,240.82;1117.93,689.94;442.55,703.64
00002035.png 465.36,242.21;1145.07,240.2;1149.66,693.48;466.4,706.85
00002068.png 501.61,243.66;1171.16,240.54;1176.44,693.27;503.86,705.98
00002102.png 527.75,242.07;1202.81,236.99;1206.75,694.47;532.74,706.37
00002135.png 560.31,242.59;1232.77,234.43;1238.3,694.22;564.36,704.99
00002168.png 589.67,242.35;1264.07,231.91;1269.39,694.48;592.93,704.6
00002202.png 616.08,239.74;1296.1,227.64;1301.79,693.43;620.21,704.84
00002235.png 642.96,238.82;1325.23,225.09;1332.71,692.84;648.23,703.28
00002268.png 668.68,238.37;1356.09,223.66;1363.96,693.91;674.04,704.11
00002302.png 695.54,238.81;1383.93,222.01;1392.01,693.03;701.32,702.28
00002335.png 720.21,237.67;1411.54,219.42;1419.08,693.89;725.35,701.79
00002369.png 744.42,235.4;1439.6,216.76;1447.1,693.19;750.78,701.31
00002402.png 767.32,235.23;1465.98,213.81;1475.02,693.32;773.55,699.87
00002435.png 790.41,232.71;1491.84,211.67;1500.12,692.6;797.75,698.19
00002469.png 812.59,234.64;1514.27,211.07;1521.84,693.09;820.75,697.36
00002502.png 831.97,232.51;1536.26,208.98;1544.02,691.4;839.93,696.25
00002535.png 849.76,231.47;1558.25,206.24;1567.16,691.77;857.03,696.22
00002569.png 881.27,228.04;1594.74,201.97;1604.05,692.29;887.11,695.34
00002602.png 893.5,228.6;1609.27,201.27;1618.45,692.96;900.15,694.32
00002635.png 904.35,227.67;1621.09,200.36;1630.94,692.45;909.93,695.26
00002669.png 913.76,227.76;1631.57,201.47;1639.78,691.5;920.63,693.09
00002702.png 920.56,227.39;1640.51,200.79;1647.4,691.2;926.93,693.14
00002736.png 925.69,225.15;1647.14,197.65;1655.9,693.76;930.58,693.83
00002769.png 929.21,224.68;1653.25,196.93;1661.01,693.92;934.26,694.03
00002802.png 931.08,225.93;1654.24,198.68;1662.06,693.19;936.6,693.15
00002836.png 931.09,224.89;1654.62,197.62;1661.95,693.78;936.18,692.25
00002869.png 927.72,225.88;1650.81,198.89;1658.16,692.85;934.08,692.23
00002902.png 922.51,225.3;1644.06,199.37;1651.39,693.72;927.54,691.95
00002936.png 913.82,224.97;1635.69,199.93;1642.76,693.26;919.19,693.19
00002969.png 904.26,225.5;1620.3,202.08;1627.17,692.34;910.02,689.72
00003003.png 891.25,227.25;1602.33,204.43;1609.8,690.94;897.21,688.98
00003036.png 876.67,226.7;1584.73,204.64;1590.28,691.1;880.66,689.45
00003069.png 862.72,226.86;1563.57,206.66;1569.44,690.61;866.69,687.91
00003103.png 842.79,226.86;1541.7,207.91;1546.58,689.87;846.4,687.94
00003136.png 818.78,226.46;1518.5,208.84;1524.11,689.53;825.1,686.93
00003169.png 799.38,226.49;1491.27,210.9;1495.58,688.91;803.77,685.73
00003203.png 753.14,223.86;1439.31,212.37;1442.01,684.08;756.58,683.38
00003236.png 727.92,222.7;1412.05,213.55;1415.16,683.25;730.43,682.69
00003269.png 699.83,220.28;1386.72,213.19;1386.89,682.06;703.51,682.5
00003303.png 676.43,219.94;1355.35,214.55;1356.58,679.29;678.03,679.7
00003336.png 646.38,218.5;1330.17,213.86;1330.43,678.01;647.62,677.12
00003370.png 622.09,218.21;1298.68,215.57;1297.37,676.45;622.55,676.48
00003403.png 594.9,215.04;1267.96,215.71;1268.37,674.53;595.92,674.49
