00000033.png 901.75,361.39;1479.77,354.33;1490.03,750.61;898.49,746.41
00000066.png 902.03,362.28;1479.1,356.48;1488.29,751.76;900.38,748
00000100.png 901.69,364.48;1481.09,358.46;1490.49,754.59;899.82,751.15
00000133.png 902.61,367.19;1480.4,361;1489.62,756.5;900.38,752.93
00000166.png 902.02,367.12;1479.99,361.59;1490.22,756.67;900.33,753.47
00000200.png 902.42,367;1479.71,360.5;1490.11,757.47;899.77,754
00000233.png 903.44,368.25;1480.92,362;1491.12,757.77;901.25,754.76
00000266.png 903.5,368.5;1481.16,362.03;1490.08,757.95;901.6,754.88
00000300.png 903.79,368.2;1481,360.65;1491.39,755.71;903.48,754.09
00000333.png 903.17,366.69;1481.4,358.6;1491.91,754.98;902.57,752.77
00000367.png 903.46,365.93;1481.25,356.76;1492.1,753.82;902.69,752.36
00000400.png 901.4,364.22;1480.81,356.35;1492.09,751.5;902.57,750.75
00000433.png 901.87,361.56;1479.29,353.04;1490.03,747.81;901.04,748.06
00000467.png 898.88,360.98;1475.8,352.09;1487.57,747.3;899.25,746.92
00000500.png 897.04,360.44;1474.56,351.2;1486.01,746.1;897.61,747.83
00000533.png 896.78,362.12;1472.54,351.97;1484.98,746.7;897.17,747.15
00000567.png 894.9,362;1471.21,352.63;1483.02,745.88;895.06,747.71
00000600.png 893.13,361.59;1468.52,353.21;1480.16,746.32;892.94,748.11
00000633.png 890.25,362.11;1467.15,353.04;1478.35,747.49;891.25,748.33
00000667.png 889.32,361.82;1464.12,355.27;1475.65,745.93;889.56,748.16
00000700.png 888.73,362.25;1463.13,353.53;1475.22,747.67;888.91,748.08
00000734.png 885.83,360.78;1459.97,352.77;1472.58,746.19;886.86,746.76
00000767.png 887.03,360.66;1461.83,351.93;1472.58,745.88;886.48,746.29
00000800.png 886.93,358.79;1461.91,351.39;1472.79,745.12;885.98,744.88
00000834.png 887.71,358.93;1461.82,350.8;1473.25,743.96;887.34,743.51
00000867.png 886.79,357.18;1462,350.13;1472.98,742.34;886.66,742.33
00000900.png 885.6,355.67;1460.72,348.49;1471.43,742.15;884.96,742.86
00000934.png 885.18,355.55;1459.63,346.85;1470.81,741.6;885.68,741.66
00000967.png 884.31,355.08;1458.15,347.99;1469.81,741.51;883.93,741.05
00001001.png 881.82,356.48;1456.63,347.22;1467.89,740.9;882.38,741
00001034.png 880.79,355.28;1455.17,347.15;1465.67,739.85;880.53,739.68
00001067.png 880.43,353.46;1453.06,346.34;1464.43,739.53;880.28,739.59
00001101.png 877.85,353.67;1451.21,345.51;1462.79,737.58;877.63,739.79
00001134.png 876.77,353.41;1449.9,345.05;1460.48,737.41;876.82,737.06
00001167.png 875.81,353.32;1447.88,344.26;1458.3,734.95;876.67,736.62
00001201.png 875.47,351.63;1449.49,343.15;1459.97,736.56;875.75,736.94
00001234.png 876.99,352.47;1449.94,344.65;1460.75,736.01;876.55,737.41
00001267.png 878.01,354.18;1450.21,345.05;1462,736.62;877.99,737.93
00001301.png 878.75,353.95;1451.21,345.77;1462.68,737.44;878.23,737.89
00001334.png 879.48,353.64;1452.25,345.34;1464.04,738.69;878.79,739.72
00001368.png 879.12,356.85;1451.36,347.56;1463.32,739.71;879.66,739.93
00001401.png 880.36,358.01;1452.49,349.48;1462.98,739.98;881.04,740.77
00001434.png 879.28,358.26;1452.28,349.46;1463.87,743.08;878.89,742.4
00001468.png 880.13,360.37;1452.46,351.07;1464.88,743.71;880.41,744.21
00001501.png 880.51,361.03;1453.37,352.97;1465.58,745.26;880.6,746.41
00001534.png 880.54,363.8;1453.05,354.73;1465.43,748.01;879.39,748.18
00001568.png 878.63,365.75;1451.03,357.82;1462.68,748.03;879.33,749.38
00001601.png 878.37,365.01;1451.14,357.04;1463.13,749.09;878.22,750.1
00001634.png 877.15,366.84;1449.54,358.43;1460.46,749.94;876.32,749.78
00001668.png 875.66,368.39;1447.79,360.89;1458.53,751.06;877.02,751.55
00001701.png 875.69,370.93;1448.2,363.72;1458.9,756.02;874.51,755.38
00001735.png 876.56,373.98;1447.52,367.34;1457.58,756.97;876.02,757.59
00001768.png 875.48,375.3;1447.77,369.17;1457.97,762.32;873.69,760.86
00001801.png 874.18,378.11;1446.51,373.33;1456.91,765.35;871.67,763.07
00001835.png 874.44,381.51;1446.78,376.67;1456.14,769.69;871.38,766.83
