00000033.png 779.03,265.44;1571.38,268.55;1565.53,808.85;770.59,790.96
00000066.png 780.09,268.39;1573.46,275.33;1564.84,816.28;769.01,794.61
00000100.png 781.79,271.96;1574.15,282.64;1563.26,824.62;768.36,797.69
00000133.png 783.17,275.36;1575.57,289.99;1562.85,832.45;765.99,801.75
00000166.png 785.71,276.12;1577.9,297.38;1562.54,840.12;765.53,803.11
00000200.png 788.11,276.65;1581.97,302.8;1561.54,845.49;764.38,803.59
00000233.png 791.74,276.96;1585.23,308.54;1561.04,852.26;763.78,804.21
00000266.png 796.26,277.82;1588.32,315.45;1559.61,858.06;763.8,804.03
00000300.png 800.21,278.61;1592.6,322.05;1559.23,865.21;763.8,803.78
00000333.png 804.55,278.91;1596.94,329.91;1559.58,872.37;764.25,803.45
00000367.png 809.62,280.49;1601.45,337.49;1559.42,879.36;764.68,804.11
00000400.png 813.54,280.07;1605.81,344.17;1559.44,886.42;764.59,803.68
00000433.png 817.4,280.41;1608.69,351.11;1557.33,891.89;763.44,802.99
00000467.png 821.67,279.7;1612.79,357.2;1556.33,898.29;762.95,801.56
00000500.png 825.78,277.7;1616.13,362.45;1553.91,903.55;761.39,798.76
00000533.png 828.42,275.08;1617.77,365.93;1551.45,907.1;761.32,795.07
00000567.png 833.35,270.77;1621.82,370.35;1549.13,910.27;759.8,790.28
00000600.png 837.36,266.55;1626.13,373.56;1548.58,914.65;758.42,786.34
00000633.png 842.05,262.39;1630.1,376.56;1546.65,915.75;758.22,781.14
00000667.png 845.71,256.19;1634.33,379.74;1545.44,918.31;758.49,774.95
00000700.png 850.27,254.02;1636.92,381.44;1544.25,920.11;757.88,771.71
00000734.png 853.93,250.21;1641.84,385.73;1543.05,923.87;757.11,767.53
00000767.png 858.71,246.09;1648.82,388.9;1544.9,929.36;756.81,764.13
00000800.png 864.71,243.2;1653.85,394.38;1544.33,931.84;758.12,759.93
00000834.png 869.29,238.82;1658.43,395.89;1544.01,935.28;758.41,755.56
