00000033.png 669.18,238.67;1469.36,231.22;1461.33,771.14;675.24,767.27
00000066.png 672.08,242.16;1472.97,234.05;1465.02,773.13;681.16,770.41
00000100.png 673.04,243.67;1475.82,235.97;1466.58,774.81;684.41,772.44
00000133.png 674.68,248.87;1479.66,240.3;1470.04,780.67;686.38,778.17
00000166.png 677.52,253.33;1483.07,244.89;1472.79,786.5;689.69,782.61
00000200.png 680.73,263.35;1488.85,253.77;1477.56,793.48;694.23,790.56
00000233.png 682.15,270.31;1492.2,261.38;1480.46,799.98;695.42,796.36
00000266.png 684.14,275.38;1497.53,266.21;1484.57,808.51;697.66,803.43
00000300.png 686.45,281;1505.15,274.48;1489.81,818.76;698.32,811.77
00000333.png 687.1,287.29;1508.31,281.04;1491.74,824.22;697.99,817.15
00000367.png 687.6,294.09;1513.64,289.93;1495.14,838.13;698.82,828.39
00000400.png 688.13,300.29;1518.08,297.23;1499.36,847.28;699.63,835.86
00000433.png 687.64,303.44;1521.68,301.55;1500.1,852.79;698.47,840.14
00000467.png 688.36,303.56;1525.96,301.23;1503.56,854.69;699.51,842.04
00000500.png 691.69,302.59;1532.15,302;1508.06,854.84;703.47,841.42
00000533.png 691.91,300.44;1542.06,298.78;1514.64,853.87;708.04,841.33
00000567.png 689.94,297.82;1545.39,293.37;1517.42,850.85;707.44,838.96
00000600.png 684,298.6;1546.21,294.12;1517.84,851.48;705.09,842.32
00000633.png 678.96,302.54;1542.9,295.65;1513.66,851.32;702.97,843.76
00000667.png 673.02,307.93;1539.47,298.41;1509.85,853.74;699.81,847.07
00000700.png 670.61,311.46;1538.95,301.45;1509.44,854.79;699.36,848.87
00000734.png 667.55,313.51;1539.73,303.66;1509.15,857.1;698.98,853.13
00000767.png 666.43,320.65;1539.89,309.04;1508.63,862.94;699.28,857.95
00000800.png 666.58,327.67;1537.83,316.01;1506.03,863.09;701.09,859.81
00000834.png 661.76,335.76;1540.06,322.92;1506.54,873.58;696.36,870.26
00000867.png 657.85,343.7;1533.65,333;1499.57,881.53;692.49,876.67
00000900.png 653.65,356.09;1529.14,347.1;1493.55,891.74;687.47,884.93
00000934.png 654.59,359.98;1532.65,354.82;1496.55,901.97;687.02,892.89
00000967.png 658.72,367;1537.88,362.4;1499.86,909.43;690.29,899.11
00001001.png 666.26,377.82;1546.78,378.07;1506.66,922.84;696.49,907.14
00001034.png 674.06,388.8;1552.85,389.12;1511.46,932.65;701.17,915.67
00001067.png 681.31,402.75;1565.4,406.51;1521.46,952.07;707.32,933
00001101.png 682.62,411.75;1572.34,416.87;1527.05,966.4;707.67,944.89
00001134.png 684.9,422.04;1575.56,428.01;1529.86,978.6;709.5,956.18
