00000033.png 871.81,291.71;1530.3,268.06;1540.9,738.71;879.92,743.81
00000066.png 873.13,292.85;1530.76,270.5;1541.7,739.37;880.68,744.76
00000100.png 874.7,294.12;1532.02,271.64;1541.75,740.07;882.76,744.99
00000133.png 876.85,298.09;1532.74,275.32;1542.03,742.93;883.9,747.27
00000166.png 877.59,298.49;1535.94,276.4;1544.73,745.36;884.69,748.86
00000200.png 879.84,301.07;1536.79,279.15;1545.5,747.68;886.38,750.12
00000233.png 881.52,301.47;1536.89,279.69;1545.58,747.96;888.84,750.02
00000266.png 882.61,302.85;1534.33,280.47;1543.4,744.05;891.28,748.37
00000300.png 882.14,301.71;1534.08,280.27;1542.57,743.9;889.33,747.37
00000333.png 883.65,300.37;1530.72,275.29;1543.19,744.28;888.64,743.03
00000367.png 884.28,304.13;1530.1,277.79;1537.58,738.01;891.76,745.53
00000400.png 884.83,302.23;1528.34,279.64;1536.41,737.52;891.95,742.21
00000433.png 883.32,301.37;1526.22,278.72;1535.83,735.64;893.35,740.74
00000467.png 882.76,301.71;1522.18,279.86;1529.77,735.27;891.37,738.85
00000500.png 884.85,303.3;1520.72,283.24;1527.15,736.15;891.72,738.14
00000533.png 886.31,303.33;1520.68,284.38;1526.53,735.26;893.29,736.66
00000567.png 889.79,304.27;1519.17,285.77;1524.59,733.88;895.44,733.56
00000600.png 893.71,302.18;1520.37,288.07;1524.88,733.24;896.83,733.24
00000633.png 898.11,306.54;1518.37,291.86;1522.49,734.05;901.19,731.2
00000667.png 905.34,305.74;1526.38,292.99;1528.08,734.92;907.07,730.87
00000700.png 911.39,304.08;1527.17,292.16;1528.1,730.72;912.18,723.27
00000734.png 918.15,303.58;1529.99,294.25;1529.92,728.41;919.09,721.53
00000767.png 923.24,305.38;1532.9,292.84;1534.15,729.23;921.99,722.96
00000800.png 931.21,308.21;1537.03,298.55;1536.93,729.68;929.46,721.55
00000834.png 940.66,313.3;1540.82,303.4;1540.66,730.91;940.37,722.52
00000867.png 948.05,317.98;1542.5,305.94;1545.49,733.3;946.05,723.27
00000900.png 955.63,324.9;1547.43,315.78;1548.1,737.71;953.73,726.99
00000934.png 962.97,333.49;1550.87,324.64;1552.85,742.56;962.73,732.84
00000967.png 968.74,338.54;1556.21,329.51;1557.21,749.85;967.74,739.82
00001001.png 972.89,343.71;1557.25,333.66;1559.93,748.33;973.03,739.65
00001034.png 976.94,348.8;1557.03,335.15;1561.02,750.88;976.14,741.24
00001067.png 977.76,351.7;1552.99,338.49;1557.49,746.87;979.84,741.77
00001101.png 979.97,350.84;1552.23,335.79;1557.21,744.59;981.21,739.58
00001134.png 979.61,351.97;1549.64,335.75;1555.32,740;983.65,737.84
00001167.png 977.91,348.37;1545.13,329.72;1551.88,732.41;983.07,733.23
00001201.png 974.89,343.69;1535.2,323.32;1543.57,721.32;981.89,723.43
00001234.png 975.22,339.93;1532.4,319.18;1541.34,715.8;982.49,719.27
00001267.png 976.35,332.07;1534.25,310.57;1542.02,705.35;984.41,711.59
00001301.png 981.66,324.97;1536.96,301.35;1546.04,695.27;990.12,701.52
00001334.png 989.44,320.63;1540.88,297.38;1549.84,688.05;999.06,693.26
00001368.png 998.41,316.66;1546.99,292.58;1553.97,680.82;1004.4,688.85
00001401.png 1002.13,312.01;1553.43,289.85;1560.27,680.84;1009.74,684.68
00001434.png 1010.54,310.72;1557.8,288.82;1563.94,675.45;1018.22,680.13
00001468.png 1015.36,310.11;1561.5,288.39;1566.96,674.6;1021.63,679.69
00001501.png 1023.36,311.31;1567.59,290.19;1571.55,675.1;1029.84,677.3
00001534.png 1028.68,315.36;1567.87,294.39;1571.91,674.12;1035.24,677.28
00001568.png 1034.5,319.33;1570.23,300.31;1574.98,676.95;1040.29,679.55
00001601.png 1036.89,322.86;1571.61,303.64;1576.46,681.47;1042.94,683.5
00001634.png 1040.12,329.95;1571.73,307.88;1575.72,686.09;1045.11,688.09
00001668.png 1038.22,334.76;1566.66,316.87;1570.13,689.32;1043.77,688.87
00001701.png 1037.42,338.39;1562.58,321.71;1566.46,692.67;1042.33,691.43
00001735.png 1036.52,341.96;1559.23,327.95;1562.8,696;1040.84,695.09
00001768.png 1035.3,345.36;1553.95,331.72;1556.35,700.09;1036.1,697.68
00001801.png 1032.23,350.08;1548.94,338.14;1550.33,703.45;1033.62,698.73
00001835.png 1030.39,353.39;1546.48,341.65;1546.98,706.54;1031.71,701.1
00001868.png 1029.8,355.62;1541.05,345.77;1542.31,708.93;1030.03,701.77
00001901.png 1029.95,356.14;1539.78,348.07;1540.1,709.87;1028.95,702.58
00001935.png 1030.6,354.45;1539.27,346.42;1540.27,708.57;1030.6,700.55
00001968.png 1034.17,360.07;1537.86,352.2;1538.04,708.08;1033.77,699.57
00002002.png 1035.56,362.14;1537.9,354.39;1537.18,709.7;1035.6,701.38
00002035.png 1036.47,365.95;1534.2,358.53;1534.56,709.03;1037.57,703.06
00002068.png 1037.99,371.24;1534.67,363.84;1535.72,714.52;1037.61,706.98
00002102.png 1039.95,378.57;1532.66,369.9;1534.52,719.57;1040.55,711.11
00002135.png 1044.16,386.01;1534.54,376.88;1537.99,724.87;1044.33,717.63
00002168.png 1046.85,388.55;1536.55,379.63;1540.35,726.59;1046.4,719.8
00002202.png 1049.78,391.58;1536.12,381.35;1540.25,726.14;1050.38,720.91
00002235.png 1050.13,392.39;1534.47,381.44;1539.57,724.27;1051.98,720.77
00002268.png 1048.71,390.14;1529.72,379.3;1535.11,719.13;1050.98,717.61
00002302.png 1047.99,388.68;1528.02,375.84;1533.5,714.77;1051.22,713.32
00002335.png 1049.9,385.49;1523.86,371.87;1529.99,706.26;1054.02,705.32
00002369.png 1049.58,379.17;1521.62,365.67;1527.3,698.07;1053.63,698.01
00002402.png 1049.58,371.97;1520.35,356.72;1526.74,692.99;1054.37,692.99
00002435.png 1050.2,372.75;1519.5,356.33;1524.8,687.75;1055.25,689.19
00002469.png 1047.35,369.14;1516.13,353.09;1523.11,684.14;1053.33,685.15
00002502.png 1047.95,368.67;1513.22,352.02;1518.83,681.43;1053.3,683.2
00002535.png 1046.9,367.23;1510.14,352.33;1516.25,679.26;1051.92,681.71
00002569.png 1048.63,367.48;1509.12,351.26;1514.49,675.99;1054.22,679.9
00002602.png 1051.5,368.18;1509.25,352.36;1514.62,675.95;1057.02,678.04
00002635.png 1054.51,368.22;1511.5,351.01;1518.48,674.66;1060.06,678.13
00002669.png 1057.34,369.54;1511.59,353.89;1516.41,672.9;1063.65,676.72
00002702.png 1061.32,369.97;1513.27,351.16;1519.5,672.5;1067.55,677.2
00002736.png 1064.84,371.91;1514.72,355.77;1520.02,672.23;1070.46,675.16
00002769.png 1067.67,372.5;1515.3,355.64;1522.48,674.26;1072.45,677.47
00002802.png 1071.2,375.87;1518.21,360.6;1522.97,674.65;1077.12,676.71
00002836.png 1073.41,376.95;1519.66,361.5;1523.75,674.82;1078.25,676.88
00002869.png 1075.19,377.47;1519.57,363.09;1523.82,676.51;1079.5,677.66
00002902.png 1075.59,378;1519.84,364.44;1523.79,677.07;1079.76,677.94
00002936.png 1077.07,381.47;1518.24,368.8;1523.36,679.05;1081.43,679.65
00002969.png 1078.44,384.6;1516.56,372.46;1521.22,680.84;1082.66,681.24
00003003.png 1077.85,385.26;1516.25,373.13;1520.11,682.05;1081.16,681.71
00003036.png 1078.76,388.66;1512.36,376.09;1516.37,682.37;1082.05,680.74
00003069.png 1076.02,391.21;1510.89,379.17;1515.88,684.14;1080.01,686.15
00003103.png 1079.07,395.14;1509.59,381.48;1514.97,685.79;1083.7,686.26
00003136.png 1079.93,396.93;1511.6,384.21;1517.04,688.57;1084.04,690.15
00003169.png 1083.84,402.63;1512.04,389.88;1517.61,691.54;1088.01,693.29
00003203.png 1087.09,410.08;1511.12,395.71;1516.56,690.95;1092.52,696.16
00003236.png 1087.85,413.93;1511.46,400.26;1518.01,698.1;1093.02,700.05
00003269.png 1089.8,418.87;1511.39,405.01;1519.05,702.96;1094.8,704.43
00003303.png 1092.35,424.96;1511.04,410.8;1519.42,705.66;1098.96,707.8
00003336.png 1093.16,427.33;1512.98,411.72;1522.07,707.94;1099.68,711.48
00003370.png 1093.98,429.59;1510.5,413.81;1520.03,707.66;1100.75,711.71
00003403.png 1095.19,430.06;1510.57,413.62;1521.23,706.17;1103.35,711.48
00003436.png 1099.01,427.74;1515.29,409.29;1524.99,702.61;1106.59,709.69
00003470.png 1103.47,425.34;1517.67,405.99;1529.2,698.01;1111.12,705.07
00003503.png 1106.28,421.52;1519.91,401.79;1530.13,692.7;1115.76,699.94
00003536.png 1106.96,415.3;1519.48,393.73;1530.64,684.17;1117.8,692.84
00003570.png 1110.64,406.87;1521.5,385.54;1533.12,674.75;1120.27,684.04
00003603.png 1112.55,401.18;1523.53,379.14;1535.6,668.52;1122.67,678.39
00003636.png 1118.16,393.04;1527.85,370.07;1540.06,658.89;1128.17,670.02
00003670.png 1122.5,384.77;1533.04,361.69;1544.47,650.22;1133.15,661.33
00003703.png 1125.91,377.51;1534.08,354.75;1544.61,641.04;1135.98,652.32
00003737.png 1127.19,374.31;1533.74,352.21;1544.27,637.52;1136.56,647.39
00003770.png 1128.11,369.65;1532.66,348.78;1541.43,634.49;1136.09,644.93
00003803.png 1125.17,370.55;1528.23,352.32;1536.3,632.52;1134.04,641.09
00003837.png 1125.2,370.51;1526.81,351.88;1534.44,633.91;1132.13,640.88
00003870.png 1119.57,372.31;1520.13,353.05;1526.51,637.15;1127.55,642.77
00003903.png 1116.65,376.89;1512.57,361.69;1517.18,639.94;1121.53,643.32
00003937.png 1111.6,382.72;1507.45,369.17;1512.06,647.43;1115.49,650.43
00003970.png 1109.36,388.77;1502.25,376.6;1506.6,651.86;1113.18,653.53
00004004.png 1104.83,399.51;1495.02,389.1;1499.22,662.97;1108.72,663.12
00004037.png 1101.56,410.17;1490.71,400.58;1494.83,674.74;1104.57,674.51
00004070.png 1099.49,417.26;1489.89,408.13;1492.38,683.54;1102,681.92
00004104.png 1098.93,427.73;1484.39,419.28;1488.35,691.66;1101.55,689.63
00004137.png 1098.96,435.98;1482.96,426.95;1485.96,696.81;1101.96,694.8
00004170.png 1101.59,444.86;1483.73,438.35;1487.05,706.93;1103.54,703.44
00004204.png 1103.79,449.9;1484.73,443.33;1488.21,712;1104.93,708.22
00004237.png 1107.99,456.15;1488.86,451.35;1491.97,719.65;1108.55,715.14
00004270.png 1113.19,464.03;1491.93,458.05;1495.18,724.62;1114.26,720.25
00004304.png 1114.87,467.57;1493.41,461.67;1497.74,728.54;1116.49,723.58
00004337.png 1119.09,472.71;1497.61,465.71;1500.8,734.08;1120.99,729.59
00004371.png 1122.43,477.41;1499.9,470.58;1504.97,735.58;1125.08,733.01
00004404.png 1121.58,479.15;1498.5,470.58;1505.56,737.69;1124.74,735.19
