00000033.png 701.59,267.68;1346.87,270.3;1341.67,726.35;698.81,719.17
00000066.png 703.76,269.42;1346.45,271.09;1340.21,724.45;700.03,718.72
00000100.png 701.53,266.78;1345.02,269.7;1339.77,724.52;698.18,717.82
00000133.png 701.08,267.38;1344.43,269.15;1339.07,723.94;698.71,718.66
00000166.png 701.24,266.96;1343.06,269.75;1338.65,723.46;697.24,717.09
00000200.png 699.09,264.82;1343.59,267.26;1338.21,724.65;694.76,717.54
00000233.png 698.56,265.4;1340.36,268.57;1336.81,722.75;695.4,716.4
00000266.png 695.1,263.88;1339.93,266.65;1335.3,722.09;691.78,716.57
00000300.png 692.9,262.78;1336.39,266.98;1331.85,721.48;689.63,715.49
00000333.png 691.28,262.65;1334.75,264.92;1329.39,721.25;688.13,714.95
00000367.png 689.37,263.87;1329.49,267.5;1325.17,718.93;687.59,712.96
00000400.png 685.38,263.63;1326.06,266.82;1321.49,718.86;682.85,713.15
00000433.png 681.97,262.51;1321.93,266.07;1317.78,718.24;678.6,712.88
00000467.png 671.49,263;1312.12,267.66;1308.41,718.59;667.37,713.97
00000500.png 666.77,264.11;1305.02,266.96;1301.63,718.19;663.5,712.97
00000533.png 660.43,263.48;1300.28,268.69;1295.56,719.95;656.41,714.21
00000567.png 651.26,261.37;1294.71,266.33;1289.97,721.06;648.1,714.88
00000600.png 644.75,264.2;1285.42,268.72;1281.1,719.54;642.93,713.03
00000633.png 637.71,262.52;1277.85,267.98;1273.07,719.04;633.16,712.93
00000667.png 619.22,260.12;1260.01,266.74;1255.35,717.04;615.07,712.66
00000700.png 609.76,259.06;1250.07,265.79;1245.83,717.24;605.4,712.36
00000734.png 598.89,257.98;1241.71,265.4;1236.18,716.32;595.04,711.94
00000767.png 589.08,258.1;1229.59,264.87;1224.23,714.01;585.68,710.35
00000800.png 577.91,255.21;1218.34,263.53;1213.95,712.26;574.81,708.35
00000834.png 566.89,254.84;1210.59,263;1205.04,713.57;563.16,709.53
00000867.png 543.77,251.84;1186.31,259.72;1182.23,709.82;540.02,706.22
00000900.png 532.63,251.05;1174.52,259.95;1170.16,708.17;528.96,705.13
00000934.png 520.11,249.06;1162.87,257.95;1158.56,706.56;517.82,704.44
00000967.png 507.55,248.51;1149.67,257.08;1144.98,704.57;505.6,702.73
00001001.png 494.62,246.22;1136.94,254.65;1132.91,704.31;491.62,702.78
00001034.png 479.65,244.94;1124.51,253.79;1119.62,701.63;478.02,699.95
00001067.png 463.78,240.9;1111.17,251.97;1108.51,699.17;460.73,699.47
00001101.png 437.49,238.33;1083.28,247.75;1080.34,695.95;435.23,697.07
00001134.png 422.33,237.55;1068.27,248.45;1065.33,694.58;419.4,696.26
00001167.png 404.58,234.91;1056.5,246;1053.66,693.17;401.97,693.99
00001201.png 392.41,234.3;1039.52,246.72;1037.13,690.53;389.74,692.84
00001234.png 375.5,230.88;1026.1,241.69;1022.95,689.28;374.51,691.13
00001267.png 360.16,228.53;1010.73,241.52;1009.07,687.16;360.35,690.81
00001301.png 331.92,226.96;985.07,239.67;981.72,685.06;329.42,689.2
00001334.png 316.72,226.36;971.12,238.56;968.52,683.88;315.53,688.19
00001368.png 302.38,225.17;957.03,238.81;956.72,684.02;301.75,688.15
00001401.png 286.16,222.53;945.49,236.84;942.71,684.89;285.87,688.28
00001434.png 271.95,222;934,236.73;930.73,684.85;271.18,688.88
00001468.png 259.81,222.17;920.58,236.96;918.92,685.12;258.17,688.44
00001501.png 233.28,222.9;896.48,237.72;893.72,684.84;232.23,689.44
00001534.png 221.04,222.91;884.98,238.89;882.03,685.11;219.94,690.45
00001568.png 210.51,223.44;874.57,240.27;871.78,686.52;209.22,690.94
00001601.png 199.85,223.35;865.94,241.29;864.65,689.23;197.64,691.74
00001634.png 190.19,225.08;856.47,243.14;853.41,689.85;188.5,693.25
00001668.png 182.47,224.82;851.03,244.11;847.66,691.57;179.27,695.24
00001701.png 174.79,228.15;842.59,248.26;838.33,693.35;170.93,696.59
00001735.png 172.16,227.07;842.92,248.39;837.93,696.06;167.18,698.57
00001768.png 173.47,229.62;844.54,250.76;838.66,697.6;169.78,701.55
00001801.png 177.31,231.7;847.82,253.09;841.09,698.55;172.58,703.4
00001835.png 181.22,234.28;850.93,255.46;845.63,701.49;177.43,704.57
00001868.png 187.92,236.26;857.5,257.19;851.61,704.84;182.35,708
00001901.png 193.64,235.99;864.93,257.61;858.22,706.72;186.1,710.15
00001935.png 209.59,238.61;881.96,261.51;875.08,711.33;201.57,713.25
00001968.png 222.61,242.53;890.56,263.56;883.18,711.64;215.48,713.93
00002002.png 233.45,242.31;901.73,265.41;894.79,713.22;225.92,715.12
00002035.png 246.69,243.28;914.86,265.77;906.5,714.26;239.08,716.1
00002068.png 259.75,243.9;926.72,266.44;919.57,715.53;251.7,717.14
00002102.png 274.79,244.63;940.74,267.04;932.78,715.32;266.61,716.56
00002135.png 307.52,245.64;971.43,268.07;964,715.67;299.39,715.89
00002168.png 326.97,247.29;987.04,268.77;977.92,716.59;319.53,717.11
00002202.png 348.3,250.97;1004.74,270.68;995.29,716.65;340.32,717.16
00002235.png 366.12,249.96;1023.24,270.2;1014.23,718.4;356.91,718.19
00002268.png 386.19,253.96;1038.91,272.14;1030.61,719.71;377.39,719.41
00002302.png 402.61,254.99;1058.12,272.95;1051.49,721.37;394.69,721.69
00002335.png 440.92,259.63;1092.38,275.62;1085.43,723.87;435.63,723.98
00002369.png 461.13,260.9;1112.1,274.78;1106.88,724.96;454.85,722.91
00002402.png 481.97,262.03;1130.41,275.17;1124.44,724.45;474.75,723.22
00002435.png 501.43,263.06;1148.59,273.43;1141.94,725.23;497.53,724.21
00002469.png 524.02,264.3;1168.37,273.56;1161.22,723.37;518.68,722.9
00002502.png 543.04,264.85;1188.84,273.09;1182.77,725.4;538.57,724.51
00002535.png 584.87,267.41;1227.79,272.8;1224.33,724.47;581.81,724.77
00002569.png 603.71,267.44;1248.48,271.48;1245.16,724.64;601.71,724.68
00002602.png 620.06,266.74;1270.71,268.77;1268.28,726.12;616.55,725.01
00002635.png 643.02,267.34;1288.1,267.99;1286.78,723.21;641.56,722.97
00002669.png 661.81,266.33;1308.61,265.12;1306.9,724.84;657.93,723.94
00002702.png 680.21,267.67;1328.32,265.06;1325.76,723.09;679.73,721.77
00002736.png 698.55,266.05;1347.79,263.4;1345.48,723.35;698.19,721.22
00002769.png 732.54,263.59;1388.25,256.93;1387.37,722.33;732.54,720.55
00002802.png 752.73,263.2;1406.78,255.11;1406.67,721.01;752.44,719.34
00002836.png 770.15,261.33;1425.05,254.4;1426.04,720.27;769.49,717.68
00002869.png 789.2,261.14;1444.7,251.66;1444.6,719.76;788.22,717.07
00002902.png 802.67,259.34;1464.99,248.57;1464.78,719.82;804.06,716.33
00002936.png 819.93,257.36;1484.05,246.86;1485.95,719.29;819.02,714.96
00002969.png 851.9,255.08;1517.28,242.65;1517.18,716.71;851.62,711.26
00003003.png 866.66,251.66;1535.78,239.98;1536.63,716.47;866.32,711.18
