00000033.png 727.79,359.59;1282.89,351.95;1289.31,744.08;730.62,752.59
00000066.png 726.79,358.8;1283.1,351.3;1290.27,744.68;729.75,753.49
00000100.png 726.71,357.97;1282.49,350.26;1291.58,744.97;730.03,752.63
00000133.png 726.75,357.59;1281.96,350.37;1289.72,743.23;728.36,751.68
00000166.png 725,357.35;1281.41,348.36;1289.36,743.17;727.74,751.09
00000200.png 726.19,355.56;1281.17,347.77;1289.72,741.79;729.93,750.57
00000233.png 726.16,355.5;1282.2,347.38;1291.37,741.61;728.04,750.14
00000266.png 726.65,355.02;1282.79,345.78;1291.73,740.48;729.9,750.63
00000300.png 727.75,354.57;1283.22,344.72;1291.71,738;731.59,746.87
00000333.png 727.52,351.12;1285.09,341.89;1295.28,736.85;730.44,746.97
00000367.png 728.25,349.79;1285.39,339.8;1294.62,734.67;731.76,744.46
00000400.png 729.38,349.41;1284.47,338.87;1293.73,731.04;733.61,741.57
00000433.png 728.89,348.82;1283.51,338.6;1293.75,731.01;733.57,741.83
00000467.png 728.08,346.91;1286.04,335.9;1295.2,731.37;732.87,741.91
00000500.png 729.99,347.08;1284.8,334.54;1294.77,729.55;733.73,739.58
00000533.png 728.39,346.07;1285.11,336.49;1295.42,730.19;733.15,741.73
00000567.png 728.49,347.14;1283.49,337.09;1293.44,729.81;733.35,740.12
00000600.png 727.98,345.55;1285.27,335.21;1294.19,729.81;733.45,738.72
00000633.png 728.71,346.79;1283.45,336.66;1291.78,729.14;733.64,738.24
00000667.png 728.79,346.34;1283.11,337.67;1291.24,728.53;732.15,739.83
00000700.png 727.46,347.93;1283.33,338.59;1291.47,731.03;732.32,739.91
00000734.png 726.8,347.31;1282.93,338.16;1291.47,731.58;730.39,740.61
00000767.png 727.81,346.46;1281.06,338.62;1291.97,735.2;727.81,741.47
00000800.png 729.17,350.86;1283.97,341.36;1291.07,732.53;732.54,740.69
00000834.png 728.69,347.8;1284.13,339.95;1294.11,735.89;730.58,743.42
00000867.png 728.02,349.94;1283.8,342.68;1291.78,736.75;731.15,743.77
00000900.png 728,349.84;1284.84,344.01;1292.87,737.66;729.56,744.42
00000934.png 729.85,351.73;1284.79,345.15;1291.89,738.18;732.22,743.97
00000967.png 728.9,351.2;1284.21,344.82;1291.82,738.4;729.85,744.64
00001001.png 729.02,352.61;1283.56,346.48;1289.99,737.3;731.52,743.16
00001034.png 728.3,349.79;1283.13,344.04;1289.89,738.4;728.78,742.99
00001067.png 726.03,347.23;1281.51,343.05;1286.81,734.23;728.22,740.56
00001101.png 725.85,344.47;1280.4,338.85;1287.58,735.31;725.85,740.13
00001134.png 724.49,343.48;1278.73,339.56;1283.99,732.09;724.64,735.29
00001167.png 722.43,341.06;1276.72,337.71;1281.95,728.3;724.25,733.89
00001201.png 722.21,338.85;1275.28,335.12;1279.58,725.86;721.86,730.81
00001234.png 719.81,337.06;1271.45,332.23;1276.33,722.19;721.12,726.4
00001267.png 716.65,334.5;1271.78,329.82;1276.81,721.65;718.16,727.36
00001301.png 714.86,334.56;1268.46,330.98;1275.12,723.59;715.42,727.2
00001334.png 715.98,335.02;1270.32,331.09;1275.35,723.56;716.19,728.65
00001368.png 717.74,338.31;1269.86,333.93;1275.29,724.34;718.31,729.49
00001401.png 718.64,341.3;1271.91,337.33;1277.57,728.47;718.8,733.3
00001434.png 720.02,344.07;1273.14,340.53;1278.4,729.7;721.24,734.53
00001468.png 722.51,347.9;1275.42,344.4;1281.07,735.36;723.1,738.79
00001501.png 725.37,350.32;1278.62,346.97;1282.98,737.82;725.47,740.75
00001534.png 729.02,352.5;1281.75,349.05;1285.57,740.22;727.64,743.55
00001568.png 730.93,354.3;1287.29,352.73;1291.97,744.6;732.49,750.87
00001601.png 736.34,358.49;1291.75,354.64;1297.31,748.79;734.35,751.16
00001634.png 740.35,360.23;1297.05,358.06;1299.28,751.53;737.68,755.19
00001668.png 743.16,361.83;1298.01,359.22;1302.57,753.5;741.12,754.51
00001701.png 744.5,362.23;1300.53,359.5;1303.74,753.91;742.26,755.81
00001735.png 746.48,361.56;1301.42,359.57;1305.83,752.78;745.25,753.52
00001768.png 746.3,359.77;1302.56,356.46;1306.8,751.59;745.06,752.61
00001801.png 746.33,356.99;1302.04,352.95;1306.56,747.6;744.57,750.34
00001835.png 745.51,354.53;1300.07,350.52;1304.06,744.77;744.51,745.78
00001868.png 745.42,353.82;1297.66,350.8;1302.17,740.62;745.28,742.64
00001901.png 741.91,348.35;1295.65,343.22;1300.23,736.78;741.32,740.13
00001935.png 739.87,346.3;1293.5,341.69;1296.33,733.44;739.34,738.34
00001968.png 735.68,343.58;1287.91,338.54;1293.13,729.29;737.32,732.84
00002002.png 733.02,341.54;1284.15,334.98;1291.15,727.81;734.93,733.37
00002035.png 731.03,342.32;1283.24,336.72;1288.26,727.06;732.17,732.51
00002068.png 726.27,342.35;1281.65,336.64;1287,729.59;728.16,734.84
00002102.png 726.23,345.3;1278.21,339.99;1283.08,729.37;726.85,734.63
00002135.png 723.07,346.52;1275.87,342.97;1279.86,732.8;723.56,738.3
00002168.png 721.83,348.22;1276.87,344.91;1280.09,736.72;722.37,740.5
00002202.png 723.14,348.03;1276.39,344.89;1279.5,736.76;720.02,741.47
00002235.png 723.14,352.73;1271.71,346.46;1281.06,741.47;721.58,743.03
00002268.png 720.64,353.65;1275.19,349.64;1279.18,741.89;719.64,744.9
00002302.png 722.02,353.1;1273.99,351.01;1278.31,741.26;721.83,744.16
00002335.png 721.28,350.87;1277.28,349.38;1280.85,741.1;721.21,744.74
00002369.png 723.47,352.9;1276.29,348.81;1279.69,739.14;723.48,742.13
00002402.png 722.8,350.98;1274.27,347.88;1279.56,737.57;722.94,741.71
00002435.png 722.19,350.94;1273.13,346.72;1277.64,735.26;722.54,740.07
00002469.png 720.25,348.48;1272.77,344.57;1277.56,735.14;720.66,740.08
00002502.png 717.97,347.33;1269.67,344.03;1275.29,733.64;718.3,738.32
00002535.png 716.91,346.46;1268.59,343.32;1273.27,732.06;715.35,735.2
00002569.png 713.72,346.81;1265.05,341.94;1269.82,730.87;715.06,738.19
00002602.png 711.46,346.87;1263.51,341.89;1269.99,731.36;712.56,738.24
00002635.png 711.74,347.42;1261.85,342.83;1267.44,729.66;713.98,736.67
00002669.png 709.15,346.57;1260.85,341.15;1268.19,731.44;710.89,737.44
00002702.png 708.03,347.53;1260.97,342.95;1267.08,731.73;709.36,738.45
00002736.png 708.36,350.44;1259.29,344.31;1264.98,733.29;710.14,740.12
00002769.png 707.74,350.61;1258.8,345.94;1265.58,735;709.62,741.6
00002802.png 705.92,351.26;1261.02,347.2;1265.35,736.5;707.46,744.66
00002836.png 707.3,354.19;1259.78,347.86;1265.46,739.16;707.92,746.08
00002869.png 708.62,357.22;1259.14,350.8;1264.6,739.04;709.16,746.38
00002902.png 706.79,356.66;1259.65,351.97;1267.6,743.08;707.55,750.59
00002936.png 708.23,358.35;1259.36,354.27;1265.87,741.86;709.47,749.18
00002969.png 706.2,356.61;1260.43,352.61;1266.9,743.24;708.47,749.5
00003003.png 707.51,356.89;1260.96,351.5;1266.17,742.78;708.47,749.12
00003036.png 710.67,355.86;1262.36,349.59;1267.04,738.33;706,750.87
00003069.png 706.76,354.79;1258.69,350.07;1266.5,741.55;707.97,747.46
00003103.png 706.5,355.87;1257.43,350.57;1265.03,739.87;708.22,746.29
00003136.png 704.62,354.78;1256.34,348.82;1265.41,739.79;706.11,747.73
00003169.png 703.48,355.27;1254.22,349.79;1261.82,737.96;704.96,746.01
00003203.png 702.47,354.74;1254.41,347.91;1262.83,739;703.54,746.72
00003236.png 702.04,354.38;1253.51,348.14;1261.61,737.95;703.92,745.67
00003269.png 701.41,354.02;1252.79,347.87;1261.02,737.36;703.73,745.8
00003303.png 698.74,354.64;1251.06,348.37;1261.03,739.62;702.49,745.89
00003336.png 698.3,355.33;1250.01,348.18;1258.26,737.95;702.19,746.33
00003370.png 698.68,356.91;1249.35,349.29;1258.14,738.28;701.4,746.94
00003403.png 697.41,357.97;1248.77,349.95;1255.95,739.99;699.8,750.42
00003436.png 696.37,360.38;1248.57,351.91;1257.04,741.08;699.4,752.06
00003470.png 696.78,361.49;1246.92,354.93;1257.38,745.68;698.52,753.35
00003503.png 696.31,367.87;1244.79,359.16;1252.92,746.17;698.86,756.23
00003536.png 694.65,369.47;1245.24,362.03;1253.6,750.46;696.42,760.5
00003570.png 693.31,372.18;1243.59,365.08;1253.53,754.47;695.7,764.38
00003603.png 693.25,373.3;1243.41,366.54;1252.53,755.89;695.73,766.02
00003636.png 692.61,374.58;1243.03,368.17;1252.64,757.19;694.86,767.19
00003670.png 691.92,374.84;1243.32,367.8;1252.1,758.44;692.8,767.88
00003703.png 693.58,377.33;1241.71,370.84;1249.42,756.93;695.34,766.46
00003737.png 689.4,374.34;1239.97,367.11;1249.54,755.55;691,767.59
00003770.png 689.76,372.61;1240.85,365.84;1249.11,754.79;690.62,763.92
00003803.png 690.39,372.26;1239.18,364.5;1247.1,752.49;692.26,760.9
00003837.png 686.78,368.13;1238.66,361.19;1246.28,751.43;688.59,760.03
00003870.png 686.18,367.58;1235.1,361.44;1243.65,749.34;687.89,757.1
00003903.png 685.82,365.73;1234.24,358.59;1241.62,743.9;687.17,755.35
00003937.png 683.28,360.73;1234.22,355.2;1243.03,744.71;685.16,754.64
00003970.png 684.76,362.72;1233.79,355.44;1241.9,740.93;687.38,750.85
00004004.png 682.17,358.31;1233.24,352.89;1241.35,740.69;684.63,750.12
