00000033.png 691.51,250.09;1375.4,259.59;1362.36,745.55;681.27,727.22
00000066.png 689.87,256.89;1373.07,265.14;1361.62,750.36;680.18,733.04
00000100.png 688.36,265.1;1371.35,270.91;1361.14,756.75;680.36,741.24
00000133.png 685.17,273.01;1367.75,277.33;1361.84,763.13;679.43,750.68
00000166.png 683.33,283.59;1364.69,281.84;1361.19,766.72;680.04,757.82
00000200.png 681.64,290.35;1362.47,283.12;1362.86,767.71;682.16,764.89
00000233.png 680.68,296.04;1362.41,283.13;1366.93,769.92;683.52,772.82
00000266.png 680.43,300.68;1362.41,283.12;1372.38,770.93;685.42,779.7
00000300.png 678.85,305.81;1359.25,283.7;1371.43,767.98;689.08,781.23
00000333.png 676.78,308.84;1355.87,283.16;1371.08,766.77;689.92,783.36
00000367.png 674.82,309.14;1354.3,279.05;1373,764.34;691.03,785.66
00000400.png 671.36,311.69;1349.48,276.59;1371.58,760.94;689.91,787.01
00000433.png 668.34,313.73;1344.06,275.19;1368.85,758.07;690.01,787.57
00000467.png 662.37,313.02;1339.99,271.72;1366.77,753.36;689.01,787.91
00000500.png 660.17,316.98;1335.91,269.33;1365.84,753.37;686.36,789.74
00000533.png 658.38,317.65;1333.03,268.71;1364.23,748.47;689.13,790.41
00000567.png 656.21,320.25;1330.29,267.8;1365.19,747.58;688.01,793.6
00000600.png 652.31,322.54;1326.15,264.97;1365.45,744.83;688.25,796.52
00000633.png 648.34,325.28;1322.73,261.86;1366.31,742.89;687.69,798.69
00000667.png 646.65,330.44;1319.35,260.2;1365.25,738.47;689.81,801.73
00000700.png 643.89,333.48;1315.06,258.9;1365.29,736.23;692.1,804.23
00000734.png 642.28,336.89;1311.2,256.41;1365.72,732.37;694.24,807.32
00000767.png 641.18,339.21;1308.19,249.86;1368.97,727.94;695.72,811.02
00000800.png 639.32,341.67;1307.97,249.01;1371.57,724.61;699.63,811.07
00000834.png 639.44,344.4;1307.38,245.43;1374.03,720.53;703.99,812.72
00000867.png 636.08,347.37;1304.69,241.8;1376.88,717.41;706.32,815.92
00000900.png 635.87,349.59;1301.32,236.74;1379.24,711.68;709.11,818.27
00000934.png 636.15,351.7;1300.26,232.85;1382.25,706.34;714.07,821.95
00000967.png 634.68,357.1;1298.12,230.52;1386.46,702.87;719.05,822.92
00001001.png 633.05,360.94;1297.89,224.92;1391.35,698.92;723.43,826.79
00001034.png 631.66,364.88;1293.26,220.45;1392.8,692.77;727.29,829.65
00001067.png 627.85,373.14;1289.49,216.2;1395.38,686.63;731.09,831.63
00001101.png 625.89,373.1;1286.67,215.1;1396.38,685.34;733.11,838.33
00001134.png 625.39,379.43;1282.86,211.96;1398.21,680.31;737.45,840.8
00001167.png 624.06,384.41;1280.08,208.4;1401.72,675.47;741.48,842.83
00001201.png 622.09,387.78;1277.19,204.35;1405.12,670.23;746.25,847.6
00001234.png 621.24,392.39;1274.12,200.76;1406.46,663.86;750.59,850.03
00001267.png 619.91,394.18;1271.38,197.53;1409.26,660.51;753.28,851.4
00001301.png 618.27,397.31;1268.7,192.03;1411.54,656.06;756.84,854.11
00001334.png 614.07,400.76;1264.15,189.24;1412.16,652.21;757.62,857.88
00001368.png 611.48,408.21;1258.01,185.23;1410.96,646.46;757.97,861.21
00001401.png 608.3,413.13;1250.14,184.67;1409.39,641.59;762.74,864.6
00001434.png 604.37,417.89;1243.26,179.86;1409.94,634.7;767.36,866.31
00001468.png 601.34,422.2;1236.64,174.37;1411.03,626.87;770.97,868.44
00001501.png 598.06,425.53;1230.22,164.96;1412.34,614.23;775.34,869.98
00001534.png 594.03,425.54;1222.27,154.17;1413.41,603.83;781.15,869.86
00001568.png 592.23,429.1;1216.44,148.46;1414.3,593.41;785.61,868.19
00001601.png 589.81,431.71;1212.7,144.63;1414.18,587.49;786.88,869.45
00001634.png 585.85,437.63;1205.14,143.34;1412.01,584;789.07,873.39
00001668.png 581.15,444.05;1198.06,144.01;1409.6,584.03;787.47,880.07
00001701.png 578.39,453.7;1191.72,151.73;1403.37,586.59;786.83,886.14
00001735.png 574.7,462.85;1184.44,156.65;1401.13,593.53;783.78,894.84
00001768.png 571.66,472.75;1180.57,165.41;1398.86,597.44;784.61,904.02
00001801.png 567.38,482.92;1176.15,170.54;1397.49,601.83;784.1,913.92
00001835.png 564.07,491.47;1170.35,173.28;1396.59,603.21;785,922.53
00001868.png 564.31,499.93;1165.57,176.04;1395.72,603.12;789.09,926.85
00001901.png 563.23,504.5;1161.67,173.19;1396.56,596.93;792.96,929.71
00001935.png 562.82,508.37;1157.84,168.04;1398.92,590.14;798.63,930.56
00001968.png 562.51,511.51;1153.54,164.15;1400.42,583.59;804.58,930.86
00002002.png 562.59,514.96;1149.56,160.75;1400.88,576.8;809.58,931.64
00002035.png 562.48,518.05;1144.8,156.97;1400.89,569.1;813.8,932.07
00002068.png 560.88,521.8;1139.92,151.97;1401.43,563.57;817.37,932.71
00002102.png 561.94,524.78;1135.14,151.48;1400.06,557.5;821.44,931.41
00002135.png 559.44,526.95;1130.41,149;1399.09,554.31;823.12,932.47
00002168.png 556.65,530.29;1125.82,146.44;1398.09,550.02;824.4,934.35
00002202.png 554.4,535.98;1117.66,146.02;1393.42,545.68;826.25,935.94
00002235.png 550.57,540.21;1110.93,144.94;1390.99,541.37;828.16,938.95
00002268.png 548.96,545.82;1104.43,142.97;1388.02,535.45;830.34,939.65
00002302.png 545.88,548.87;1096.32,139.25;1385.56,528.1;832.63,939.45
00002335.png 544.23,551.49;1088.6,134.14;1383.68,519.23;836.03,940.75
00002369.png 541.89,553.87;1082.35,131.28;1380.68,512.14;839.05,937.59
00002402.png 539.57,557.21;1074.38,125.83;1378.14,504.76;841.27,935.08
00002435.png 537.76,559.98;1068.6,123.28;1375.39,498.16;843.63,935.8
00002469.png 535.74,563.61;1060.54,122.11;1372.55,492.7;846.1,936.52
00002502.png 532.67,569.18;1053.4,122.1;1369.17,488.62;848.57,938.85
00002535.png 529.91,575.59;1045.8,124.1;1364.01,487.09;848.3,940.68
00002569.png 526.18,582.58;1036.46,125.95;1358.58,485.92;849.2,945.57
00002602.png 522.78,591.48;1027.34,127.29;1351.87,483.31;848.82,948.11
00002635.png 518.79,596.46;1020.95,128.26;1349.88,481.48;849.47,952.26
00002669.png 514.01,602.83;1009.37,128.65;1343.3,477.2;849.2,954.35
00002702.png 509.63,609.76;996.91,127.59;1336.88,470.76;852.63,954.38
00002736.png 508.7,618.52;985.62,127.48;1330.79,463.26;854.26,956.08
00002769.png 504.83,625.3;972.66,125.65;1323.08,453.2;858.57,956.18
