00000033.png 702.45,362.55;1507.17,363.71;1488.13,917.74;708.84,905.26
00000066.png 697.28,363.73;1505.61,363.77;1485.96,917.95;705.55,906.65
00000100.png 692.84,361.26;1504.16,360.69;1483.59,915.02;704.28,905.06
00000133.png 686.69,355.47;1503.41,352.96;1481.75,909.07;700.81,901.77
00000166.png 677.94,346.46;1502.36,344.89;1478.98,904.49;696.65,895.08
00000200.png 671.92,341.56;1495.08,338.27;1470.82,892.7;691.77,884.67
00000233.png 664.78,331.13;1494.79,328.96;1465.65,884.71;684.16,878.49
00000266.png 660.11,324.57;1489.15,324.38;1458.41,877.11;681.54,868.21
00000300.png 655.21,316.1;1488,317.83;1453.62,871.15;676.21,860.32
00000333.png 652.35,310.95;1483.77,314.56;1448.56,865.34;672.62,853.58
00000367.png 649.07,306.74;1479.52,313.19;1441.81,859.51;668.8,846.22
00000400.png 646.41,302.93;1478.82,311.35;1438.32,859.03;665.28,842.95
00000433.png 646.92,302.68;1476.04,314.46;1433.12,855.81;665.89,838.8
00000467.png 646.61,303.85;1478.6,316.37;1432.4,859.61;664.76,839.76
00000500.png 648.79,309.03;1479.29,322.33;1433.02,861.16;666.12,841.81
00000533.png 648.13,312.05;1482.76,326.51;1433.98,867.27;665.39,847.08
00000567.png 651.57,324.99;1483.98,338.86;1434.81,874.75;670.73,853.48
00000600.png 649.95,336.54;1484.19,348.99;1434.33,882.6;672.36,861.6
00000633.png 648.33,344.89;1482.1,359;1435.35,890.38;668.59,871.57
00000667.png 648.11,362.79;1482.98,373.65;1434.69,901.88;671.82,884.84
00000700.png 647.22,375;1487.37,383.94;1438.16,912.26;673.93,897.71
00000734.png 648.27,388.42;1491.64,394.82;1442.05,920.79;676.96,906.94
00000767.png 647.83,398.77;1492.49,404.21;1444.12,929.82;679.11,915.43
00000800.png 649.03,404.46;1494.92,410.2;1447.85,935.14;680.42,923.67
00000834.png 651.02,411.69;1497.46,414.88;1448.78,938.38;683.85,926.26
00000867.png 651.96,416.35;1501.23,419.48;1451.88,943.31;685.49,932.13
00000900.png 652.59,419;1504.35,422.56;1456.21,950.17;686.55,937.7
00000934.png 654.52,424.06;1507.7,427.31;1458.85,953.85;687.02,942.2
00000967.png 657.36,430.77;1510.53,434.04;1460.63,959.91;689.26,946.5
00001001.png 663.15,433.7;1514.55,437.37;1464.15,961.49;693.64,949.36
00001034.png 668.98,432.25;1525.82,437.77;1472.61,962.94;698.65,951.34
00001067.png 679.19,429.18;1536.12,433.98;1481.07,960.63;707.31,945.34
00001101.png 681.63,426.83;1546.06,432.5;1487.71,958.23;710.82,945.73
00001134.png 683.49,423.34;1552.99,429.43;1492.49,956.04;713.5,943.93
00001167.png 684.41,415.4;1555.15,421.89;1493.19,947.91;713.6,936.43
