00000033.png 608.77,306.19;1296.66,293.77;1324.36,836.75;601.84,846.14
00000066.png 606.93,308.44;1293.45,294.89;1318.29,836.78;600.22,845.59
00000100.png 605.59,310.75;1288.18,297.05;1312.27,833.94;599.1,844.4
00000133.png 605.53,311.98;1282.3,298.96;1307.44,832.94;598.47,842.64
00000166.png 601.94,315.14;1275.01,302.11;1300.11,832.55;594.76,842.05
00000200.png 601.72,317.8;1267.34,305.38;1294.13,830.17;596.3,841.69
00000233.png 601.28,318.91;1267.44,306.85;1290.86,829.15;595.26,840.54
00000266.png 600.09,319.82;1261.39,309.55;1288.04,828.75;593.33,839.8
00000300.png 596.9,323.37;1256.67,311.28;1281.86,828.6;591.77,840.7
00000333.png 598.18,325.79;1255.37,313.47;1278.9,829.68;592.41,841.57
00000367.png 598.31,328.91;1251.26,316.96;1277.68,831.25;592.35,841.39
00000400.png 597.67,330.16;1250.14,318.37;1274.48,831.31;591.46,843.36
00000433.png 597.59,333.94;1245.82,322.28;1272.87,832.16;592.36,844.9
00000467.png 598.61,339.13;1245.98,325.52;1271.27,834.46;592.14,846.3
00000500.png 601.1,341.75;1242.33,328.72;1269.73,832.91;595.98,846.24
00000533.png 602.79,345.64;1241.05,332.77;1266.62,835.12;596.83,847.88
00000567.png 603.58,349.23;1239.44,335.31;1266.12,836.22;598.8,850.46
00000600.png 605.25,351.92;1236.55,337.37;1265.15,835.2;600.44,849.44
00000633.png 605.67,354.84;1236.95,340.09;1262.33,836.17;601.4,850.72
00000667.png 606.03,358.58;1233.39,343.9;1259.93,836.51;602.26,852.37
00000700.png 606.02,362.88;1230.26,348.39;1257.08,838.33;603.11,853.97
00000734.png 606.88,367.76;1226.34,351.88;1255.06,839.98;603.02,855.2
00000767.png 608.25,370.06;1224.52,354.96;1253.79,838.87;604.42,856.19
00000800.png 607.06,373.15;1224.62,356.45;1252.18,839.93;604.74,857.22
00000834.png 609.61,376.6;1218.24,359.03;1249.3,839.08;606.96,857.05
00000867.png 611.11,380.97;1216.03,361.66;1245,837.23;610.05,856.36
00000900.png 610.74,383.74;1212.38,364.75;1241.27,837.18;610.37,856.95
00000934.png 611.92,388.76;1205.28,368.46;1236.89,835.99;612.22,856.9
00000967.png 611.14,389.92;1205.22,370.25;1235.26,836.33;611.34,857.02
00001001.png 612.2,394.42;1199.83,372.78;1230.54,835.42;611.31,858.34
00001034.png 610.09,396.32;1195.94,375.81;1228.73,837.53;611.43,859.93
00001067.png 610.63,401.79;1192.03,380.39;1223.97,836.89;613.22,860.52
00001101.png 612.03,404.88;1189.95,383.84;1222.55,838.38;613.56,862.2
00001134.png 611.65,408.07;1187.91,386.57;1220.43,838.72;614.92,864.73
00001167.png 611.31,414.7;1184.85,392.81;1216.13,840.08;614.89,866.83
00001201.png 611.83,418.01;1184.18,395.09;1217.7,844.36;616.08,869.81
00001234.png 614.04,421.44;1182.09,398.65;1214.58,844.4;618.48,870.91
00001267.png 617.42,426.3;1181.4,403.51;1215.67,846.42;620.85,873.58
00001301.png 618.47,430.85;1179.07,407.05;1214.43,848.38;621.91,874.9
00001334.png 619.45,433.19;1179.06,409.88;1212.28,849.07;623.73,875.72
00001368.png 621.42,435.95;1177.48,411.92;1211.67,849.45;626.55,874.97
00001401.png 624.94,439.11;1177.78,414.96;1211.43,852.42;628.59,876.53
00001434.png 628.18,439.5;1177.78,416.21;1212.2,850.11;633.14,875.3
00001468.png 631.77,441.73;1178.62,419.21;1211.54,847.63;635.49,873.37
00001501.png 634.95,441.78;1179.65,418.31;1213.72,848.23;638.69,872.82
00001534.png 637.57,442.81;1179.77,420.8;1213.5,845.78;642.12,871.35
00001568.png 640.35,443.44;1181.94,421.33;1214.56,847.03;644.42,871.21
00001601.png 643.94,444.62;1181.19,422.97;1214.13,846.14;647.48,868.99
00001634.png 646.48,443.95;1183.98,423.69;1213.75,845.01;650.63,867.04
00001668.png 650.13,441.36;1186.03,421.29;1216.85,842.49;652.56,863.52
00001701.png 650.5,440.1;1187.28,420.12;1217.3,842.24;652.95,863.37
00001735.png 653.14,437.59;1188.27,418.58;1216.73,838.86;653.7,859.46
00001768.png 653.26,433.15;1190.52,414.97;1220.21,838.05;654.13,857.16
00001801.png 653.2,426;1195.92,410.98;1224.48,836.95;653.86,856.2
00001835.png 651.95,421;1198.54,404.83;1228.77,835.91;651.66,852.32
00001868.png 651.69,417.05;1200.74,401.55;1227.53,833.85;650.74,849.89
00001901.png 650.78,410.03;1205.26,395.24;1231.13,831.39;649.61,846.78
00001935.png 648.33,401.91;1208.08,388.64;1232.79,826.77;647.07,842.07
00001968.png 644.88,393.74;1212.43,380.79;1236.27,824.52;642.19,837.75
00002002.png 643.44,382.02;1215.73,370.2;1239.01,818.88;639.92,831.31
00002035.png 641.68,371.66;1216.99,360.14;1241.98,812.52;638.97,824.34
00002068.png 641.51,364.77;1222.35,354.15;1243.74,809.94;636.29,820.6
00002102.png 638.44,351.89;1227.68,342.51;1247.99,802.32;634.97,813.08
00002135.png 639.67,337.69;1236.46,328.21;1256.49,795.43;634.6,804.33
00002168.png 636.1,324.17;1242.66,316.38;1262.53,791.24;630.69,798.69
00002202.png 633.82,311.79;1246.76,305.29;1264.48,783.16;627.83,791.66
00002235.png 632.97,306.35;1249.15,299.5;1268.89,781.22;626.92,786.77
00002268.png 630.48,292.44;1254.35,286.74;1272.83,772.74;624.69,778.81
00002302.png 630.52,278.05;1260.15,273.78;1275.82,763.92;623.9,768.84
00002335.png 628.86,262.69;1264.27,258.69;1283.95,756.78;620.83,759.88
00002369.png 627.86,247.74;1272.25,244.23;1286.9,746.12;620.81,750.19
00002402.png 626.32,236.15;1277.85,233.3;1292.99,740.4;619.83,742.73
00002435.png 626.12,229.82;1281.28,227.67;1295.62,737.06;618.16,739.75
00002469.png 622.52,220.8;1283.08,218.23;1299.23,734.38;614.22,734.93
00002502.png 620.38,210.53;1288.8,209.11;1301.5,729.42;611.91,729.89
00002535.png 618.79,202.62;1288.93,201.4;1306.09,724.08;610.67,726.2
00002569.png 612.5,196.5;1294.3,195.32;1307.53,724.46;602.88,727.14
00002602.png 608.06,194.65;1295.52,192.67;1307.51,725.99;598.18,728.43
00002635.png 601.92,191.9;1294.02,191.57;1307.5,729.21;592.15,730.87
00002669.png 596.18,190.49;1294.01,190.19;1310.27,732.55;587.15,733.46
00002702.png 590.6,188.88;1296.59,187.81;1311.31,736.69;579.29,738.08
00002736.png 585.42,189.06;1297.12,189.14;1313.4,743.11;574.94,743.58
00002769.png 582,191.84;1296.42,191.95;1313.4,747.09;569.75,748.28
00002802.png 577.9,189.24;1296.52,190.9;1314.51,750.35;567.27,751.5
00002836.png 573.54,191.26;1298.52,192.45;1316.16,755.25;560.6,757.02
00002869.png 569.37,188.48;1307.53,188.25;1323.66,762.54;556.35,762.45
00002902.png 567.93,187.93;1309.1,189.97;1327.69,767.27;553.08,768.2
00002936.png 567.43,186.27;1320,187.48;1337.85,773.93;552.43,772.59
00002969.png 568.51,186.32;1320.33,188.72;1340.11,775.73;552.69,774.29
00003003.png 568.09,185.24;1328.47,187.25;1345.67,779.55;551.47,779.55
00003036.png 568.94,185.24;1336.08,187.55;1355.78,785.8;551.42,784.38
00003069.png 567.68,183.61;1342.35,185.83;1362.93,791.68;550.04,790.2
00003103.png 565.16,185.53;1345.48,186.74;1369.57,799.1;547.4,797.59
00003136.png 562.62,185.99;1352.73,186.92;1375.7,803.68;542.96,804.42
00003169.png 559.74,185.38;1358.1,186.42;1380.18,810.93;541.5,809.39
00003203.png 558.31,188.34;1360.37,187.73;1383.6,815.49;539.51,816.46
00003236.png 552.65,188.42;1364.38,188.64;1390.28,824.73;535.09,824.49
00003269.png 550.84,190.6;1368.15,189.86;1392.74,830.55;530.83,832.67
00003303.png 544.75,192.5;1372.29,190.61;1400.15,839.56;526.77,841.3
00003336.png 543.29,192.93;1375.07,190.1;1403.94,843.82;524,846.01
00003370.png 539.81,195.33;1377.03,191.08;1406.23,849.2;522.05,853.14
00003403.png 535.81,195.65;1383.47,190.14;1411.41,856.9;516.87,862.25
00003436.png 531.73,196.2;1383.1,190.14;1417.72,862.5;513.67,867.95
00003470.png 528.37,195.8;1390.99,187.44;1422.26,868.13;510.3,874.62
00003503.png 521.43,191.72;1396.92,183.91;1430.45,874.61;504.18,880.67
00003536.png 518.39,190.66;1399.62,181.37;1434.67,877.47;500.94,884.29
00003570.png 512.31,188.34;1402.8,177.86;1438.81,881.24;495.42,888.22
00003603.png 505.95,182.09;1408.22,171.9;1441.03,882.3;490.69,891.24
00003636.png 497.05,174.65;1412.11,162.87;1448.59,883.54;482.95,893.16
00003670.png 487.73,164.43;1422.03,151.16;1459.55,887.63;472.97,895.98
00003703.png 484.42,160.67;1424.08,147.03;1457.65,886.4;469.8,896.59
00003737.png 476.93,150.12;1430.05,136.12;1465.2,886.44;461.92,898.24
00003770.png 468.82,143.5;1433.44,129.28;1473.01,890.18;455.58,899.74
00003803.png 461.57,134.8;1439.83,119.56;1475.97,888.06;448.4,901.54
00003837.png 453.32,126.66;1443.3,110.89;1479.24,887.54;441.83,901.37
00003870.png 447.88,119.27;1441.94,103.81;1482.58,887.98;436.74,901.92
00003903.png 443.48,115.63;1445.01,98.86;1485.03,887.04;431.68,903.05
00003937.png 437.44,110.2;1450.38,91.45;1487.08,888.09;425.28,904.29
00003970.png 429.16,105.18;1450.78,88.04;1488.95,890.62;418.51,907.77
00004004.png 422.3,102.63;1457.52,82.74;1496.37,894.41;413.1,913.78
00004037.png 414.68,100.47;1458.72,80.32;1499.82,897.76;406.66,919.66
00004070.png 411.36,100.43;1459.33,79.41;1496.96,901.69;403.26,924.19
00004104.png 403.76,97.36;1457.66,76.14;1504.63,907.53;395.55,929.7
00004137.png 397.44,96.66;1462.28,73.86;1506.5,911.38;389.5,935.05
00004170.png 389.66,94.07;1461.99,70.43;1508.36,915.5;382.73,941.25
00004204.png 380.54,91.17;1467.4,68.05;1513.33,919.68;376.87,947.42
00004237.png 374.6,89.8;1470.82,63.15;1518.41,922.95;369.56,952.42
00004270.png 371.42,87.88;1472.33,62.08;1520.06,926.01;367.26,955.05
00004304.png 364.25,84.61;1476.5,55.94;1525.07,928.91;360.21,960.07
00004337.png 356.29,79.56;1475.59,51.69;1528.57,931.3;355.39,962.51
00004371.png 350.66,75.3;1478.58,47.39;1530.25,930.02;348.87,965.69
00004404.png 343.8,72.49;1482.96,41.3;1536.34,933.46;342.74,969.39
00004437.png 339.11,69.74;1484.9,39.02;1534.53,936.82;339.41,972.22
00004471.png 333.38,67.25;1486.39,33.7;1540.25,937.9;335.1,973.4
00004504.png 329.16,62.42;1491.17,29.13;1544.09,939.01;330.63,975.26
00004537.png 324.12,60.07;1491.13,26.5;1542.04,940.44;327.75,976.01
00004571.png 320.92,57.05;1492.06,23.7;1546.37,941.67;324.74,978.43
