00000033.png 629.68,270.53;1302.91,259.43;1335.82,786.58;616.36,793.26
00000066.png 635.13,268.35;1307.93,258.1;1338.45,784.55;621.43,789.28
00000100.png 639.4,266.33;1309.95,258.6;1342.05,784.71;625,788.07
00000133.png 645.69,266.31;1316.4,259.15;1346.67,785.05;631.53,785.72
00000166.png 652.32,264.56;1325.51,259.09;1353.26,786.18;636.03,783.63
00000200.png 659.04,260;1335.46,256.74;1363.78,786.31;641.2,783.63
00000233.png 669.84,258.72;1342.52,257.89;1370.16,786.09;650.2,780.31
00000266.png 677.41,256.2;1355.59,256.49;1381.18,788.2;657.47,780.35
00000300.png 689.86,255.07;1366.15,258.9;1387.57,788.31;668.39,776.57
00000333.png 702.23,252.5;1380.42,257.39;1403.5,789.09;681.08,775.75
00000367.png 717.06,250.9;1393.67,258.33;1414.62,789.96;695.27,772.8
00000400.png 731.03,247.77;1410.56,259.38;1431.42,792.07;708.49,771.58
00000433.png 747.86,247.53;1427.09,258.88;1444.48,792.24;724.33,769.54
00000467.png 766.73,245.51;1443.29,261.99;1459.81,792.67;740.43,766.35
00000500.png 784.19,243.35;1464.08,261.86;1478.92,795.35;754.24,766.13
00000533.png 802.97,240.84;1484.24,262.39;1498.76,797.48;774.9,763.64
00000567.png 821,238.01;1506.93,262.7;1520.45,800.63;791.36,762.89
00000600.png 842.59,237.28;1524.89,264.1;1537.17,800.55;811.91,760.32
00000633.png 862.47,234.63;1548.32,266.05;1555.86,802.17;830.17,757.8
00000667.png 885.67,235.02;1570.01,269.07;1578.2,803.46;850.89,756
00000700.png 905.79,232.75;1591.45,269.43;1598.35,807.7;869.94,756.45
00000734.png 926.82,232.06;1611.94,273.25;1618.31,807.99;890.56,754.54
00000767.png 947.68,230.51;1633.62,272.34;1638.07,811.75;910.72,754.41
00000800.png 968.81,229.1;1657.28,274.14;1659.64,814.62;929.07,754.53
00000834.png 991.1,230.42;1677.58,277.09;1679.29,815.19;951.03,752.35
00000867.png 1010.57,229.12;1700.45,278.12;1700.45,819.69;968.88,753.21
00000900.png 1028.43,229.13;1720.27,281.64;1719.82,820.69;986.16,751.75
00000934.png 1066.6,230.73;1756.06,286.44;1755.19,827.8;1022.61,752.74
00000967.png 1082.13,230.19;1774.29,287.69;1771.66,828.76;1038.48,753.66
00001001.png 1096.83,231.81;1788.57,288.93;1784.91,829.75;1052.98,755.43
00001034.png 1110.75,232.37;1803.69,290.22;1800.24,831.01;1066.29,756.26
00001067.png 1123.27,231.64;1816.77,289.11;1812.32,833.01;1078.4,757.33
00001101.png 1132.89,231.58;1828.21,290.43;1825.57,833.46;1087.81,758.34
00001134.png 1138.38,231.26;1837.24,289.42;1831.77,833.7;1093.19,757.71
00001167.png 1141.95,230.66;1842.2,288.38;1837.33,832.75;1098.59,758.7
00001201.png 1144.35,228.32;1842.29,286.05;1838.88,832.92;1098.95,757.77
00001234.png 1140.47,228.38;1841.78,282.36;1839.04,828.85;1096.18,757.63
00001267.png 1134.98,227.75;1832.1,280.54;1832.01,826.08;1091.99,755.91
00001301.png 1123.63,226.47;1826.53,277.34;1824.38,821.7;1082.23,756.19
00001334.png 1112.19,224.87;1810.51,272.66;1811.87,819.5;1071.72,754.6
00001368.png 1096.28,223.61;1800.4,266.98;1801.4,817.86;1053.42,755.3
00001401.png 1076.64,225.11;1778.63,263.79;1778.71,811.85;1037.75,752.53
00001434.png 1054.55,224.51;1755.25,260.95;1757.51,806.11;1018.84,751.23
00001468.png 1031.51,223.74;1729.86,256;1733.95,803.22;995.8,751.63
00001501.png 1007.33,223.54;1704.98,253.46;1710.09,801.26;972.55,750.71
00001534.png 979.49,224.38;1674,249.54;1682.37,793.53;948.28,750.42
00001568.png 950.24,226.28;1646.86,244.85;1656.74,790.02;919.55,751.39
00001601.png 921.09,226.27;1616.68,239.68;1629.98,785.42;893.47,751.37
00001634.png 889.79,225.03;1587.02,237.2;1601.56,781.91;864.99,755.04
00001668.png 857.2,227.56;1549.96,233.01;1569.79,774.25;838.79,754.04
00001701.png 826.01,230.09;1522.27,229.82;1539.23,771.89;804.25,757.44
00001735.png 792.12,231.87;1482.25,226.84;1505.78,768.77;773.11,758.94
00001768.png 759.31,234.58;1448.69,225.4;1470.98,767.49;743.79,762.1
00001801.png 723.81,239.33;1414.5,224.47;1439.42,765.05;709.08,766.7
00001835.png 650.79,245.94;1341.28,221.76;1370.76,760.98;642.71,774.61
00001868.png 614.59,252.26;1302.94,223.37;1335.22,759.08;606.65,781.57
00001901.png 581.53,254.89;1263.75,222.82;1300.96,759.35;575.91,784.68
00001935.png 545.28,260.28;1232,223.26;1271.26,757.79;543.54,790.08
00001968.png 509.87,264.57;1194.26,223.6;1236.68,757.38;508.39,796.29
00002002.png 475.48,268.31;1158.5,222.43;1205.7,757.7;478.55,801.27
00002035.png 440.58,274.64;1129.55,223.72;1174.05,756.74;445.64,807.86
00002068.png 409.29,276.03;1099.66,221.16;1151.38,757.89;414.56,814.46
00002102.png 379.2,282.37;1066.09,223.79;1116.56,755.43;389.73,817.32
00002135.png 350.11,288.3;1032.36,224.96;1093.81,753.76;362.17,822.02
