00000033.png 567.51,279.02;1336.89,265.28;1351.22,870.34;570.5,875.99
00000066.png 570.32,278.85;1338.11,263.9;1357.66,869.12;572.6,874.36
00000100.png 573.02,277.03;1341.1,263.01;1357.64,865.97;576.33,871.31
00000133.png 577.12,275.74;1342.95,262.84;1361.86,866.71;578.96,871.05
00000166.png 580.89,274.22;1349.99,260.88;1364.95,866.9;583.24,870
00000200.png 582.73,272.8;1357.22,260.38;1371.72,867.35;585.62,870.38
00000233.png 587,273.24;1354.67,260.87;1367.15,867.22;587.77,869.51
00000266.png 586.43,274.56;1357.8,263.53;1372.08,869.09;588.3,871
00000300.png 585.84,275.69;1357.01,264.34;1371.99,870.23;585.89,872.1
00000333.png 586.15,274.29;1357.33,263.93;1370.66,867.68;587.39,870.24
00000367.png 586.17,274.25;1358.09,263.29;1370.51,868.6;586.53,871.64
00000400.png 584.96,274.4;1358.74,263.35;1369.32,870.59;584.96,872.16
00000433.png 584.19,276.99;1358.41,265.27;1370.67,870.15;585.19,873.06
00000467.png 586.15,276.36;1358.67,266.02;1371.12,870.46;586.65,874.1
00000500.png 585.76,277.36;1357.66,266.45;1373.33,874.3;585.75,876.08
00000533.png 588.56,278.55;1360.01,266.27;1373.19,871.56;588.06,874.85
00000567.png 588.41,277.64;1360.98,266.23;1373.33,871.86;588.81,873.61
00000600.png 588.07,278.27;1359.41,267.04;1372.63,871.02;588.94,873.83
00000633.png 587.59,277.76;1360.11,267.24;1371.17,871.26;588.22,873.7
00000667.png 588.03,280.74;1358.46,269.49;1368.39,875.41;586.47,876.91
00000700.png 587.41,281.69;1355.16,269.59;1369.89,872.58;587.43,874.94
00000734.png 591.06,277.81;1360.86,267.68;1373.03,869.27;589.52,872.34
00000767.png 594.81,276.94;1360.86,266.92;1373.64,866.9;594.01,870.91
00000800.png 594.5,277.76;1362.94,266.39;1374.67,866.74;595.15,868.93
00000834.png 595.35,275.38;1363.42,268.89;1373.88,868.98;595.91,869.17
00000867.png 599.18,273.84;1365.29,264.47;1376.45,865.17;598.72,865.41
00000900.png 599.45,271.32;1366.51,261.6;1377.88,862.55;599.51,864.64
00000934.png 599.92,273.28;1363.98,261.64;1376.64,863.43;599.12,864.04
00000967.png 600.39,275.6;1363.4,264.32;1375.26,862.15;599.14,864.03
00001001.png 598.67,273.2;1363.67,262.9;1376.18,863.56;597.1,865.05
00001034.png 599.39,274.37;1358.94,263.61;1371.56,860.51;600.27,862.76
00001067.png 598.32,274.44;1360.09,263.69;1375.31,862.25;597.07,863.85
00001101.png 598.58,274.3;1359.38,265.12;1372.61,863.07;597.23,864.48
00001134.png 599.4,275.65;1357.22,264.03;1374.5,862.62;598.61,863.75
00001167.png 598.52,273.66;1361.61,261.59;1375.31,861.21;598.21,864.21
00001201.png 599.83,272.06;1363.77,258.76;1377.16,861.66;600.46,864.19
00001234.png 601.38,273.09;1364.53,260.19;1377.97,858.71;601.98,862.67
00001267.png 603.48,274.2;1369.02,259.52;1382.52,859.9;605.27,862.81
00001301.png 604.33,271.18;1371.52,258.66;1385.13,858.61;606.85,863.35
00001334.png 607.35,271.31;1373.36,256.38;1388.37,856.73;609.58,863.72
00001368.png nan,nan;nan,nan;nan,nan;nan,nan
00001401.png 606.64,269.32;1375.84,255.05;1389.85,856.48;609.94,863.03
00001434.png 607.89,268.89;1373.19,256.06;1390.43,853.72;611.91,861.52
