00000033.png 582.21,208.54;1344.42,212.1;1354.04,809.11;564.42,802.09
00000066.png 579,208.47;1343.57,212.6;1354.21,807.67;567.23,801.23
00000100.png 580.34,210.09;1343.61,210.92;1355.19,807.92;567.93,802.7
00000133.png 577.58,211.77;1341.29,209.21;1355.39,808.38;567.81,804.96
00000166.png 573.5,211.95;1337.28,208.01;1352.84,802.8;566.65,807.85
00000200.png 566.7,219.16;1329.97,206.1;1353.58,805.18;565.41,814.98
00000233.png 557.73,223.69;1324.98,205.71;1350.57,801.89;562.78,819.47
00000266.png 547.44,227.93;1314.28,197.63;1348.43,796.94;558.95,824.9
00000300.png 539.95,234.65;1303.51,192.99;1349.35,790.75;559.64,831.82
00000333.png 536.45,239.61;1301.38,188.7;1351.82,783.81;563.74,835.56
00000367.png 534.45,246.37;1293.71,180.92;1354.59,774.66;572.65,841.84
00000400.png 529.89,255.27;1290.68,174.91;1364.12,769.42;579.5,849.54
00000433.png 525.52,261.76;1281.81,169.91;1370.77,765.14;585.81,856.39
00000467.png 521.18,273.82;1281.1,164.51;1374.3,757.61;594.78,866.43
00000500.png 517.48,282.7;1271.27,162.75;1379.18,751.1;603.21,872.42
00000533.png 513.05,293.04;1267.38,153.49;1385.85,743.33;609.7,883.01
00000567.png 508.59,305.79;1260.5,149.03;1390.62,732.75;617.4,893.31
00000600.png 505.01,314.73;1252.34,145.31;1395.53,731.08;624.67,900.71
00000633.png 498.23,325.52;1245.09,138.66;1400.64,720.5;633.72,908.99
00000667.png 495.04,339.64;1237.89,134.57;1406.93,712.32;642.98,920.16
00000700.png 491.54,350.59;1229.85,129.97;1410.32,706.35;649.79,926.97
00000734.png 486.29,364.74;1218.4,127.01;1414.46,697.33;660.9,937.96
00000767.png 478.76,378.83;1205.5,122.72;1415.34,687.42;669.44,949.13
00000800.png 472.92,390.34;1197.12,117.29;1421.07,683.09;673.43,958.66
00000834.png 465.14,405.32;1181.47,115.07;1420.73,671.29;679.17,968.96
00000867.png 459.76,416.16;1169.47,114.16;1416.09,666.58;685.19,975.55
00000900.png 453.61,429.13;1155.53,111.75;1414.31,657.22;692.38,981.68
00000934.png 445.9,439.94;1144.71,104.31;1416.13,646.07;696.85,989.07
00000967.png 443.7,449.98;1134.23,104.26;1413.15,638.47;703.45,993.01
00001001.png 436.73,462.03;1120.65,100.71;1410.66,630.91;708.97,998.93
00001034.png 433.12,472.86;1105.62,99.67;1408.51,621.62;715.24,1003.74
00001067.png 429.9,480.97;1099.25,92.44;1406.95,612.32;720.12,1006.36
00001101.png 430.67,487.3;1088.03,87.81;1408,597.65;730.58,1005.03
00001134.png 431.97,493.34;1080.51,82.4;1410.97,586.19;741.03,1004.81
00001167.png 434.58,499.34;1073.48,82.54;1408.01,578.44;748.48,1003.03
00001201.png 431.82,506.17;1070.13,73.25;1414.09,568.22;757.23,1008.19
00001234.png 432.8,513.15;1064.43,73.06;1416.63,563.43;765.6,1010.37
00001267.png 432.02,523.99;1055.68,72.71;1415.5,557.15;773.05,1016.05
00001301.png 429.86,535.73;1046.5,71.31;1413.27,549.61;781.67,1019.98
00001334.png 430.04,542.84;1038.63,71.97;1412.71,543.96;787.92,1022.73
00001368.png 430.31,556.71;1024.91,72.48;1410.06,537;795,1030.96
00001401.png 426.04,570.52;1015.31,77.21;1409.88,532.32;801.85,1036.72
00001434.png 425.53,580.56;1004.77,83.11;1403.28,528.39;806.89,1039.97
00001468.png 424.31,591.03;993.05,82.44;1399.69,520.92;813.82,1041.94
00001501.png 423.13,599.13;983.76,81.69;1398.08,513.57;821.14,1044.39
00001534.png 421.97,604.43;976.75,76.24;1395.78,505.23;823.66,1043.37
00001568.png 421.75,609.47;967.78,74.08;1396.25,494.89;831.09,1043.49
00001601.png 421.16,618.49;958.78,71.22;1391.03,484.87;839.2,1044.02
00001634.png 421.93,624.4;950.92,70.93;1387.99,480.01;844.02,1045.01
00001668.png 420.15,633.42;940.76,68.65;1388.14,472.17;849.91,1047.47
00001701.png 420.41,641.05;933.01,67.89;1385,463.08;856.73,1045.56
00001735.png 421.39,648.36;922.69,68.54;1384.2,454.76;866.09,1047.64
00001768.png 424.35,657.38;912.67,69.83;1379.41,445.22;874.31,1046.4
00001801.png 423.71,664.7;906.01,66.87;1378.6,439.04;881.43,1048.75
00001835.png 425.72,674.06;897.4,67.95;1375.09,432.98;889.3,1051.22
00001868.png 428.52,684.42;890.23,68.78;1377.15,424.9;900.68,1051.72
00001901.png 433.86,690.47;886.31,69.96;1377.67,420.88;908.74,1052.86
00001935.png 436.96,699.86;877.41,74.32;1377.69,412.84;917.81,1053.11
00001968.png 441.02,708.14;869.89,75.46;1371.04,407.45;925.69,1053.82
00002002.png 442.57,716.68;865.09,76.95;1371.75,402.64;931.5,1055.76
00002035.png 445.15,726.66;857.59,79.8;1366.17,399.05;938.22,1057.39
00002068.png 446.74,732.05;850.16,81.75;1363.68,391.55;945.56,1058.1
00002102.png 453.5,740.37;844.08,87.79;1361.46,390.1;954.35,1057.6
00002135.png 453.26,751.99;835.38,92.77;1360.66,385.09;960.38,1061.59
00002168.png 455.49,758.63;831.21,95.59;1356.73,382.23;965.72,1062.45
00002202.png 455.83,766.08;821.29,96.81;1351.37,374.64;969.74,1061.54
00002235.png 459.31,773.13;811.66,99.54;1342.56,368.48;976.37,1057.75
00002268.png 460.2,778.16;802.09,100.39;1334.51,362.77;980.59,1057.13
00002302.png 457.66,786.06;790.69,102.61;1328.89,354.03;981.97,1054.79
00002335.png 461.85,793.6;779.54,104.78;1320.01,345.42;989.33,1052.78
00002369.png 461.82,796.18;770.77,104.17;1315.88,341.25;994.8,1048.26
00002402.png 466.94,802.28;761.87,106.07;1307.28,330.74;1002.3,1042.65
00002435.png 470.16,805.01;753.22,106.57;1302.99,322.97;1007.93,1037.71
00002469.png 475.29,812.14;745.1,108.02;1299.29,313.27;1015.66,1033.72
00002502.png 479.4,823.35;734.5,113.96;1291.8,307.33;1024.53,1033.28
00002535.png 480.05,831.73;724.31,121.15;1287.87,302.15;1030.78,1034.12
00002569.png 486.84,841.84;714.79,126.17;1281.9,295.74;1040.17,1032.67
00002602.png 496.17,850.14;709.13,129.29;1279.05,286.99;1053.29,1029.31
00002635.png 503.11,854.87;705.4,131.87;1278.97,280.66;1063.51,1026.3
00002669.png 511.64,858.64;701.18,128.07;1277.19,270.21;1073.97,1021.4
