00000033.png 610.64,318.06;1311.87,309.42;1353.41,859.94;601.01,872.23
00000066.png 614.34,325.71;1313.89,313.3;1359.82,861.45;607.88,879.74
00000100.png 621.83,328.08;1321.01,312.46;1370.59,857.65;620.68,882.41
00000133.png 631.16,331.27;1325.62,313;1381.71,853.14;634.26,883.49
00000166.png 637.14,332.57;1325.02,312.23;1386.6,848.95;644.11,882.93
00000200.png 639.94,332.47;1329.13,309.85;1393.59,845.81;651.84,884.45
00000233.png 642.9,335.97;1328.23,311.91;1395.67,842.81;658.89,885.92
00000266.png 645.06,334.62;1331.52,312.48;1399.35,845.27;663,889.11
00000300.png 644.86,334.85;1331.94,314.41;1399.11,845.93;662.53,891.99
00000333.png 642.2,335.75;1328.57,316.97;1397.17,848.15;663.46,895.09
00000367.png 649.99,335.56;1336.61,318.58;1407.76,852.04;670.37,895.79
00000400.png 656.66,330.52;1343.38,318.24;1412.35,848.04;677.21,891.4
00000433.png 664.03,324.26;1348.07,314.98;1416.32,845.71;685.49,886.16
00000467.png 680.66,320.22;1357.53,314.95;1424.86,839.9;698.61,877.83
00000500.png 695.06,317.88;1367.12,316.9;1432.13,839.26;712.85,872.56
00000533.png 710.36,316.91;1376.45,318.49;1442.05,838.18;726.19,870.49
00000567.png 715.94,314.35;1382.42,318.26;1447.34,838.04;734.6,870.16
00000600.png 717.39,310.05;1384.12,316.01;1447.51,834.44;737.16,867.27
00000633.png 715.19,303.41;1379.22,311.72;1442.48,828.86;737.49,861.99
00000667.png 707.65,298.19;1371.09,307.26;1438.42,821.87;733.41,857.56
00000700.png 704.47,294.32;1363.82,304.35;1430.56,818.63;732.57,855.17
00000734.png 704.28,294.32;1360.37,305.37;1429.62,816.91;733.23,854.2
00000767.png 707.04,294.85;1358.4,310.02;1424.49,820.49;735.12,854.63
00000800.png 709.02,294.29;1358.44,313.7;1425.16,821.43;734.66,857.32
00000834.png 710.34,292.7;1356.55,316.44;1424.03,824.4;734.87,857.12
00000867.png 715.74,291.32;1363.77,317.97;1425.24,828.41;739.54,859.2
00000900.png 729.4,289.57;1370.78,320.85;1433.11,829;751.38,857.07
00000934.png 741.05,284.91;1377.54,323.48;1438.35,829.38;761.17,853.15
00000967.png 742.83,281.24;1377.67,326.27;1435.19,829.06;763.14,851.7
00001001.png 740.76,282.86;1371.37,330.28;1423.28,837.07;755.61,850.05
00001034.png 738.8,281.57;1368,335.42;1419.7,840.49;750.77,853.46
00001067.png 741.5,283.54;1368.87,341.9;1418.48,848.07;751.23,857.72
00001101.png 746.7,285.45;1373.15,350.29;1420.54,855.53;754.12,861.83
00001134.png 758.18,282.05;1378.38,353.84;1421.93,858.77;762.18,860.78
00001167.png 764.71,276.48;1380.27,353.32;1424.94,862.12;770.2,856.74
00001201.png 777.72,274.44;1392.97,356.57;1430.15,862.33;775.74,855.83
00001234.png 788.47,273.63;1400.91,358.23;1435.15,867.55;786.99,855.05
00001267.png 809.61,270.56;1416.93,361.37;1450.67,867.5;804.98,854.15
00001301.png 825.41,269.33;1430.77,362.19;1464.71,869.91;820.69,856.05
00001334.png 837.75,267.49;1440.09,362.65;1474.06,872.57;832.92,856.95
00001368.png 843.98,267.22;1443.03,366.25;1472.36,876;839.64,857.37
00001401.png 847.31,266.65;1445.51,368.17;1477.23,876.47;841.68,859.4
00001434.png 849.51,269.04;1442.13,371.31;1473.03,877.58;843.26,860.16
00001468.png 847.5,271.79;1436.08,375.78;1468.21,881.2;842.54,862.17
00001501.png 847.38,270.34;1435.67,376.38;1466.05,885.9;840.73,866.94
00001534.png 848.5,269.28;1432.71,379.01;1466.12,885.41;841.39,869.89
00001568.png 847.72,270.03;1428.57,383.54;1459.25,890.59;839.12,870.98
00001601.png 847.8,269.06;1424.47,385.65;1455.17,894.84;841.03,872.22
00001634.png 848.66,269.12;1421.1,390.03;1453.31,898.05;841.61,875.7
00001668.png 847.93,270.61;1416.46,395.81;1444.37,901.82;840.7,877.82
00001701.png 847.1,262.04;1413.97,394.08;1441.89,902.71;837.43,878
00001735.png 844.78,256.83;1405.94,392.63;1433.6,902.75;833.34,875.14
00001768.png 839.34,254.53;1398.37,392.36;1421.19,903.79;826.28,873.06
00001801.png 834.5,251.31;1388.05,393.42;1410.45,901;821.1,869.54
00001835.png 835.4,248.68;1383.05,391.64;1407.18,897.8;820.65,865.92
00001868.png 842.66,244.59;1385.01,392.03;1403.92,897.6;828.06,861.85
00001901.png 852.09,240.71;1387.2,390.79;1409.45,891.68;837.3,858.15
00001935.png 858.37,234.48;1386.01,389.26;1405.19,891.08;841.02,853
00001968.png 862.04,231.18;1382.36,389.32;1402.81,889.43;845.37,849.53
00002002.png 866.75,229.09;1381.08,389.38;1402.9,886.92;851.41,846.95
