00000033.png 674.95,363;1161.9,350.14;1172.63,663.44;685.01,679
00000066.png 676.56,364.93;1161.63,351.94;1171.5,662.88;685.14,678.04
00000100.png 678.86,364.51;1166.81,351.82;1177.71,665.63;687.24,680.85
00000133.png 682.27,365.16;1167.88,351.08;1178.08,665.05;691.39,678.05
00000166.png 685.13,366.44;1170.74,352.91;1180.13,664.85;693.18,679.06
00000200.png 687.11,367.06;1173.9,354.5;1182.48,667.17;696.55,680.6
00000233.png 690.41,364.71;1175.02,351.18;1185.08,666.67;698.8,677.67
00000266.png 693.47,363.61;1178.54,352.35;1187.55,662.86;701.19,676.72
00000300.png 692.2,365.87;1177.8,352.34;1187.46,664.69;701.85,678.22
00000333.png 696.28,366.96;1179.87,354.78;1187.92,664.69;704.32,678.22
00000367.png 696.44,368.14;1178.29,356.77;1186.87,666.95;704.48,679.95
00000400.png 700.01,370.06;1179.93,358.37;1187.66,668.01;707.31,679.7
00000433.png 700.21,371.62;1177.05,361.05;1188.58,667.66;709.64,680.35
00000467.png 700.45,372.36;1175.99,361.79;1186.47,668.4;709.62,678.98
00000500.png 702.41,376.29;1173.93,363.44;1181.98,666.58;709.11,679.44
00000533.png 703.41,378.27;1171.58,365.42;1179.63,667.89;712.8,680.74
00000567.png 704.08,382.72;1169.4,370.88;1179.46,669.45;713.3,682.99
00000600.png 707.41,387.98;1168.87,374.99;1179.6,670.02;716.53,684.63
00000633.png 706.53,390.52;1165.56,375.72;1173.94,668.58;717.01,686.56
00000667.png 708.94,393.88;1161.69,379.67;1171.75,672.66;716.32,685.52
00000700.png 708.89,396.89;1156.27,382;1167,670.94;717.61,685.83
00000734.png 709.07,402.06;1149.6,387.98;1160.87,671.1;717.65,687.88
00000767.png 708.09,409.7;1142.72,394.81;1149.43,673.59;718.82,689.83
00000800.png 709.54,414.42;1137.46,399.54;1148.2,674.26;718.26,691.18
00000834.png 709.59,417.84;1132.95,402.14;1142.61,676.05;719.25,691.75
00000867.png 711.33,419.68;1128.8,405.61;1140.6,674.65;719.38,690.89
00000900.png 710.42,422.55;1124.93,407.66;1137,673.59;720.48,690.51
00000934.png 718.43,429;1125.56,413.44;1135.49,674.36;728.22,691.68
00000967.png 722.38,432.55;1124.15,416.31;1135.55,676.15;731.77,693.07
00001001.png 726.23,436.05;1123.3,420.02;1133.61,677.26;736.96,692.42
00001034.png 731.27,439.88;1123.11,424.29;1133.41,678.24;740.2,693.48
00001067.png 733.73,443.28;1121.79,428.12;1132.95,678;743.6,694.89
00001101.png 735.07,447.37;1120.74,430.45;1132.48,679.97;745.97,696.89
00001134.png 737.32,451.74;1119.64,437.36;1129.7,679.27;750.74,694.49
00001167.png 742.29,454.19;1117.23,439.3;1127.29,680.87;751.01,697.11
00001201.png 742.26,459.53;1111.86,444.38;1122.6,682.56;750.85,698.58
00001234.png 742.96,465.88;1107.67,448.97;1118.15,680.51;753.44,700.6
00001267.png 743.68,467.87;1103.19,452.18;1113.92,685.49;754.41,701.19
00001301.png 745.13,471.19;1098.74,455.5;1110.01,683.4;755.87,698.55
00001334.png 746.65,473.28;1092.95,460.13;1104.09,684.35;755.4,700.11
00001368.png 741.92,481.39;1083.19,466.78;1093.39,684.93;751.05,701.17
