00000033.png 636.3,374.14;1098.64,372.77;1101.16,670.04;633.28,673.16
00000066.png 634.5,375.02;1096.4,370.88;1101.54,670.94;630.7,673.67
00000100.png 634.11,374.85;1095.17,372.07;1099.49,669.15;631.4,672.91
00000133.png 635.4,376.13;1095.35,370.91;1100.14,668.9;632.2,672.51
00000166.png 633.78,374.79;1095.35,371.83;1097.5,670.16;630.16,672.96
00000200.png 632.84,376.74;1093.39,373.43;1098.4,671.04;629.6,674.44
00000233.png 633.61,378.62;1092.71,374.99;1096.92,671.62;630.9,674.65
00000266.png 632.87,377.32;1094.55,373.84;1098.98,671.64;630.53,674.54
00000300.png 632.95,375.15;1096.21,371.58;1100.45,672.32;629.94,674.46
00000333.png 634.4,376.34;1096.29,372.25;1100.03,670.88;631.99,673.29
00000367.png 634.2,379.73;1095.16,376;1099.19,674.44;631.31,676.73
00000400.png 634.94,380.75;1095.24,377.42;1100.36,674.36;631.02,678.3
00000433.png 636.01,382.27;1094.93,380.17;1098.81,676.44;633.8,679.14
00000467.png 636.71,383.72;1098.31,379.65;1101.33,675.58;632.69,680.67
00000500.png 639.39,384.37;1098.73,379.63;1103.15,678.42;636.02,681.93
00000533.png 643.78,384.14;1103.02,381.81;1105.9,678.24;640.08,681.4
00000567.png 645.03,385.16;1103.79,382.56;1108.58,678.3;642.21,680.78
00000600.png 648.14,386.31;1106.68,382.86;1111.72,678.82;644.49,682.19
00000633.png 648.15,384.99;1108.64,381.5;1112.42,679.78;644.68,683.27
00000667.png 650.59,385.46;1109.68,382.98;1113.08,679.36;647.05,681.94
00000700.png 656.47,384.82;1113.63,384.08;1119.26,679.71;653,681.28
00000734.png 659.89,386.83;1117.84,385.19;1121.72,681.63;656,682.29
00000767.png 664.58,387.12;1121.79,384.84;1125.06,682.42;660.95,683.43
00000800.png 672.1,388.73;1128.66,386.73;1130.14,682.48;666.98,682.48
00000834.png 676.95,387.57;1134.26,387.57;1138.39,682.2;673.65,682.2
00000867.png 694.93,387.73;1151.14,388.93;1153.15,682.54;691.51,681.27
00000900.png 706.14,386.19;1160.13,387.86;1164.27,683.33;702.83,680.83
00000934.png 715.88,385.1;1171.03,387.77;1173.68,682.24;712.33,678.9
00000967.png 728.38,386.33;1181.76,385.42;1185.67,679.63;724.17,677.21
00001001.png 740.13,384.33;1194.22,385.38;1195.94,679.35;735.1,674.91
00001034.png 763.03,383.12;1216.12,383.84;1219.92,677.72;760.2,673.94
00001067.png 775.89,382;1229.44,383.89;1231.51,676.75;771.81,673.11
00001101.png 788.89,379.45;1240.9,381.87;1244.11,675.19;785.18,670.21
00001134.png 801.61,378.98;1254.53,380.57;1258.21,674.21;797.27,669.24
00001167.png 816.72,379.17;1266.19,380.68;1269.5,672.77;813.71,666.11
00001201.png 841.2,376.27;1294.06,378.6;1298.08,671.96;838.19,665.08
00001234.png 856.23,376.51;1308.65,379.7;1310.52,672.06;852,665.06
00001267.png 869.92,376.33;1321.35,379.13;1323.64,671.7;865.83,664.47
00001301.png 882.17,377.46;1331.71,380.64;1336.61,671.52;880.07,664.39
00001334.png 897.26,377.43;1349.71,380.36;1351.01,672.56;892.73,664.4
00001368.png 923.75,378.69;1373.6,382.65;1377.48,674.04;921.02,666.25
00001401.png 937.9,380.26;1387.67,383.29;1392.18,674.17;936.09,665.69
00001434.png 950.96,380.88;1404.07,385.51;1407.91,676.29;949.13,667.52
00001468.png 965.59,381.5;1416.3,385.49;1421.77,676.54;962.18,668.14
00001501.png 980.47,382.92;1430.64,386.79;1435.91,678.49;977.56,668.76
00001534.png 1008.71,385.11;1458.73,390.2;1463.87,680.33;1006.95,670.39
00001568.png 1024.93,385.34;1475.05,391.29;1481.51,679.75;1024.36,670.54
00001601.png 1041.05,386.31;1491.6,392.22;1496.74,682.2;1036.64,671.85
00001634.png 1055.37,388.43;1507.67,393.83;1512.69,683.55;1055.61,671.73
00001668.png 1071.68,388.7;1523.41,394.55;1532.04,685.53;1072.26,673.66
00001701.png 1102.89,391.6;1553.99,399;1561.34,688.43;1101.97,677.33
00001735.png 1117.26,393.9;1568.93,400.06;1575.89,690.87;1117.26,678.78
00001768.png 1133.14,394.82;1585.19,402.56;1591.17,693.45;1133.66,680.37
00001801.png 1148.75,395.99;1600.92,403.99;1606.82,694.28;1147.41,681.71
00001835.png 1163.28,397.74;1614.55,405.01;1623.28,696.19;1161.77,683.77
00001868.png 1194.97,400.06;1646.88,409.48;1653.39,698.17;1195.4,686.31
00001901.png 1211.87,401.46;1661.5,410.93;1671.07,699.52;1212.93,686.43
00001935.png 1223.47,401.48;1678.38,412.27;1686.61,701.09;1229.03,689.74
00001968.png 1240.88,403.18;1692.9,414.62;1701.03,703.36;1240.34,688.65
00002002.png 1255.9,405.42;1706.11,415.46;1714.11,704.65;1256.79,691.04
00002035.png 1279.8,405.31;1732.4,417.46;1740.77,707.19;1281.72,693.42
00002068.png 1292.31,406.49;1742.86,418.02;1751.32,705.79;1294.13,692.95
00002102.png 1304.23,406.09;1755.13,419.52;1763.62,705.77;1307.11,692.94
00002135.png 1316.45,408.91;1765.59,419.86;1774.19,707.89;1317.65,695.24
00002168.png 1325.04,407.42;1778.36,418.89;1786.87,707.12;1329.26,694.63
00002202.png 1351.23,406.11;1800.57,416.37;1812.22,705.87;1355.5,691.93
00002235.png 1363.4,404.21;1814.08,415.64;1824.48,704.48;1364.79,691.57
00002268.png 1375.73,402.59;1825.29,414.49;1835.12,702.61;1377.97,691.06
00002302.png 1382.99,401.7;1833.36,412.25;1844.62,702.22;1386.39,690.29
00002335.png 1391.24,400.56;1843.79,412.59;1852.28,701.86;1394.23,688.32
00002369.png 1401.94,397.54;1852.88,407.86;1864.26,696;1407.8,684.83
00002402.png 1406.42,394.26;1854.76,404.43;1868.11,692.86;1408.89,682.8
00002435.png 1404.41,390.9;1855.76,401.26;1867.08,689.69;1411.31,677.37
00002469.png 1402.3,388.99;1850.66,398.69;1862.31,686.61;1406,676.26
00002502.png 1394.47,386.39;1843.68,395.93;1854.99,682.31;1398.26,674.02
00002535.png 1371.01,382.05;1819.26,388.58;1830.91,676.2;1373.27,667.71
00002569.png 1353.07,378.97;1803.13,385.49;1813.12,673.25;1356.57,666.23
00002602.png 1336.28,376.26;1785.84,383.28;1795.83,670.04;1340.28,664.02
00002635.png 1316.47,376.81;1762.75,380.95;1773.49,666.66;1318.01,661.38
00002669.png 1294.02,374.9;1739.42,377.86;1751.92,666.36;1296.47,659.41
00002702.png 1247.81,372.35;1696.59,374.8;1706.45,661.1;1251.32,655.1
00002736.png 1226.59,371.49;1674.05,372.3;1684.05,659.64;1227.53,655.16
00002769.png 1202.88,370.63;1650.93,372.4;1661.51,658.83;1204.06,655.87
00002802.png 1180.4,372.17;1628.59,372.06;1636.97,659.38;1184.04,654.78
00002836.png 1155.33,372.01;1604.71,371.46;1614.95,658.88;1159.48,655.71
00002869.png 1106.44,373.87;1556.11,372.17;1564.06,659.32;1110.26,655.74
00002902.png 1078.26,375.05;1531.3,369.82;1541.01,659.23;1081.85,657.7
00002936.png 1053.61,374.09;1503.34,370.63;1511.15,657.48;1055.58,657.35
00002969.png 1023.84,372.86;1475.85,368.24;1486.88,659.52;1023.84,657.67
00003003.png 996.14,373.48;1446.07,367.98;1454.35,657.39;998.12,658.21
00003036.png 940.35,373;1391.34,365.9;1398.84,656.09;943.08,658.9
00003069.png 915.52,373.09;1362.17,365.42;1370.97,654.79;914.85,658.02
00003103.png 884.26,372.94;1334.29,365.05;1342.87,654.5;885.41,658.8
00003136.png 857.49,371.9;1305.83,363.39;1315.97,653.99;857.6,656.86
00003169.png 827.77,371.51;1276.5,362.47;1283.76,652.76;827.62,659.29
00003203.png 769.76,370.46;1219.57,360.11;1226.92,650.83;767.55,657.48
00003236.png 741.41,369.65;1191.22,360.03;1198.93,648.55;743.53,658.26
00003269.png 715.11,371.6;1166.67,359.56;1171.06,645.92;718.7,659.16
00003303.png 686.85,370.21;1137.95,358.18;1143.46,645.76;686.85,658.71
00003336.png 660.6,369.43;1110.13,356.22;1118.94,645.87;662.72,658.78
00003370.png 608.66,367.53;1057.72,355.5;1066.61,642.4;610.09,656.83
00003403.png 581.66,368.2;1034.44,353.84;1042.53,642.44;583.27,657.46
00003436.png 558.03,367.34;1009.13,351.8;1018.28,642.22;559.5,657.83
00003470.png 534.96,367.97;987.26,351.49;996.54,642.19;537.19,659.12
00003503.png 511.95,369.86;964.11,352.69;973.34,640.77;515.28,659.21
00003536.png 465.09,368.24;918.96,351.74;927.47,640.82;467.92,660.18
00003570.png 445.82,368.9;895.01,351.16;904.75,638.1;448.28,658.56
00003603.png 423.14,368.58;875.34,349.76;885.51,639.19;426.72,660.07
00003636.png 401.3,368.27;853.56,349.27;862.4,637.5;404.52,659.52
00003670.png 381.53,366.51;836.44,348.87;844.88,636.65;385.92,658.82
00003703.png 342.7,366.82;796.31,345.97;805.92,635.67;344.91,658.33
00003737.png 324.57,366.12;777.25,345.55;785.57,634.59;328.39,657.25
00003770.png 304.82,366.27;759.65,345.4;771.22,635.03;306.48,658.4
00003803.png 286.98,367.79;741.86,345.98;753.3,635.95;289.38,659.88
00003837.png 271.8,368.84;726.53,345.99;735.26,636.22;274.07,660.06
00003870.png 240.18,369.81;696.22,347.04;703.47,637.43;242.54,662.68
00003903.png 224.35,369.7;678.27,345.82;689.81,637.56;227.94,663.15
00003937.png 214.1,370.61;666.88,345.47;677.23,636.04;217.33,661.17
00003970.png 204.58,369.99;656.54,344.72;666.44,634.69;207.93,660.15
00004004.png 191.23,370.26;645.78,343.69;655.84,634.32;194.58,661.43
00004037.png 173.01,369.62;626.85,343.58;636.11,635.38;175.66,662.09
00004070.png 164.41,368.62;618.39,342.6;630.1,634.31;166.75,660.93
00004104.png 157.85,368.17;611.65,341.43;621.66,633.87;160.77,660.33
00004137.png 151.79,367.84;605.79,341.13;616.54,632.43;154.28,659.97
00004170.png 143.67,366.02;596.13,342.39;607.69,632.49;146.06,657.8
00004204.png 130.22,365.88;582.38,341.03;592.03,632.92;130.43,659.08
00004237.png 121.49,367.49;575.03,341.94;583.35,632.68;122.24,657.11
00004270.png 113.69,367.19;565.92,342.07;576.01,632.63;114.55,656.98
00004304.png 108.51,365.72;562.51,339.85;570.78,632.81;110.17,657.85
00004337.png 107.21,364.88;561.21,340.68;571.13,632.81;108.87,657.01
00004371.png 113.14,363.44;565.7,341.69;574.79,632.74;115.02,657.15
00004404.png 123.73,363.41;576.24,342.11;584.4,632.15;124.84,654.63
00004437.png 135.93,363.32;588.37,340.49;600.92,630.69;139.22,654.6
00004471.png 153.76,363.16;608.43,341.77;618.9,632.99;156.73,654.83
00004504.png 176.78,362.48;628.54,345.1;640.82,633.1;179.23,652.97
00004537.png 228.28,363.08;680.29,344.37;695.42,633.63;228.73,655.36
00004571.png 253.4,363.92;712.31,345.2;722.71,633.33;257.81,653.01
