00004733.png 634.43,357.08;1187.06,349.02;1194.67,704.06;640.8,713.84
00004766.png 635.51,357.51;1187.26,347.02;1194.96,703.64;640.95,714.56
00004800.png 633.76,356.93;1187.78,347.59;1194.12,702.4;641.46,714.22
00004833.png 635.69,357.74;1186.89,347.64;1194.55,701.84;643.64,713.15
00004866.png 635.67,354.76;1187.25,347.23;1195.25,702.52;642.9,712.58
00004900.png 635.16,354.33;1187.36,345.23;1195.05,701.39;640.59,710.49
00004933.png 635.27,353.23;1187.47,343.67;1195.17,700.3;640.7,712.12
00004966.png 636.28,352.38;1187.34,345.09;1195.83,697.62;643.06,710.7
00005000.png 635.55,352.14;1187.66,342.89;1194.52,697.25;642.32,709.98
00005033.png 636.74,352.03;1188.53,343.14;1194.92,696.67;643.28,707.92
00005066.png 637.65,352.1;1188.62,342.03;1195.34,697;642.81,708.16
00005100.png 637.7,352.62;1186.94,343.47;1194.59,697.2;643.92,707.78
00005133.png 635.15,350.89;1186.98,342.05;1194.86,696.75;642.85,707.93
00005166.png 635.84,350.44;1186.81,342.35;1193.6,695.45;640.57,706.49
00005200.png 634.09,350.47;1185.76,341.88;1192.05,694.27;640.67,706.11
00005233.png 635.91,349.76;1185.78,341.01;1192.12,694.11;640.14,704.32
00005266.png 632.34,348.07;1182.78,340.05;1190.55,694;638.78,704.56
00005300.png 632.52,347.63;1182.77,338.44;1189.6,691.9;637.61,703.49
00005333.png 632.42,347.51;1180.22,339.33;1187.4,692.1;639.12,702.44
00005366.png 629.28,346.35;1181.03,337.71;1187.36,690.69;634.71,701.15
00005400.png 629.58,347.48;1179.65,339.54;1186.34,691.85;637.16,702.91
00005433.png 630.19,347.79;1177.75,339.37;1184.69,692.13;635.94,702.24
00005466.png 628.08,347.4;1176.95,339.45;1184.21,691.75;636.21,702.21
00005500.png 627.3,346.93;1177.61,338.97;1184.05,691.88;632.63,702.13
00005533.png 626.97,346.77;1176.47,337.21;1182.13,689.74;632.76,702.82
00005566.png 627.44,345.82;1175,337.64;1182.18,689.92;633.67,700.03
00005600.png 626.92,345.18;1176.44,337.21;1183.03,689.7;631.94,700.91
00005633.png 625.68,344.66;1173.99,337.02;1182.32,689.27;633.02,699.1
00005666.png 625.82,344.66;1174.75,337.22;1182.4,689.62;630.82,700.18
