00000033.png 652.19,379.42;1101.96,376.73;1102.98,666.38;653.13,669.43
00000066.png 651.87,379.52;1101.76,375.21;1104.43,666.41;654.01,669.11
00000100.png 650.51,380.19;1098.48,373.83;1103.29,664.71;652.92,669.56
00000133.png 648.83,379.5;1097.22,370.52;1101.87,663.01;653.48,669.25
00000166.png 647.35,380.87;1096.53,369.7;1103.54,660.71;654.36,671.88
00000200.png 647.87,382.84;1095.05,368.46;1103.61,659.04;656.41,671.69
00000233.png 646.72,385.26;1094.2,367.77;1104.27,658.63;657.14,674.68
00000266.png 645.07,386.33;1092.74,365.28;1105.54,656.39;658.13,674.67
00000300.png 645.05,388.64;1092.64,362.7;1108.07,653.22;659.98,677.1
00000333.png 646.56,391.74;1092.92,362.77;1111.24,652.86;663.39,679.2
00000367.png 646.53,394.73;1093.3,360.74;1113.33,650.65;667.19,682.08
00000400.png 645.6,397.68;1092.48,360.46;1116.79,650.58;668.24,686.11
00000433.png 647.68,405.36;1092.88,362.22;1121.38,652.34;675.35,692.94
00000467.png 646.95,413.01;1095.27,363.69;1127.78,653.64;677.56,701.7
00000500.png 648.09,419.96;1091.61,367.52;1126.82,655.95;679.95,706.7
00000533.png 650.06,429.76;1091.88,369.56;1130.06,657.09;688.55,714.53
00000567.png 650.68,433.38;1092.51,369.06;1135.11,656.47;692.9,717.23
00000600.png 652.62,441.14;1090.25,368.67;1136.91,655.52;697.77,723.43
00000633.png 651.26,445.12;1090.49,368.15;1138.98,653.57;699.76,728.53
00000667.png 650.02,455.74;1086.61,371.49;1139.58,654.28;702.03,737.7
00000700.png 651.35,463.5;1085.97,375.85;1142.41,659.67;707.04,744.28
00000734.png 650.54,474.88;1084.66,381.35;1144.77,661.94;712.32,755.47
00000767.png 652.72,482.93;1081.99,384.49;1144.75,664.6;714.5,759.17
00000800.png 651.16,490.28;1079.34,385.47;1146.61,665.66;717.22,766.19
00000834.png 649.32,495.15;1076.59,384.23;1148.41,664.73;719.32,771.37
00000867.png 647.01,497.56;1074.74,382.79;1150.57,663.27;720.81,774.19
00000900.png 649.3,498.11;1075.91,380.99;1152.71,657.36;727.77,774.48
00000934.png 651.12,498.15;1076.87,374.71;1156.57,653.68;728.99,773.46
00000967.png 653.2,499.01;1075.26,371.2;1158.19,647.7;734.12,772.1
00001001.png 652.32,500.67;1073.77,368.63;1158.81,645.23;735.86,773.1
00001034.png 647,503.11;1068.6,367.24;1155.21,641.09;734.65,774.85
00001067.png 645.51,506.31;1063.74,365.72;1154.27,640.64;734.48,775.28
00001101.png 641.97,507.53;1058.66,363.74;1154.24,636.09;735.87,777.35
00001134.png 638.73,508.36;1054.02,359.24;1150.69,630.55;734.12,777.1
00001167.png 635.26,510.46;1048.41,357.62;1148.72,627.27;733.75,778.65
00001201.png 630.57,512.6;1041.79,354.63;1145.12,623.51;731.18,779.04
00001234.png 626.55,514.18;1036.12,354.15;1140.74,621.61;729.26,780.03
00001267.png 619.3,515.58;1029.54,350.48;1136.54,617.59;725.4,779.52
00001301.png 613.96,515.73;1023.66,347.67;1132.75,615.34;721.53,781.56
00001334.png 604.51,513.96;1013.65,342.25;1126.84,610.38;715.18,780.39
00001368.png 599.6,513.51;1009.95,338.33;1122.66,605.85;712.94,777.24
00001401.png 593.29,510.87;1003.39,331.93;1118.39,600.55;708.64,774.3
00001434.png 589.44,511.33;1000.33,331.55;1115.37,597.22;707.79,775.69
00001468.png 582.81,512.92;991.75,328.84;1110.67,595.33;701.74,776.21
00001501.png 576.13,513.66;984.43,326.7;1104.95,591.91;697.61,776.64
00001534.png 570.96,515.02;979.42,324.66;1102.18,589.97;694.97,777.17
00001568.png 564.07,519.85;971.34,325.21;1097.1,588.91;691.04,781.71
00001601.png 560.09,521.83;966.78,324.45;1095.72,587.24;687.43,785.38
00001634.png 554.58,527.17;958.72,323.97;1087.35,585.74;684.91,788.11
00001668.png 549.82,528.52;953.27,325.08;1082.46,584.65;682.49,788.59
00001701.png 545.74,532.91;944.88,323.9;1079.45,583.5;681.45,790.05
00001735.png 542.85,535.4;940.75,323.23;1078.87,580.58;681.73,792.08
00001768.png 540.62,538.53;938.22,319.45;1077.01,575.39;683.59,790.26
00001801.png 540.23,536.49;934.17,314.52;1079.82,567.16;685.52,791.3
00001835.png 540.52,536.92;933.04,310.89;1079.74,562.21;686.72,791.85
00001868.png 543.15,537.06;928.91,306.37;1077.7,557.84;693.16,785.17
00001901.png 545.7,537.13;927.73,303.51;1079.46,553.18;697.73,783.46
00001935.png 545.07,536.59;928.62,296.2;1084.29,544.55;701.22,784.54
00001968.png 548.61,538.35;928.31,292.99;1085.28,540.8;707.1,781.58
00002002.png 551.75,536.79;927.99,290.44;1087.28,533.61;714.19,781.02
00002035.png 555.65,541.87;927.06,290.79;1089.07,533.01;717.97,780.61
