00000033.png 589.68,397.11;1085.27,383.6;1093.63,701.03;598.64,715.97
00000066.png 592.1,395.76;1083.73,382.9;1093.29,700.33;600.59,715.34
00000100.png 592.28,396.86;1085.7,384.71;1094.39,702.13;600.3,715.64
00000133.png 594.88,394.54;1087.31,381.98;1095.87,698.06;603.25,712.11
00000166.png 596.66,393;1087.4,381.52;1096.76,696.24;604.68,711.1
00000200.png 600.17,391.35;1089.81,380.71;1097.28,693.34;607.98,707.41
00000233.png 606.36,383.86;1095.77,373.59;1104.32,689.66;613.31,700.47
00000266.png 614.54,378.73;1105.04,369.77;1112.44,686.82;621.94,696.52
00000300.png 619.69,380.05;1108.53,371.51;1115.43,687.1;626.28,695.01
00000333.png 629.77,382.25;1114.58,374.47;1120.14,687.68;634.47,695.46
00000367.png 644.15,383.04;1126.96,378.01;1131.93,688.01;644.98,696.38
00000400.png 659.97,385.13;1141.9,380.38;1145.75,689.83;662.74,696.06
00000433.png 677.66,387.74;1154.72,385.2;1160.58,692.24;680.17,697.31
00000467.png 691.41,396.92;1166.92,393.13;1170.66,700.02;694.62,703.8
00000500.png 704.05,399.35;1179.42,395.97;1184.77,703.27;706.72,706.64
00000533.png 716.89,400.36;1193.05,397.67;1195.18,705.5;720.09,707.11
00000567.png 725.35,402.27;1200.89,399.74;1203.22,706.81;728.76,709.58
00000600.png 737.11,407.01;1210.64,404.31;1215.34,709.48;739.79,711.51
00000633.png 746.95,408.1;1220.81,405.57;1224.99,712.86;749.45,715.4
00000667.png 757.5,408;1230.24,405.31;1236.06,711.09;760.15,714.92
00000700.png 767.13,407.56;1237.53,404.12;1243.92,709.26;771.81,713.56
00000734.png 775.07,409.12;1247.27,404.06;1249.78,707.97;780.09,712.19
00000767.png 784.31,409.53;1252.6,405.72;1258.42,709.33;788.08,715.21
00000800.png 791.61,410.37;1259.62,406.99;1266.98,710.23;795.62,716.31
00000834.png 801.94,412.06;1266.31,407.86;1271.31,708.37;805.27,715.93
00000867.png 809.92,411.8;1277.4,407.48;1284.35,708.97;815.8,715.99
00000900.png 823.22,410.56;1289.63,406.24;1298.19,708.26;828.04,715.83
00000934.png 834.4,408.66;1300.44,405.3;1308.42,705.48;839.73,715.55
