00000033.png 834.8,176.03;1321.22,175.42;1319.97,786.28;838.77,786.6
00000066.png 836.25,175.09;1321.21,174.26;1319.91,785.15;838.67,785.11
00000100.png 836.91,174.59;1321.61,172.32;1319.53,782.29;839.42,782.55
00000133.png 837.51,174.03;1320.58,172.62;1318.08,779.04;840.88,780.08
00000166.png 837.64,172.4;1320.38,171.62;1317.99,778.47;840.34,778.09
00000200.png 836.92,171.52;1318.92,170.88;1317.97,775.83;840,776.75
00000233.png 836.17,172.05;1317,171.12;1314.6,774.86;839.91,775.69
00000266.png 834.84,172.02;1314.61,170.26;1313.22,772.53;838.38,773.47
00000300.png 834.39,171.65;1312.34,170.59;1310.09,771.35;837.78,771.97
00000333.png 833.14,171.81;1309.75,171.91;1308.24,770.65;836.61,771.94
00000367.png 831.44,172.53;1307.73,171.99;1306.51,768.52;836.42,769.72
00000400.png 832.26,173.89;1306.7,172.27;1304.79,767.67;835.48,768.66
00000433.png 832.19,174.76;1305.85,173.16;1303.12,768.33;835.33,767.93
00000467.png 832.21,174.85;1303.46,173.74;1301.37,766.03;835.11,766.76
00000500.png 832.78,175.7;1302.76,174.96;1299.85,765.03;835.43,766.01
00000533.png 832.94,176.61;1301.88,175.92;1299.35,764.22;835.71,764.47
00000567.png 833.58,177.86;1300.15,176.76;1298.04,763.79;836.46,764.94
00000600.png 833.89,179.74;1298.55,179.65;1297.97,764.44;836.51,764.51
00000633.png 834.93,182.03;1298.32,181.59;1296.64,762.37;837.71,764.36
00000667.png 836.66,183.66;1298.14,182.71;1296.26,762.88;839.19,763.14
00000700.png 838.42,185.44;1297.45,184.87;1296.16,762.35;839.49,763.26
00000734.png 839.74,187.39;1296.66,186.95;1295.85,763.41;840.89,763.7
00000767.png 840.7,188.89;1294.77,188.89;1291.97,761.66;843.51,761.66
00000800.png 843.26,190.92;1295.38,191.52;1294.69,760.35;842.72,760.78
00000834.png 844.27,194.99;1294.92,193.52;1294.59,763.69;845.51,762.24
00000867.png 846.68,196.19;1294.57,196.13;1294.46,762.22;846.81,762.09
00000900.png 848.32,199.92;1295.27,199.33;1294.75,762.32;848.36,763.15
00000934.png 850.78,203.44;1295.31,203.2;1294.9,763.24;850.49,762.81
00000967.png 853.34,206.99;1293.92,207.25;1294.61,764.78;854.05,762.94
00001001.png 855.6,209.5;1296.59,210.17;1296.25,766.71;855.17,765.37
00001034.png 858.3,213.76;1296.34,213.71;1296.09,766.71;858.63,765.14
00001067.png 861.82,217.33;1296.1,217.47;1297.49,767.57;861.35,766.64
00001101.png 864.1,220.91;1297.18,221.46;1297.39,768.41;863.51,766.98
00001134.png 866.48,225.8;1296.67,225.82;1297.08,770;865.39,768.68
00001167.png 868.63,229.02;1297.27,228.99;1298.16,771.47;867.95,770.61
00001201.png 870.68,233.69;1296.53,233.56;1297.67,773.01;870.42,770.47
00001234.png 872.54,236.39;1297.07,236.34;1296.02,772.64;871.51,770.87
00001267.png 873.39,238.79;1296.44,239.43;1296.87,772.9;872.4,771.93
00001301.png 875.82,241.69;1295.95,241.52;1296.82,772.91;874.02,771.3
00001334.png 876.21,244.54;1295.85,243.45;1296.6,774.59;874.49,771.82
00001368.png 877.52,246.77;1293.91,246.75;1294.33,774.05;875.1,771.69
00001401.png 877.68,249.2;1291.72,248.27;1291.92,773.79;875.78,769.78
00001434.png 877.96,249.62;1289.53,248.69;1290,769.78;875.97,769.57
00001468.png 877.7,251.25;1287.67,250.59;1287.9,769.57;876.52,766.38
00001501.png 878.2,252.09;1285.64,252.71;1287.17,767.08;877.05,765.56
00001534.png 879.04,253.98;1284.8,254.09;1285.24,766.08;879.06,762.82
00001568.png 879.94,255.17;1283.28,254.48;1282.89,762.53;880.13,761.51
00001601.png 881.17,254.86;1283.25,254.28;1283.14,763.25;881.22,760.76
00001634.png 882.52,255.66;1282.89,254.41;1282.69,759.93;883.84,759.37
00001668.png 884.48,256.35;1281.8,255.18;1281.74,758.08;884.91,756.87
00001701.png 885.53,257.25;1282.48,256.02;1282.3,754.96;886.81,755.25
00001735.png 888.19,258.5;1282.37,256.69;1282.82,754.39;889.8,753.43
00001768.png 890.74,259.6;1282.52,257.68;1282.82,752.98;891.48,751
00001801.png 892.89,259.88;1283.56,257.34;1283.75,751.29;894.65,749.94
00001835.png 894.65,260.41;1285.06,257.92;1285.1,749.65;897.33,749.87
00001868.png 897.81,262.28;1284.41,259.15;1285.59,747.61;899.14,747.21
00001901.png 899.82,262.59;1284.41,258.22;1285.5,745.89;901.59,745.13
00001935.png 900.33,263.67;1284.2,260.08;1285.39,742.02;905.17,742.99
00001968.png 903.08,263.28;1285.78,258.94;1286.53,741.71;906.85,741.22
00002002.png 904.54,261.78;1285.65,258.87;1287.08,738.91;908.46,740.18
00002035.png 906.71,262.37;1285.89,258.71;1286.45,735.77;910.9,736
00002068.png 908.38,263.32;1286.01,258.69;1287.08,735.05;911.86,735.26
00002102.png 909.76,263.74;1284.66,260.98;1286.32,733.29;913.99,733.18
00002135.png 910.8,264.42;1284.61,260.23;1286.46,730.68;914.74,731.15
00002168.png 911.34,263.99;1284.84,259.89;1286.54,730.06;915.39,730.42
00002202.png 914.14,264.96;1285.93,260.48;1286.78,729.5;917.86,729.79
00002235.png 915.22,265.75;1285.79,261.81;1287.26,727.63;919.12,728.79
00002268.png 915.82,266.06;1286.29,261.8;1288.52,728.09;919.9,728.67
00002302.png 916.62,266.84;1286.76,262.03;1287.22,725.92;921.38,727.39
00002335.png 918.8,268.48;1286.5,263.48;1286.6,726.8;921.63,727.39
00002369.png 919.94,271.12;1285.58,265.34;1285.54,725.31;922.59,727.03
00002402.png 920.63,270.3;1284.36,266.87;1285.49,725.7;923.96,726.06
00002435.png 922.43,272.1;1284.63,268.9;1285.89,724.7;925.02,724.99
00002469.png 923.28,272.69;1285.53,268.86;1286.08,723.75;927.06,723.97
00002502.png 926.25,272.82;1286.52,269.03;1286.99,724.93;928.61,723.44
00002535.png 927.9,273.72;1286.73,269.93;1287.77,722.35;930.55,722.91
00002569.png 929.78,273.86;1287.93,270.58;1287.76,721.36;931.77,721.88
00002602.png 931.45,274.11;1287.91,270.5;1287.69,718.47;933.76,719.31
00002635.png 933.89,274.54;1289.68,270.71;1289.31,719.59;935.43,718.61
00002669.png 935.38,275.73;1290.15,271.96;1289.97,719.6;936.87,718.1
00002702.png 937.6,276.98;1290.25,274.28;1290.91,718.81;939.1,717.05
00002736.png 939.56,278.46;1291.36,275.31;1291.27,717.83;941.6,716.26
00002769.png 942.05,278.62;1292.86,275.54;1291.74,716.67;943.36,716.26
00002802.png 944.26,280.98;1292.47,277.76;1291.78,718.68;944.99,715.82
00002836.png 946.5,281.7;1292.88,280.27;1292.75,718.22;946.78,715.47
