00000033.png 738.66,181.71;1246.24,179.9;1251.46,816.03;746.27,823.94
00000066.png 738.08,178.78;1243.46,177.74;1251.81,815.48;745.5,822.61
00000100.png 736.03,178.71;1244.25,177.23;1249.33,814.11;743.5,822.05
00000133.png 735.12,177.25;1242.82,175.75;1248.19,813;742.02,820.99
00000166.png 733.61,176.99;1239.99,175.78;1246.43,811.74;741.34,820.07
00000200.png 730.42,175.38;1237.84,174.6;1243.7,810.58;738.97,818.75
00000233.png 727.76,173.89;1234.74,173.15;1240.07,808.9;735.59,817.7
00000266.png 720.31,172.69;1227.24,170.94;1233.16,806.84;728.48,814.75
00000300.png 714.5,170.6;1222.4,170;1227.75,805.86;724.27,813.43
00000333.png 710.64,170.09;1216.57,169.87;1221.35,803.71;717.46,812.92
00000367.png 703.84,169.26;1210.85,169.52;1215.92,802.26;712.33,810.94
00000400.png 698.06,168.43;1203.25,169.45;1209.43,800.67;705.63,811.42
00000433.png 691.78,168.05;1197.17,169.54;1202.07,801.12;699.23,809.23
00000467.png 676.75,165.75;1182.85,168.2;1187.13,799.3;683.96,808.77
00000500.png 668.01,165.19;1174.62,168.57;1178.13,797.5;676.23,807.94
00000533.png 659.77,165.2;1165.17,168.12;1168.98,797.55;666.77,806.87
00000567.png 650.01,164.06;1154.45,169.2;1158.31,795.63;657.65,806.03
00000600.png 640.09,164.51;1142.91,168.67;1148.93,796.41;648.05,805.76
00000633.png 628.28,163.81;1132.25,168.6;1136.89,795.87;635.29,806.71
00000667.png 604,165.3;1109.26,171;1112.46,795.4;611.22,807.34
00000700.png 592.45,164.74;1097.1,171.59;1100.61,796.47;599.28,807.74
00000734.png 578.67,165.24;1083.71,172.68;1087.32,796.79;585.12,808.59
00000767.png 565.81,166.11;1070.74,173.96;1074.44,796.75;572.19,809.11
00000800.png 551.35,164.21;1058.85,174.05;1062.37,796.75;557.83,812.26
00000834.png 536.2,164.34;1045.84,172.5;1049.68,799.25;543.07,812.23
00000867.png 523.8,165.42;1032.55,174.2;1037.33,799.5;531.2,813.02
00000900.png 495.56,165.12;1004.74,175.86;1009.85,799.9;501.3,813.62
00000934.png 480.65,165.36;992.77,175.73;996.24,798.88;487.83,815.02
00000967.png 466.69,165.64;978.34,176.18;981.64,800.05;472.74,814.89
00001001.png 453.37,165.96;963.82,177.68;969.02,799.24;459.75,816.6
00001034.png 439.24,166;950.32,177.89;955.93,801.37;445.1,817.29
00001067.png 423.72,166.34;937.09,178.65;941.86,800.98;429.52,817.37
00001101.png 395.19,165.26;911.52,178.47;917.33,803.51;401.73,820.24
00001134.png 381.42,165.44;898.43,179.25;903.41,802.77;388.73,819.68
00001167.png 368.29,164.07;887.32,179.49;891.98,804.63;374.1,822.26
00001201.png 356.79,166.07;874.47,179.97;879.99,804.11;363.61,821.79
00001234.png 344.47,166.7;863.46,180.42;868.95,805.26;351.11,823.69
00001267.png 334.09,166.32;853.75,180.52;858.14,804.25;340.09,823.88
00001301.png 314.86,164.74;836.86,179.71;840.66,805.25;321.09,822.63
00001334.png 307.73,164.96;829.27,181.34;832.94,804.29;313.93,823.03
00001368.png 301.8,165.07;824.5,180.77;828.08,804.33;307.46,823.48
00001401.png 297.74,164.84;820.82,180.16;824.22,805.26;303.34,823.5
00001434.png 296.59,163.32;820.52,179.54;824.33,805.22;302.08,823.52
00001468.png 297.62,163.19;821.48,179.81;824.58,804.96;302.61,823.52
00001501.png 307.98,160.91;833.42,177.27;836.17,804.73;312.77,823.49
00001534.png 317.2,161.13;842.01,177.17;844.74,804.05;321.82,824.14
00001568.png 327.31,159.34;852.54,175.92;855.04,804.21;332.29,823.38
00001601.png 339.99,156.64;866.28,173.41;868.2,804.77;345.83,823.68
00001634.png 355.46,157.4;879.37,173.54;880.97,805.36;359.06,821.91
00001668.png 369.99,157.06;893.89,173.46;896.38,803.29;374.7,821.46
00001701.png 385.59,155.71;908.68,171.28;911.74,802.4;389.36,820.09
00001735.png 422.24,152.64;942.42,166.5;943.95,800.46;429.06,817.27
00001768.png 440.46,149.8;962.95,163.08;966.15,798.88;446.68,816.06
00001801.png 464.9,149.71;981.62,161.84;983.32,799.25;470.01,814.27
00001835.png 486.16,147.65;1002.85,159.85;1005.67,796.84;491.56,811.71
00001868.png 509.46,146.67;1025,156.37;1025.77,796.09;515.74,809.46
00001901.png 529.98,143.7;1047.01,153.33;1049.13,794.46;536.36,807.75
00001935.png 575.79,142.16;1093.27,147.17;1095.35,790.76;581.22,803.18
00001968.png 598.65,138.78;1117.33,144.71;1118.92,788.47;604.75,801.14
00002002.png 621.9,138.4;1139.97,143.61;1143.14,790.52;628.94,800.07
00002035.png 644.97,139.06;1162.86,142.69;1164.91,789.04;651.89,798.13
00002068.png 665.92,134.4;1188.13,138.81;1189.35,788.63;672.74,799.91
00002102.png 691.41,136.28;1209.79,137.6;1210.72,785.48;697.34,794.35
00002135.png 735.12,133.29;1256.12,132.39;1257.58,783.91;742.44,791.24
00002168.png 757.44,131.29;1278.35,128.77;1280.45,784.74;764.46,790.41
00002202.png 778.95,131.43;1300.28,127.58;1302.37,783.94;786.02,789.87
00002235.png 800.7,129.93;1322.19,124.99;1324.71,785.29;809.16,788.8
00002268.png 821.81,129.36;1345.47,123.38;1347.57,784.27;829.33,788.83
00002302.png 843.51,128.73;1368.62,120.65;1371.78,785.66;851.22,788.7
00002335.png 864.64,128.27;1390.52,119.1;1393.18,785.58;872.84,787.78
00002369.png 906.43,127.56;1435.96,115.1;1439.14,786.1;915.26,788.06
00002402.png 926.07,126.1;1458.37,114.05;1464.11,787.91;934.05,789.51
00002435.png 946.34,125.78;1480.71,112.3;1487.6,789.87;954.48,791.21
00002469.png 966.89,126.69;1502.29,111.86;1507.7,791.41;974.88,791.19
00002502.png 986.93,126.07;1526.48,109.82;1533.06,795.18;993.4,795.08
00002535.png 1005.19,126.87;1547.64,109.02;1554.39,793.64;1013.63,794.59
