00000033.png 921.47,262.86;1372.54,256.73;1389,833.04;928.24,837.57
00000066.png 920.41,263.16;1372.72,257.84;1388.12,833.46;927.11,838.52
00000100.png 920.23,264.03;1372.75,257.9;1389.5,833.87;926.75,839.13
00000133.png 920.76,264.11;1373.14,257.67;1388.53,834.3;927.75,838.96
00000166.png 920.1,263.34;1372.23,257.2;1388.75,834.06;925.45,839.44
00000200.png 920.31,263.54;1371.38,258.17;1387.89,833.48;926.25,838.77
00000233.png 918.3,263.32;1369.84,256.84;1386.6,832.08;925.38,838.64
00000266.png 918.16,264.13;1369,256.85;1386.44,832.25;924.65,838.17
00000300.png 915.88,262.69;1367.98,255.48;1384.99,833.6;923.38,838.84
00000333.png 915.21,263.52;1365.76,257.58;1383.03,830.63;923.4,838.14
00000367.png 914.62,262.37;1366.42,256.55;1383.45,831.5;921.46,838.67
00000400.png 913.37,263.77;1364.08,257.19;1382.3,831.01;920.95,836.92
00000433.png 912.4,263.27;1363.96,255.74;1381.19,831.34;920.41,838.96
00000467.png 912.11,263.87;1363.14,256.7;1381,830.13;920.27,838.6
00000500.png 909.8,263.72;1361.56,256.46;1379.99,831.44;919.07,838.4
00000533.png 909.34,264.22;1359.36,256.68;1378.62,830.02;919.09,837.62
00000567.png 907.32,263.49;1357.4,256.41;1375.98,830.34;916.55,837.44
00000600.png 906.22,263.61;1356.14,255.34;1375.34,830.43;914.97,837.55
00000633.png 904.42,263.17;1355.46,255.19;1373.84,827.14;914.11,837.96
00000667.png 902.44,262.42;1353.1,254.74;1371.37,827.96;912.15,835.8
00000700.png 901.17,261.11;1352.88,253.51;1371.92,827.27;911.71,837.63
00000734.png 900.54,260.83;1350.66,252.05;1369.65,825.91;909.94,834.26
00000767.png 899.98,260.04;1349.3,251.87;1369.2,825.25;909.87,833.62
00000800.png 898.26,259.27;1349.7,251.63;1368.44,824.05;909.52,835.56
00000834.png 897.59,259.91;1346.29,252.24;1366.04,822.73;908.03,832.48
00000867.png 897.13,259.61;1345.68,251.94;1365.93,822.3;907.6,832.26
00000900.png 895.43,258.73;1344.15,250.53;1365.03,821.24;907.18,831.66
00000934.png 895.15,258.38;1344.16,249.85;1364.43,820.88;906.11,831.07
00000967.png 894.23,258.23;1342.53,249.15;1363.1,819.64;905.27,830.1
00001001.png 892.26,256.73;1340.99,247.6;1362.23,819.46;904.65,829.16
00001034.png 891.66,256.69;1340.09,247.82;1360.53,817.66;903.6,828.31
00001067.png 890.76,256;1339.61,247.58;1359.99,817.35;902.73,827.76
00001101.png 889.27,253.6;1339.18,243.87;1360.12,816.03;902.37,827.14
00001134.png 889.74,254.5;1338.69,244.01;1360.88,816.92;902.39,827.19
00001167.png 889.36,252.61;1338.88,242.05;1360.33,814.28;902.51,825.01
00001201.png 889.86,252.31;1338.84,243.05;1360.25,812.98;903.47,825.08
00001234.png 890.3,250.79;1339.15,241.16;1360.81,812.08;904.26,823.89
00001267.png 890.34,249.88;1340.1,239.58;1362.91,811.31;904.86,823
00001301.png 891.21,250.03;1340.46,238.87;1363.54,811.87;905.28,822.64
00001334.png 890.04,249.46;1340.57,239.27;1362.89,809.89;904.54,822.33
00001368.png 889.82,250.28;1339.8,238.06;1362.22,810.71;904.53,823.28
00001401.png 890.13,248.87;1339.61,238.29;1362.22,809.53;904.1,823.53
00001434.png 889.9,248.56;1338.62,237.89;1361.66,808.38;903.76,821.28
00001468.png 889.27,248.05;1338.74,237.18;1360.83,808.1;903.38,820.97
00001501.png 889.15,247.28;1339.36,236.79;1362.25,807.85;903.71,821.89
00001534.png 890.4,247.52;1337.67,236.94;1361.75,806.78;904.28,819.61
00001568.png 889.87,245.98;1338.6,235.29;1361.82,806.85;903.69,819.86
00001601.png 889.46,245.51;1338.73,235.17;1362.04,806.23;902.94,818.23
00001634.png 890.08,245.25;1338.25,235.88;1361.36,805.26;903.86,818.07
00001668.png 889.64,245.22;1338.83,234.06;1361.62,806.4;903.26,817.6
00001701.png 888.67,244.69;1337.96,234.92;1360.29,806.44;902.04,818.09
00001735.png 889.01,245.28;1338.22,235.03;1359.96,805.54;901.95,817.38
00001768.png 888.4,243.76;1338.06,232.94;1359.9,806.17;902.05,818.58
00001801.png 888.59,243.84;1337.7,234.8;1359.97,805.88;902.69,817.1
00001835.png 889.97,245.58;1338.16,235.12;1359.96,805.37;901.24,817.73
00001868.png 890.25,245.9;1338.35,236.97;1359.03,806.76;902.27,817.93
00001901.png 890.4,246.81;1338.76,237.05;1360.77,808.23;903.18,818.64
00001935.png 890.69,245.68;1341.44,236.45;1361.7,807.84;902.98,820.91
00001968.png 892.37,245.94;1340.96,236.44;1362.52,808.52;903.89,819.59
00002002.png 892.47,246.15;1342.13,236.79;1363.77,809.82;903.9,819.7
00002035.png 892.32,248.19;1342.47,238.68;1362.64,810.13;904.19,820.46
00002068.png 892.17,247.79;1342.43,238.57;1363.15,810.96;903.75,821.13
00002102.png 891.92,248.74;1341.41,240.29;1361.14,809.54;903.23,821.02
00002135.png 891.56,248.86;1341.61,239.8;1361.58,812.11;903.99,821.18
00002168.png 891.23,248.29;1341.1,240.3;1361.36,811.24;902.22,822
00002202.png 891.04,248.34;1340.22,240.38;1360.5,811.87;902.08,821.99
00002235.png 891.64,249.33;1340.82,240.21;1359.67,811.56;902.3,820.42
00002268.png 890.75,248.14;1339.53,240.09;1360.86,811.78;902.06,821.58
00002302.png 891.25,248.42;1339.97,240.29;1359.38,811.28;901.42,822.45
00002335.png 891.29,249.05;1340.16,241.1;1359.61,812.22;901.76,821.48
00002369.png 890.56,249.84;1339.58,242.25;1358.73,812.17;903.32,821.15
00002402.png 889.97,249.84;1339.76,241.6;1360.42,813.01;901.74,823.19
00002435.png 890.97,250.94;1338.58,243.21;1358.6,812.73;901.61,822.02
00002469.png 889.87,251.08;1338.47,243.66;1358.19,813.86;900.48,823.86
00002502.png 888.75,252.25;1337.78,244.09;1357.77,813.54;900.08,824.59
00002535.png 889.21,252.96;1337.56,245.49;1357.18,814.35;900.15,824.79
00002569.png 889.1,254.02;1337.59,245.6;1357.68,815.82;900.35,825.78
00002602.png 889,254.66;1336.86,246.39;1357.18,816;901.26,826.08
00002635.png 889.56,255.62;1337.2,247.25;1358.24,817.32;900.17,827.32
00002669.png 889.74,256.03;1338.22,247.73;1358.43,817.36;901.01,827.88
00002702.png 889.68,255.1;1338.49,246.89;1359.25,817.05;901.7,828.13
00002736.png 891.52,255.86;1339.97,247.37;1360.08,817.35;903.2,827.85
00002769.png 889.79,254.88;1341.32,245.88;1360.22,818.18;902.19,829.04
00002802.png 891.54,255.52;1341.24,245.84;1361.96,818.31;902.76,828.46
00002836.png 891.8,255.03;1340.64,245.63;1361.26,816.27;903.4,827.84
00002869.png 891.9,254.53;1341.64,245.66;1361.97,816.99;903.78,828.3
00002902.png 892.03,253.23;1343.65,244.19;1363.38,816.95;905.01,827.88
00002936.png 894.17,252.69;1344.4,244.24;1364.16,816.66;905.98,826.52
00002969.png 894.47,253.97;1344.53,244.78;1365.23,817.3;906.87,827.38
00003003.png 894.42,253.43;1345.89,243.94;1368.05,816.56;906.74,828.93
00003036.png 894.61,253.41;1344.91,244.21;1367.03,816.74;906.7,828.69
00003069.png 895.42,255.21;1344.73,245.28;1366.6,816.74;908.43,827.46
00003103.png 895.35,254.91;1345.09,244.76;1367.15,817.25;908.13,827.97
00003136.png 895.21,254.72;1345.84,245.04;1368.64,817.94;908.79,830.23
00003169.png 895.39,255.25;1346.17,245.17;1367.84,818.11;909.36,829.18
00003203.png 896.62,255.71;1346.18,245.36;1368.26,817.91;910.16,829.29
00003236.png 896.12,256.11;1346.39,245.78;1369.52,817.26;909.19,830.71
00003269.png 897.58,257.93;1346.8,246.15;1369.15,819.42;910.14,830.25
00003303.png 896.43,258.02;1346.24,247.59;1369.42,819.82;910.31,831.28
00003336.png 895.91,257.85;1345.85,247.46;1368.43,819.49;909.56,831.88
00003370.png 896.53,258.95;1345.21,247.6;1368.33,819.68;910.19,831.52
00003403.png 895.81,260.01;1345.42,247.96;1368.56,820.49;910.8,832.66
00003436.png 896.04,259.66;1345.63,249.86;1367.85,819.63;910.66,832.57
00003470.png 894.75,258.71;1345.28,248.24;1369.75,821.31;909.56,834.34
00003503.png 894.57,259.15;1344.29,247.73;1367.45,819.2;909.73,831.62
00003536.png 893.56,258.48;1344.19,247.04;1368.74,819.75;907.78,833.15
00003570.png 893.64,257.89;1342.19,246.65;1366.94,819.4;907.2,831.57
00003603.png 891.99,258.9;1341.17,247.22;1364.61,817.59;907.53,830.93
00003636.png 891.51,256.83;1340.82,247.31;1365.27,817.61;905.19,831.46
00003670.png 891.04,258.19;1338.04,247.32;1363.17,816.79;906.27,829.17
00003703.png 889.23,257.57;1338.72,246.62;1362.44,815.71;905.49,828.76
00003737.png 890.45,257.43;1338.63,246.12;1361.88,815.91;905.17,827.9
00003770.png 889.84,256.33;1338.63,245.34;1362.05,815.07;904.12,828.91
00003803.png 890.01,256.55;1337.52,246.54;1361.71,814.63;905,827.79
00003837.png 889.46,255.96;1337.06,245.29;1361.17,813.71;903.49,827.32
00003870.png 889.19,254.98;1337.07,244.24;1360.68,815.26;902.46,826.32
00003903.png 888.68,255.28;1336.74,244.39;1360.05,813.47;902.53,825.92
00003937.png 888.39,255.84;1337.12,243.98;1359.94,812.83;902.24,825.49
00003970.png 887.93,254.73;1336.65,244.01;1360.12,814.59;902.37,828.07
00004004.png 887.38,253.54;1337.34,244.61;1358.97,814.93;900.26,828.03
00004037.png 886.94,254.36;1336.38,244.59;1358.94,814.42;900.89,828.04
00004070.png 888.31,253.55;1336.16,243.76;1359.1,814.94;900.89,827.14
00004104.png 887.59,255.15;1335.95,243.79;1358.88,814.45;901.14,826.18
00004137.png 887.42,253.89;1335.51,243.79;1357.89,813.27;900.59,825.29
00004170.png 886.31,252.85;1334.37,242.81;1357.18,812.56;899.62,825.29
00004204.png 885.78,252.74;1334.2,242.43;1355.27,811.2;898.87,823.43
00004237.png 884.97,251.74;1333.33,241.99;1356,811.1;898.05,824.25
00004270.png 885.36,251.8;1332.88,242.33;1355.15,810.72;898.5,822.44
00004304.png 884.34,252.36;1331.86,242.69;1354.91,811.09;897.93,822.18
00004337.png 883.98,252.45;1331.7,244.41;1353.69,811.66;897.34,823.63
00004371.png 883.9,252.79;1333.2,243.53;1354.09,812.62;896.99,824.6
00004404.png 884.84,254.28;1330.8,245.54;1353.02,813.53;897.84,823.99
00004437.png 884.15,253.8;1332.1,244.31;1354.02,814.44;896.5,826.25
00004471.png 883.79,254.06;1332.65,245.09;1354.44,814.98;896.2,826.93
00004504.png 884.43,254.81;1332.62,246.48;1354.07,814.98;897.6,825.21
00004537.png 884.68,256.71;1331.88,247.77;1353.49,816.89;897.88,826.5
00004571.png 885.37,257.96;1331.95,249.2;1353.37,816.4;897.52,827.61
00004604.png 886.83,258.59;1333.34,251.25;1353.74,818.87;897.41,828.97
00004637.png 885.86,259.45;1333.81,252.5;1353.82,820.46;897.37,830.41
00004671.png 885.89,259.55;1333.71,250.92;1355.28,820.23;897.34,831.67
00004704.png 887.4,260.14;1335.47,252.61;1355.37,822.79;898.4,832.94
00004738.png 888.23,261.14;1334.99,254.81;1356.3,823.57;898.74,833.56
00004771.png 888.42,262;1337.64,254.6;1356.85,825.9;898.38,835.3
00004804.png 889.48,262.85;1338.03,255.51;1357.54,826.34;899.22,835.63
00004838.png 888.71,263.01;1338.95,255.39;1358.02,827.45;897.92,837.01
00004871.png 890.78,264.89;1337.63,259.24;1357.76,827.29;899.46,836.37
00004904.png 890.98,264.66;1339.03,258.26;1357.49,827.1;900.62,837.28
00004938.png 889.77,265.36;1339.49,258.96;1358.12,830.1;898.69,838.47
00004971.png 890.57,266.63;1339.92,259.51;1358.49,830.16;899.18,839.09
00005005.png 890.75,265.18;1340.77,259.49;1357.72,829.36;898.21,838.77
00005038.png 891.59,267.08;1340.56,260.49;1357.65,831.69;898.5,838.79
00005071.png 891.91,266.73;1340.91,261.01;1358.07,831.89;898.87,838.91
00005105.png 890.45,267.38;1340.54,261.74;1358.18,833.53;898.78,840.09
00005138.png 892.35,266.05;1341.62,261.11;1358.12,833.03;899.73,839.27
00005171.png 892.26,266.29;1341.88,261.34;1358.31,832.71;898.87,839.75
00005205.png 891.6,266.13;1340.81,261.73;1356.13,832.52;897.86,839.31
00005238.png 892.5,266.87;1339.79,263.46;1356.08,831.91;899.39,838.85
00005271.png 891.86,266.3;1340.62,262.41;1356.47,834.36;898.23,838.79
00005305.png 892.9,265.31;1343.11,261.21;1358.34,833.61;898.54,839.28
00005338.png 892.55,265.67;1342.57,261.1;1357.93,834.2;897.9,840.18
00005372.png 892.69,266.58;1341.82,262.31;1356.49,834.21;898.29,838.29
00005405.png 893.55,266.16;1343.08,261.45;1357.5,833.61;897.47,840.78
