00000033.png 746.79,216.21;1268.37,207.75;1286.18,867.86;757.11,880.19
00000066.png 750.53,219.7;1270.99,212.13;1288.91,871.03;760.31,882.16
00000100.png 753.39,218.84;1275.86,211.38;1292.69,874.41;762.54,884.02
00000133.png 757.44,221.1;1278.71,214.81;1294.65,874.73;766.14,884.52
00000166.png 761.25,221.16;1281.4,214.17;1296.69,876.31;768.74,883.8
00000200.png 761.49,220.33;1282.82,213.7;1298.42,874.33;770.06,882.92
00000233.png 762.03,218.76;1283.12,212.35;1299.8,871.1;771.62,880.87
00000266.png 762.24,218.22;1283.78,208.36;1301.68,869.75;771.93,880.12
00000300.png 762.45,217.16;1282.48,207.5;1299.92,867.37;773.32,878.18
00000333.png 761.17,215.28;1281.58,204.45;1301.69,864.09;775.5,878.07
00000367.png 761.31,214.84;1281.6,201.04;1304.64,859.3;778.23,875.04
00000400.png 759.97,213.04;1281.04,196.22;1308.93,856.62;781.92,875.17
00000433.png 760.88,212.97;1280.93,189.71;1314.13,850.21;788.04,873.59
00000467.png 761.37,213.37;1281.28,187.4;1320.85,846.26;793.54,873.24
00000500.png 759.92,214.01;1279.53,181.28;1326.18,840.51;800.66,873.2
00000533.png 758.37,215.5;1278.09,176.39;1331.48,837.51;806.76,879.19
00000567.png 758.28,217.28;1278.04,173.23;1336.77,831.36;810.81,874.95
00000600.png 757.54,220.38;1275.16,169.82;1343.7,827.28;818.89,876.43
00000633.png 755.17,222.22;1272.7,165.74;1349.17,820.36;825.9,878.89
00000667.png 753.52,227.11;1269.09,161.73;1355.39,815.17;833.25,880.75
00000700.png 750.61,231.15;1265.67,157.11;1362.37,810.4;841.12,882.81
00000734.png 746.78,235.15;1260.6,152.93;1368.62,803.74;847.72,886.39
00000767.png 744.27,240.19;1255.49,147.85;1375.33,800.24;855.88,888.39
00000800.png 739.85,244.2;1249.43,144.75;1380.88,791.91;863.19,891.98
00000834.png 736.63,246.07;1247.63,142.71;1384.01,789.8;866.9,897.45
00000867.png 734.73,252.32;1240.95,137.99;1388.8,781.18;873.52,893.88
00000900.png 728.73,257.3;1232.79,134.65;1392.69,774.31;880.94,897.04
00000934.png 723.84,259.4;1226.74,127.31;1399.28,765.83;889.07,898.59
00000967.png 718.93,263;1219,121.72;1403.46,755.9;895.71,898.9
00001001.png 713.17,266.8;1211.25,115.44;1407.94,747.37;901.46,900.36
00001034.png 707.59,273.62;1202.33,110.86;1409.91,738.08;908.18,900.21
00001067.png 701.54,277.71;1192.47,107.08;1411.9,729.76;913.29,901.48
00001101.png 697.7,280.64;1186.54,105.34;1412.45,725.84;916.1,902.19
00001134.png 691.26,286.18;1177.35,102.17;1414.28,716.69;921.09,903.12
00001167.png 684.08,291.42;1165.55,99.45;1414.87,709.29;926.66,904.02
00001201.png 677.91,297.94;1156.13,95.64;1417.2,701.14;931.86,905.72
00001234.png 671.08,302.89;1145.29,92.22;1418.73,691.4;937.88,906.2
00001267.png 663.89,309.52;1134.67,87.96;1421.21,682.68;943.89,907.88
00001301.png 658.68,317.1;1123.75,86.17;1421.56,673.07;950.16,909.02
00001334.png 655.23,321.56;1118.71,84.91;1422.87,670.64;954.93,913.43
00001368.png 650.47,330.79;1107.87,85.32;1423.95,662.43;959.94,912.42
00001401.png 645.19,339.48;1095.92,85.83;1425.48,654.39;967.43,915.34
00001434.png 640.71,350.58;1086.12,86.7;1428.64,647.98;976.04,919.31
00001468.png 637.84,361.25;1077.21,88.04;1431.14,640.75;983.57,921.54
00001501.png 633.63,373.14;1067.35,90.99;1432.03,635.88;992.53,926.75
00001534.png 630.64,382.81;1057.98,93.32;1435.95,632.48;1000.04,930.58
00001568.png 627.25,392.62;1048.96,96.68;1433.5,626.21;1005.3,933.35
00001601.png 625.09,398.29;1044.16,98.69;1433.96,623.94;1008.32,935.31
00001634.png 620.97,406.2;1035.72,99.79;1434.13,620.5;1012.56,937.12
00001668.png 616.79,414.68;1025.18,101.53;1431.29,615.24;1015.75,938.86
00001701.png 610.92,419.47;1016.91,102.19;1429.43,610.61;1018.63,939.76
00001735.png 603.31,423.91;1005.75,101.87;1422.45,605.19;1017.37,937.35
00001768.png 594.72,425.83;995.42,100.41;1415.98,597.64;1015.29,936.69
