00000033.png 860.28,220.7;1331,210.38;1341.1,806.58;872.03,813.9
00000066.png 859.85,221.69;1331.76,211.86;1340.21,804.67;872.57,811.55
00000100.png 861.79,223.22;1332.06,212.17;1340.53,804.67;873.72,811.09
00000133.png 861.96,222.2;1333.61,211.72;1342.2,804.57;874.45,812.34
00000166.png 863.1,222.05;1334.58,212.7;1343.05,804.71;875.59,811.59
00000200.png 865.52,224.88;1335.37,214.94;1343.57,804.61;878.09,812.27
00000233.png 866.17,226.59;1337.87,216.98;1345.54,808.72;878.68,815
00000266.png 868.83,232.83;1339.01,222.4;1345.75,812.07;882.21,818.67
00000300.png 870.54,235.86;1341.75,225.15;1348.54,815.48;883.87,823.22
00000333.png 873.3,240.9;1342.89,229.1;1349.18,817.19;886.45,824.1
00000367.png 875.12,245.87;1344.15,233.82;1349.91,820.94;888.95,827.68
00000400.png 876.61,250.95;1346.23,240.03;1350.86,824.87;890.61,831.12
00000433.png 879.57,257.78;1347.79,245.87;1352.75,828.92;893.35,835.6
00000467.png 882.04,261.73;1351.03,250.64;1355.44,835.13;895.41,840.51
00000500.png 886.75,266.78;1354.52,256.19;1358.34,840.05;900.03,844.98
00000533.png 886.37,267.24;1358.28,256.3;1360.46,841.74;901.37,849.05
00000567.png 889.69,269.57;1360.35,258.74;1361.56,843.04;902.09,847.82
00000600.png 889.87,270.9;1361.91,260.36;1361.86,845.16;902.42,849.44
00000633.png 891.08,273.41;1363.08,263.01;1362.9,847.47;903.62,850.65
00000667.png 891.39,273.66;1364.02,264.18;1362.65,847.42;903.58,851.32
00000700.png 891.49,278.56;1367.54,267.71;1366.65,854.95;904.75,859.8
00000734.png 892.15,283.91;1367.48,274.54;1365.77,859.5;904.72,863.35
00000767.png 890.94,292.31;1368.66,282.02;1366.81,869.71;903.81,873.9
00000800.png 889.16,303.11;1367.95,291.16;1366.13,877.56;904.31,882.44
00000834.png 886.78,310.06;1367.7,298.93;1366.52,886.71;903.84,892.06
00000867.png 883.73,319.4;1366.23,306.54;1366.29,895.07;902,901.56
00000900.png 882.54,330.16;1365.83,315.54;1366.12,903.51;902.37,912.1
00000934.png 879.87,344.32;1367.87,328.49;1368.8,920;903.33,929.56
00000967.png 879,352.44;1369.11,335.02;1371.6,928.58;902.35,939.46
00001001.png 877.06,359.24;1366.95,340.88;1372.67,932.81;902.79,946.94
00001034.png 872.6,362.83;1368.52,343.1;1372.43,942.07;900.46,955.52
00001067.png 871.64,366.32;1366.06,346.59;1370.11,941.11;898.88,954.64
00001101.png 869.17,366.06;1365.57,345.48;1368.9,940.92;897.54,954.22
00001134.png 866.3,362.33;1365.36,341.43;1367.42,938.03;894.91,951.78
00001167.png 864.72,355.37;1365.69,334.82;1367.33,932.51;895.23,946.05
00001201.png 865.57,348.64;1367.82,329.58;1366.31,924.74;893.8,937.29
00001234.png 867.81,341.61;1369.82,323.74;1365.08,917.9;894.54,928.25
00001267.png 868.05,334.84;1373.14,316.46;1366.24,912.14;895.24,921.81
00001301.png 869.06,327.68;1377.67,310.14;1367.87,906.01;896.72,914.87
00001334.png 870.59,320.69;1380.52,304.18;1368.32,899.06;897.15,906.03
00001368.png 873.37,310.47;1383.98,294.67;1369.39,886.2;898.59,893.09
00001401.png 874.44,302.62;1387.5,286.66;1371.96,880.25;900.92,886.83
00001434.png 876.17,300.53;1390.69,285;1373.13,873.91;903.59,881.85
00001468.png 876.79,300.01;1393.37,281.64;1373.25,870.67;905.7,880.04
00001501.png 876.18,305.4;1391.46,288.37;1372.79,870.5;906.45,879.75
00001534.png 876.78,311.62;1392.49,292.92;1373.13,873.04;907.83,882.34
00001568.png 878.36,316.9;1393.78,298.82;1374.83,877.21;910.42,885.19
00001601.png 882.98,328.73;1397.61,310.04;1379.54,881.64;916.68,891.6
00001634.png 885.05,337.4;1400.87,316.92;1381.96,886.52;919.14,897.22
00001668.png 888.83,344.07;1405.5,322.76;1384.7,889.63;924.26,901.82
00001701.png 893.47,350.85;1409.46,329.16;1388.86,893.18;928.54,903.64
00001735.png 898.1,355.94;1416.1,334.79;1394.03,896.35;934.62,907.25
00001768.png 900.74,361.93;1419.86,338.73;1397.95,899.48;938.46,910.56
00001801.png 905.13,367.53;1426.7,344.76;1403.2,904.78;941.68,916.13
00001835.png 906.96,369.8;1429.67,346.36;1406.78,906.3;943.48,917.65
00001868.png 907.4,373.22;1431.61,349.99;1406.44,905.85;945.44,918.92
00001901.png 905.26,374.66;1430.7,350.41;1404.83,907.71;944.31,919.55
00001935.png 903.34,375.76;1429.62,351.63;1404.24,908.06;942.73,919.57
00001968.png 899.99,376.95;1428.64,352.86;1402.06,908.91;939.44,920.7
00002002.png 897.25,378.3;1427.81,353.63;1401.41,909.59;937.48,922.15
00002035.png 892.33,385.59;1426.07,362.02;1398.24,914.96;933.95,927.36
00002068.png 888.55,392.1;1428.26,367.74;1399.04,922.85;930.72,935.97
00002102.png 882.88,400.66;1428.23,375;1398.78,932.83;926.57,946.28
00002135.png 878.3,409.31;1424.17,385.29;1394.82,940.57;922.81,953.63
00002168.png 873.91,417.48;1425.36,392.17;1393.01,949.15;918.21,963.43
00002202.png 868.82,424.17;1422.5,400.41;1390.5,958.98;913.51,971.5
00002235.png 864.28,436.79;1421.97,413.45;1387.29,969.21;908.57,983.76
00002268.png 861.12,443.47;1420.29,421;1385,977.37;906.49,988.62
00002302.png 858.34,448.61;1420.32,426.03;1384.49,981.13;903.71,994.05
00002335.png 854.39,454.22;1416.2,431.47;1379.82,983.34;900.54,997
00002369.png 851.95,456.86;1413.82,432.93;1379.12,983.36;897.48,997.84
00002402.png 849.53,460.51;1412.9,436.96;1376.44,984.88;896.25,1000.09
00002435.png 847.66,460.46;1413.11,436.5;1376.02,984.45;895.04,1000.61
00002469.png 845.57,464.28;1412.49,439.86;1372.4,981.49;893.28,997.1
00002502.png 843.33,463.15;1411.83,437.98;1372.14,976.91;892.31,993.99
00002535.png 841.77,463.61;1413.8,437.47;1373.12,976.66;892.58,993.69
00002569.png 841.68,467.11;1416.1,438.88;1372.93,975.49;892.98,993.62
00002602.png 839.01,467.63;1417.29,440.05;1374.55,975.33;893.67,993.6
00002635.png 837.64,468.44;1418.81,440.14;1375.03,974.79;892.23,994.14
00002669.png 834.36,470.68;1418.29,441.27;1375.46,974.8;890.12,994.53
00002702.png 829.67,472.37;1416.4,442.13;1371.72,973.14;887.07,993.72
00002736.png 826.12,473.82;1412.53,442.14;1367.59,971.64;885.24,991.58
00002769.png 821.97,475.52;1411.25,444.94;1367.38,969.77;881.8,991.67
00002802.png 819.35,477.21;1408.52,445.79;1364.12,969.48;878.86,989.87
00002836.png 815.16,478.05;1407.29,446.73;1361.65,967.43;875.6,988.85
00002869.png 813.65,478.87;1404.66,447.66;1357.16,964.92;874.09,985.35
00002902.png 812.31,479.24;1403.92,447.91;1356.92,961.69;872.81,982.62
00002936.png 811.56,478.36;1406.85,447.52;1356.12,959.39;872.15,980.33
00002969.png 810.89,477.05;1406.91,446.72;1354.79,956.11;871.93,975.03
00003003.png 810.51,474.95;1407.39,444.23;1353.82,950.64;872.09,969.72
00003036.png 808.94,472.38;1406.37,442.34;1352.21,944.67;870.75,964.13
00003069.png 810.79,470;1409.1,441.44;1353.45,942.69;871.82,959.68
00003103.png 812.57,466.15;1411.34,439.04;1355.91,937.19;873.41,955.15
00003136.png 816.73,462.23;1418.03,434.98;1359.68,929.26;877.95,946.59
00003169.png 820.39,460.71;1424.23,433.69;1364.52,926.84;881.61,943.57
00003203.png 824.4,460.6;1430.26,433.92;1368.22,920.01;885.84,940.05
00003236.png 829.42,459.85;1438.29,434.09;1373.68,923.62;890.85,937.32
00003269.png 834.91,461.37;1445.21,436.52;1379.58,924.28;895.24,937.66
00003303.png 841.18,462.45;1452.39,439.48;1383.05,925.74;901.33,935.44
00003336.png 850.29,465.29;1464.3,443.72;1393,926.04;908.72,934.96
00003370.png 856.95,467.59;1473.44,447.26;1400.4,929.06;913.83,935.86
00003403.png 860.92,466.5;1483.13,446.99;1405.83,929.52;918.58,934.96
00003436.png 865.55,465.27;1486.23,447.5;1408.61,922;922.04,930.69
00003470.png 867,462.85;1489.24,446.13;1412.58,925.01;924.28,927.29
00003503.png 869.11,460.56;1494.4,444.39;1412.15,919.65;925.39,922.86
00003536.png 869.23,455.32;1493.85,440.53;1411.88,913.98;924.21,916.37
00003570.png 870.06,448.57;1493.92,436.51;1409.84,900.44;923.88,903.78
