00000033.png 677.41,306.44;972.42,299.44;982.04,802.27;676.91,813.14
00000066.png 679.62,307.07;973.28,300.29;983.79,800.89;680.26,811.09
00000100.png 679.57,306.84;973.09,300.96;984.13,801.29;680.48,809.42
00000133.png 679.6,307.38;972.69,300.4;982.44,799.42;681.41,809.46
00000166.png 682.09,306.56;971.75,299.68;982.75,796.61;682.55,804.07
00000200.png 683.5,303.77;975.89,296.77;984.07,793.97;683.33,805.69
00000233.png 684.44,301.44;976.22,295.76;985.2,796.08;683.62,805.19
00000266.png 689.39,298.61;979.29,293.25;990.06,788.9;688.73,796.75
00000300.png 689.55,296.66;980.61,291.12;990.53,789.43;688.95,795.8
00000333.png 691.58,294.28;982.63,288.08;992.55,787.84;690.11,793.33
00000367.png 693.5,290.16;985.34,283.86;996.01,783.03;692.86,788.97
00000400.png 691.39,288.17;984.74,282.85;993.26,782.46;691.1,790.85
00000433.png 691.8,289.82;981.06,285.32;991.61,782.14;690.1,789.59
00000467.png 690.64,289.27;981.44,282.73;990,782;689.57,788.07
00000500.png 688.48,288.02;980.87,282.17;989.04,781.13;688.32,787.42
00000533.png 687.1,286.58;982.23,280.36;986.5,779.29;686.25,788.34
00000567.png 689.24,288.67;978.24,283.48;987.91,777.29;688.27,783.07
00000600.png 690.46,289.16;977.56,284.78;987.91,775.47;691.35,784.13
00000633.png 691.1,289.78;979.77,284.53;986.17,774.13;691.81,781.98
00000667.png 694.11,291.79;981.48,285.34;989.16,776.54;690.91,784.27
00000700.png 697.91,294.66;979.74,289.87;987.18,773.65;695.19,778.24
00000734.png 699.76,300.18;979.7,294.57;990.19,772.73;699.26,779.96
00000767.png 704.27,304.62;981.9,300.28;988.48,774.91;701.44,783.94
00000800.png 707.21,311.67;982.31,306.12;991.61,774.28;705.28,782.09
00000834.png 714.72,322.26;981.88,317.01;988.92,775.33;712.09,780.2
00000867.png 719.33,327.27;984.51,322.96;992.13,775.49;716.92,779.68
00000900.png 724.56,335.27;982.86,331.67;990.84,776.15;723.16,779.44
00000934.png 727.63,343.13;986.45,337.33;991.79,782.17;723.49,788.16
00000967.png 734.29,351.51;986.68,347.29;993.78,780.43;730.7,784.67
00001001.png 735.85,356;989.51,350.78;995.11,785.07;733.07,789.81
00001034.png 740.83,362.72;991.18,357.79;995.76,785.11;736.84,789.41
00001067.png 747.67,367.85;992.3,364.4;995.12,781.37;744.47,786.18
00001101.png 753,373.62;990.87,370.68;997.86,780.85;749.51,785.19
00001134.png 753.79,377.65;991.09,373.69;997.8,781.9;750.28,784.25
00001167.png 753.19,380.43;990.64,376.56;993.84,780.73;749.99,786.54
00001201.png 756.42,387.06;988.13,384.48;993.89,784.28;751.01,788.9
00001234.png 756.82,389.88;986.74,386.9;991.08,782.67;750.15,790.73
00001267.png 757.27,394.75;987.2,391.76;991.79,785.67;752.94,790.01
00001301.png 762.38,401.44;986.48,397.65;990.67,786.65;757.58,791.86
00001334.png 763.56,410.27;985.77,407.81;990.02,791.22;757.5,794.11
00001368.png 764.61,414.18;985.48,412.2;989.86,790.83;759.68,794.08
00001401.png 766.13,421.42;984.38,418.44;986.91,794.71;759,796.8
00001434.png 768.76,426.96;982.94,424.17;985.36,794.59;762.11,797.59
00001468.png 772.7,433.23;982.38,432.12;985.32,795.99;766.89,796.69
00001501.png 773.11,439.7;982.16,437.89;984.73,797.5;766.89,799.82
00001534.png 774.49,444.49;982,442.34;985.45,800.44;767.2,805.02
00001568.png 775.83,449.23;981.91,447.24;985.28,802.77;770.89,805.95
00001601.png 777.28,453.3;980.48,451.1;985.54,803.53;769.58,807.85
00001634.png 778.21,458.09;980.27,455.07;984.39,802.24;772.88,805.42
00001668.png 778.14,463.19;978.72,460.38;982.63,805.34;772.72,810.46
00001701.png 783.01,467.08;979.31,464.46;983.52,805.76;777.37,809.83
00001735.png 784.17,472.34;978.79,469.65;983.64,804;782.2,810.36
00001768.png 787.25,476.47;979.11,473.01;984.53,804.25;784.32,807.67
00001801.png 788.1,477.99;980.08,474.32;983.94,805.53;785.44,810.23
00001835.png 790.56,482.03;977.96,478.3;984.84,802.82;788.58,806
00001868.png 790.65,484.12;975.53,480.54;981.16,801.21;785.73,807.53
00001901.png 789.75,486.51;974.45,481.39;982.31,800.56;788.36,804.32
00001935.png 787.36,486.4;971.6,481.98;975.96,799.13;786.04,803.46
00001968.png 787.94,486.24;970.55,481.99;977.71,795.59;787.2,800.51
00002002.png 787.41,485.93;968.52,480.98;975.03,793.13;786.82,798.34
00002035.png 786.75,487.8;967.45,483.19;973.77,793.02;785.48,799.21
00002068.png 786.95,487.67;963.77,482.31;972.2,788.47;787.55,793.15
00002102.png 788.61,486.14;963.57,480.55;971.82,782.49;791.39,788.27
00002135.png 789.65,485.15;963.48,479.45;971.17,777.56;791.5,785.54
00002168.png 791.47,484.22;964.35,477.7;972.84,773.64;794.13,780.3
00002202.png 792.35,483.45;962.1,477.74;972.04,771.04;794.48,778.27
00002235.png 791.5,484.79;960.11,479.38;970.52,769.77;795.56,776.71
00002268.png 788.21,485.77;958.69,479.11;967.51,770.12;792.97,779.01
00002302.png 787.08,486.49;957.15,479.02;967.75,771.77;790.99,778.15
00002335.png 786.13,490.13;951.59,483.37;962.89,768.43;790.8,775.95
00002369.png 784.2,493.08;949.9,485.63;961.67,769.61;790.15,776.84
00002402.png 784.9,494.46;949.85,486.69;961.44,771.29;791.83,779.06
00002435.png 786.84,499.82;949.76,491.2;962.89,771.74;793.97,779.26
00002469.png 786.72,501.98;949.86,493.57;962.74,774.22;794.02,785.24
00002502.png 786.93,504.7;949.2,497.05;961.92,776.06;793.65,785.5
00002535.png 787.04,508.16;948.88,498.88;962.91,779.33;793.2,787.62
00002569.png 788.23,510.66;949.3,501.34;962.03,777.01;795.7,786.56
00002602.png 789.71,511.82;949.38,502.51;963.71,777.76;797.95,785.28
00002635.png 791.72,515.97;951.39,506.24;964.21,779.1;800.75,789.8
00002669.png 793.77,516.72;950.48,508.64;965.67,779.63;802.08,790.37
00002702.png 793.41,518.81;951.46,508.54;966.94,780.66;802.24,793.42
00002736.png 796.56,520.3;952.55,510.81;967.65,781.07;805.07,791.59
00002769.png 797.43,520.29;954.01,511.32;968.74,780.46;806.99,791.68
00002802.png 798.41,522.66;954.16,512.85;970.46,780.21;808.79,791.4
00002836.png 799.98,523.23;954.78,512.75;971.11,778.18;811.97,788.3
00002869.png 800.31,523.33;957.44,512.13;972.24,778.77;811.55,791.53
00002902.png 803.93,520.8;959.42,509.81;974.56,776.67;816.57,786.85
00002936.png 805.28,519.86;960.31,508.91;976.85,775.75;816.27,786.74
00002969.png 805.07,517.93;961.09,507.21;978.19,775.72;816.75,787
00003003.png 803.42,513.25;962.6,502.41;980.26,776.55;813.75,788.44
00003036.png 802.71,510.87;962.79,499.76;979.01,774.56;814.81,786.95
00003069.png 802.44,509.53;963.01,498.44;979.99,772.84;814.24,782.68
00003103.png 800.32,505.35;961.16,493.52;978.74,770.25;812.54,782.44
00003136.png 799.52,497.18;962.03,487;979.32,767.72;811.25,779.46
00003169.png 795.57,491.77;962.14,480.04;978.88,764.2;808.07,776.82
00003203.png 794.24,486.51;959.71,475.33;977.82,759.58;806.31,770.28
00003236.png 791.63,481.13;958.64,469.89;976.02,755.76;803.65,766.75
00003269.png 790.39,475.32;958.4,463.68;976.07,751.89;802.54,763.46
00003303.png 788.53,468.9;959.53,457.23;976.42,749.36;800.35,762.15
00003336.png 789.97,464.52;960.07,453.34;976.33,743.34;801.94,754.04
00003370.png 788.51,458.96;960.23,447.42;976.84,740.97;801.01,752.82
00003403.png 787.88,452.65;962.34,440.48;980.74,737.83;800.68,749.97
00003436.png 787.93,446.89;960.35,435.01;978.57,732.61;799.86,745.33
00003470.png 785.86,441.7;959.14,430;978.37,728.61;796.79,740.18
00003503.png 782.04,435.55;957.24,425.31;976.54,725.67;794.95,737.53
00003536.png 778.04,431.7;955.33,419.59;974.31,723.9;790.43,734.89
00003570.png 772.43,427.43;953.17,415.81;970.44,725.48;783.66,737.61
00003603.png 768.07,425.21;951.37,413.77;968.63,726.46;779.3,739.28
00003636.png 764.82,423.98;946.51,412.33;966.79,724.14;778.02,738.89
00003670.png 759.24,420.98;944.87,409.1;964.98,725.71;773.04,738.73
00003703.png 756.38,418.76;944.09,406.65;965.31,725.01;770.49,741.2
00003737.png 754.3,416.64;942.7,404.53;962.88,725.71;767.76,739.74
00003770.png 751.33,415.92;940.44,404.51;960.64,727.17;765.24,740.02
00003803.png 748.51,413.16;942.48,400.4;962.31,731.06;761.75,742.98
00003837.png 746.79,408.39;939.68,397.67;958.85,728.39;758.3,743.18
00003870.png 745.95,405.79;942.01,394.84;960.43,727.93;759.28,739.5
00003903.png 744.17,402.24;942.05,390.78;960.85,729.98;756.25,740.97
00003937.png 742.13,400.08;945.01,388.03;963.5,730.19;754.87,744.36
00003970.png 739.37,398.08;945.12,386.32;963.31,736.19;750.25,748.33
00004004.png 739.76,396.6;943.23,386.35;962.5,735.35;750.42,746.92
00004037.png 739.97,395.86;946.66,385.33;964.96,738.54;750.57,753
00004070.png 741.09,393.44;951.11,383.02;970.22,741.14;751.54,751.43
00004104.png 742.79,389.88;954.99,380.16;970.57,743.5;751.92,758.57
00004137.png 744.08,391;956.94,380.52;975.69,745.89;751.52,756.88
00004170.png 746.84,387.06;963.91,377.8;980.94,749.73;755.33,760.71
00004204.png 748.7,383.41;969.17,374.03;986.16,751.47;756.52,763.33
00004237.png 750.66,380.6;973.28,371.23;990.97,753.67;759.6,766.69
00004270.png 754.02,377.28;979.56,368.93;996.63,754.6;761.45,764
00004304.png 756.22,374.7;986.09,365.18;1002.82,757.58;763.97,767.7
00004337.png 761.19,371.38;992.45,363.12;1008.12,758.78;769.28,767.46
00004371.png 766.23,367.07;999.45,358.7;1015.63,760.49;772.46,770.04
00004404.png 770.92,361.48;1009.55,353.3;1024.08,763.54;777.52,773.7
00004437.png 778.21,356.39;1021.63,348.46;1037.27,765.95;783.17,773.18
00004471.png 781.73,353.83;1028.87,347.06;1041.52,771.15;786.56,776.94
00004504.png 781.05,349.21;1034.84,342.39;1045.81,776.88;783.78,786.23
00004537.png 782.41,347.95;1035.37,341.32;1048.88,778.99;785.42,788.25
00004571.png 777.48,341.71;1040.03,335.7;1049.96,784.99;779.55,794.05
00004604.png 773.78,339.7;1037.28,333.73;1047.66,786.88;775.99,793.51
00004637.png 768.06,336.77;1036.04,331.36;1045.28,790.62;768.89,800.47
00004671.png 760.25,335.52;1031.78,330.66;1041.68,796.25;759.35,803.73
00004704.png 751.16,330.15;1028.9,325.86;1039.4,801.46;750.48,807.82
00004738.png 747.87,323.52;1027.81,320.69;1036.99,803.2;747.21,804.65
00004771.png 743.05,315.04;1030.95,312.27;1037.02,804.27;740.64,811.62
00004804.png 743.01,307.02;1036.38,304.9;1042.78,805.28;739.57,811.73
00004838.png 743.12,299.68;1040.72,297.4;1045.85,807.11;738.57,813.49
00004871.png 744.07,292.86;1046.22,290.96;1052.92,807.51;740.66,808.76
00004904.png 745.8,282.19;1053.44,282.02;1059.19,808.25;741.2,812.78
00004938.png 751.02,268.78;1065.42,268.98;1070.48,805.77;744.8,811.06
00004971.png 756.58,263.72;1073.74,262.96;1077.17,805.63;749.13,811.82
00005005.png 763.14,257.64;1082.36,257.09;1088.04,803.1;757.58,804.77
