00000033.png 756.34,290.26;1003.99,282.4;1016.71,702.18;758.5,709.68
00000066.png 760.11,290.94;1008,284.22;1019.93,703.7;764.11,710.26
00000100.png 766.18,290.85;1012.47,282.39;1023.99,706.37;767.23,714.82
00000133.png 771.89,290.96;1019.62,283.94;1032.06,705.59;776.33,709.74
00000166.png 779.81,291.69;1026.63,285.3;1037.8,705.23;782.92,708.48
00000200.png 788.32,292.48;1035.14,286.59;1046.55,705.48;791.29,709.47
00000233.png 798.68,292.73;1044.9,287.17;1055.8,707.72;802.13,710.21
00000266.png 809.76,293.65;1054.88,288.41;1064.88,707.16;808.85,709.29
00000300.png 822.76,293.92;1067.52,289.5;1077.85,706.22;822.54,707.91
00000333.png 833.99,294.97;1080.28,291;1088.14,711.27;832.68,712.59
00000367.png 851.14,294.39;1095.45,290.71;1103.84,708.99;850.14,708.29
00000400.png 866.58,294.49;1110.46,292;1119.64,708.04;865.13,707.15
00000433.png 883.2,294.67;1127.61,292.77;1135.85,710.97;881.91,707.82
00000467.png 901.99,294.28;1146.13,292.98;1153.8,710.13;899.49,707.46
00000500.png 923.2,295.68;1165.47,295.05;1172.06,708.93;917.87,707.7
00000533.png 967.89,294.83;1211.82,294.97;1216.6,711.3;962.06,704.54
00000567.png 991.75,294.92;1235.29,295.92;1239.58,710.65;983.82,704.87
00000600.png 1016.93,295.85;1259.1,298.11;1261.81,712.01;1007.38,706.95
00000633.png 1041.13,295.56;1285.97,297.86;1289.05,715.02;1032.96,705.48
00000667.png 1067.26,295.35;1312.49,299.58;1315.64,714.03;1054.68,708.74
00000700.png 1094.53,295.56;1340.28,299.67;1342.32,719.26;1078.58,710.69
00000734.png 1120.6,297.8;1366.58,303;1369.74,719.73;1112.01,708.3
00000767.png 1147.61,300.45;1393.73,306.13;1395.6,722.62;1138.94,709.3
00000800.png 1175.41,302.04;1421.27,308.14;1422.15,726.67;1166.05,710.87
00000834.png 1204.8,304.28;1446.75,311.34;1447.89,728;1191.59,717.29
00000867.png 1231.49,306.14;1473.6,314.07;1474.24,731.26;1216.51,718.81
00000900.png 1255.59,305.34;1501.45,313.6;1502.08,730.44;1244.74,715
