00000033.png 794.98,272.5;1070.16,272.33;1064.11,743.71;786.53,743.57
00000066.png 794.67,272.89;1067.86,273.5;1064.8,742.51;788.91,739.61
00000100.png 792.91,272.34;1069.47,271.14;1064.4,744.68;783.97,744.84
00000133.png 791.03,271.21;1070.27,271.77;1068.18,745.16;784.29,744.66
00000166.png 792.71,272.1;1069.4,272.46;1064.64,743.3;787.91,744.06
00000200.png 794.45,272.28;1069.69,271.83;1066.37,743.11;789.32,743.31
00000233.png 797.69,271.4;1073.57,270.15;1069.88,741.73;791.16,743.61
00000266.png 799.78,270.86;1075.44,270.19;1073.45,741.94;793.9,742.1
00000300.png 800.71,270.67;1076.94,270.07;1074.35,743.04;794.55,742.74
00000333.png 801.47,271.69;1078.56,270.46;1077.14,742.11;797.48,743
00000367.png 804.64,272.6;1080.1,271.53;1078.27,742.62;801.1,743.93
00000400.png 805.5,272.68;1081.43,271.18;1081.68,740.48;801.14,741.33
00000433.png 807.63,272.95;1083.77,271.35;1083.4,743.26;802.78,743.54
00000467.png 806.88,272.33;1085.75,270.9;1086.28,744.53;802.23,744.86
00000500.png 809.74,275.41;1080.24,273.67;1081.89,741.4;806.43,741.37
00000533.png 807.12,273.06;1084.47,271.98;1085.21,743.23;803.68,744.89
00000567.png 809.65,274.33;1084.78,272.36;1084.36,742.46;805.64,744.2
00000600.png 812.82,275.3;1086.9,272.82;1086.94,742.83;809.18,744.89
00000633.png 813.76,275.34;1088.9,273.13;1089.83,743.39;810.85,744.95
00000667.png 814.51,275.57;1088.4,273.29;1088.89,742.19;810.83,745.35
00000700.png 815.13,276.26;1089.86,273.87;1087.67,743.06;811.47,744.15
00000734.png 815.87,277.79;1086.65,275.74;1089.25,742.1;813.94,742.68
00000767.png 815.3,277.19;1090.29,274.83;1088.73,743.7;811.34,747.46
00000800.png 815.35,277.05;1089.87,275.06;1091.36,745.37;811.11,747.33
00000834.png 814.04,279.72;1087.84,277;1087.08,743.76;811.84,746.94
00000867.png 813.3,280.14;1084.86,278.74;1087.15,745.1;810.4,745.68
00000900.png 811.76,280.04;1086.64,277.49;1087.54,746.29;808.18,750.01
00000934.png 807.95,281.4;1083.2,278.78;1083.75,749.45;804.77,751.23
00000967.png 804.71,280.19;1081.45,278.24;1084.82,749.13;802.29,751.8
00001001.png 804.78,280.69;1080.08,278.35;1078.87,749.37;800.27,752.13
00001034.png 804.76,281.86;1079.45,279.92;1078.25,750.31;800.87,753.7
00001067.png 804.14,282.56;1080.14,280.52;1081.07,750.86;801.06,753.35
00001101.png 805.51,283.72;1080.54,281.4;1082.4,751.79;802.81,754.61
00001134.png 805.68,283.4;1080.79,281.64;1080.01,753.37;803.21,755.08
00001167.png 808.68,287.24;1078.39,284.9;1081.87,753.15;805.99,752.57
00001201.png 806.07,287.61;1079.84,283.97;1080.85,751.95;803.21,756.9
00001234.png 804.34,286.6;1079.64,284.28;1079.37,754.48;802.74,757.27
00001267.png 801.75,284.44;1080.14,282.87;1083.26,756.1;799.36,758.36
00001301.png 800.17,286;1076.34,283.09;1077.4,754.05;798.46,757.53
00001334.png 796.15,285.35;1073.17,283.43;1076.7,755.36;792.62,759.14
00001368.png 795.73,286.43;1071.26,283.95;1070.39,754.9;792.85,759.27
00001401.png 793.22,287.83;1068.71,285.1;1069.79,754.86;789.93,758.96
00001434.png 789.5,288.9;1064.41,285;1064.83,754.54;787.71,757.46
00001468.png 787.81,286.93;1061.45,284.4;1061.6,753.32;784.3,756.49
00001501.png 785.28,287.32;1060.21,284.56;1061.34,751.07;783.31,756.2
00001534.png 784.05,286.66;1058.39,284.15;1059.31,748.81;782.66,754.17
00001568.png 783.5,285.06;1055.79,281.86;1057.88,750.51;780.93,753.42
00001601.png 780.05,283.31;1055.1,281.61;1058.98,746.81;777.87,751.49
00001634.png 781.37,284.49;1051.42,282.15;1054.79,745.29;780.92,747.6
00001668.png 780.62,282.54;1051.87,279.86;1051.7,745.65;777.31,749.25
00001701.png 781.07,282.58;1049.31,280.43;1051.95,741.14;779.53,744.04
00001735.png 779.36,283.03;1050.95,278.81;1053.67,740.86;778.28,745.07
00001768.png 780.07,279.41;1052.63,276.7;1053.2,741.93;778.98,745.09
00001801.png 781.62,279;1053.91,275.76;1055.85,740.46;779.6,744.72
00001835.png 782.32,277.07;1056.54,274.4;1061.2,741.72;781.03,744.31
00001868.png 784.01,278.23;1056.41,274.72;1058.79,738.68;783.22,742.81
00001901.png 785.39,276.97;1057.9,273.72;1060.32,738.4;782.81,742.37
00001935.png 783.21,275.87;1056.82,273;1061.6,736.71;781.74,741.72
00001968.png 783.89,275.77;1055.95,272.99;1058.71,736.87;782.61,741.72
00002002.png 783.68,277.07;1054.27,273.81;1055.86,735.67;782.81,740.05
00002035.png 783.57,276.68;1055.88,273.71;1059.74,737.26;781.07,741.15
00002068.png 785.91,278.43;1054.91,275.28;1058.33,737.25;784.88,740.57
00002102.png 784.52,279.77;1054.69,275.89;1058.55,737.48;783.55,741.19
00002135.png 786.06,279.9;1056.84,276.25;1059.45,736.99;784.94,741.91
00002168.png 785.53,280.46;1056.72,276.73;1058.83,739.05;784.87,744.08
00002202.png 787.94,281.48;1058.4,278.36;1062.01,740.7;786.13,745.17
00002235.png 786.55,281.29;1060.18,279.2;1064.73,743.15;785.93,747.25
00002268.png 790.68,286.75;1060.14,283.91;1062.3,744.37;789.8,746.11
00002302.png 792.07,288.63;1062.03,285.31;1066.2,746.89;789.27,751.86
00002335.png 790.45,288.92;1063.05,286.09;1066.7,750.11;788.77,752.96
00002369.png 793.17,293.8;1062.13,290.39;1064.64,752.91;791.6,755.88
00002402.png 794.83,296.53;1061.99,293.73;1063.76,753.32;791.62,754.48
00002435.png 794.52,298.35;1062.16,295.39;1063.92,754.49;793.17,755.88
