00000033.png 753.89,176.28;1087.69,177.32;1073.61,734.06;750.11,735.45
00000066.png 758.39,178.8;1093.08,179.83;1081.53,740.4;754.52,738.7
00000100.png 768.19,180.54;1099.5,182.6;1087.05,737.89;763.21,733.35
00000133.png 775.11,178.12;1105.78,180.15;1091.69,732.98;769.74,730.95
00000166.png 778.84,179.36;1109.56,181.94;1095.02,737.73;772.35,733.95
00000200.png 782.53,181.59;1109.12,184.71;1094.69,734.18;774.63,734.87
00000233.png 782.95,182.44;1114.44,185.59;1100.69,737.9;775.47,737.9
00000266.png 783.89,187.6;1114.51,190.34;1099.9,743.88;778.8,738.73
00000300.png 788.64,185.77;1116.46,190;1099.69,740.63;780.26,736.4
00000333.png 783.42,186.49;1115.43,188.01;1102.74,745.16;777.34,742.48
00000367.png 784.95,187.88;1113.18,189.11;1099.22,739.54;781.31,739.54
00000400.png 784.41,189.18;1115.71,189.18;1105.52,746.14;781.69,743.4
00000433.png 783.92,196.83;1109.09,196.83;1101.57,745.74;782.31,748.44
00000467.png 781.64,202.26;1109.95,198.8;1102.05,749.65;781.98,754.85
00000500.png 778.64,209.43;1104.84,206.69;1102.8,757.82;782.04,758.85
00000533.png 772.87,213.01;1098.08,208.85;1098.42,758.33;778.36,766.29
00000567.png 765.78,216.98;1093.74,211.43;1096.14,761.25;775.05,769.57
00000600.png 761.82,221.71;1089.04,213.82;1094.82,764.95;774.4,774.9
00000633.png 760.11,226.78;1088.35,216.14;1097.87,770.71;773.37,779.63
00000667.png 759.28,231.26;1085.77,218.94;1098.71,767.61;777.48,778.98
00000700.png 755.01,234.85;1080.91,220.65;1099.8,771.85;778.02,789.18
00000734.png 750.13,242.3;1076.03,224.98;1099.04,776.87;776.92,797.31
00000767.png 745.65,251.52;1072.81,231.26;1097.77,785.26;774.92,809.01
00000800.png 738.93,259.43;1069.21,236.78;1100.47,792.03;774.27,815.71
00000834.png 734.48,266.31;1063.06,240.23;1102.13,793.42;776.95,819.84
00000867.png 730.91,268.53;1060.78,238.88;1105.9,795.44;778.16,825.95
00000900.png 730.67,274.58;1054.51,242.7;1101.9,790.44;782.18,829.25
00000934.png 726.1,276.96;1050.62,242.66;1104.2,791.44;782.76,830.59
00000967.png 720.22,282.82;1048.59,241.69;1110.19,796.09;782.98,837.06
00001001.png 717.99,285.55;1041.83,242.59;1107.76,790.68;788.73,836.75
00001034.png 716.16,285.26;1041.03,238.83;1110.74,787.26;791.02,836.46
00001067.png 715.38,284.3;1041.48,235.37;1118.44,785.45;796.93,835.81
00001101.png 715.74,283.49;1039.24,229.79;1122.34,778.22;802.97,836.08
00001134.png 714.11,286.19;1037.78,230.32;1126.64,776.85;807.26,837.91
00001167.png 708.1,294.05;1031.51,233.89;1126.95,779.61;807.84,839.01
00001201.png 700.11,297.43;1026.31,232.58;1126.21,781.99;802.73,840.33
00001234.png 689.87,298.36;1013.69,231.78;1118.01,776.4;800.98,847.43
00001267.png 684.69,298.1;1009.39,226.58;1122,773.71;802.63,846.69
00001301.png 686.19,295;1010.36,220.19;1126.22,766.52;810.22,842.7
00001334.png 688.76,292.18;1012.94,215.96;1133.14,761.62;816.51,839.57
00001368.png 682.89,292.92;1010.1,209.65;1140.4,758.39;819.45,840.64
00001401.png 683.95,291.3;1006.74,208.4;1138.04,749.82;822.79,836.43
00001434.png 678.89,294.27;1002.18,206.3;1138.67,746.62;826.11,836.61
00001468.png 676.3,293.53;995.33,203.11;1138.53,744.26;827.4,836.42
00001501.png 671.57,297.22;991.88,200.32;1146.24,743.11;830.85,839.08
00001534.png 669.27,298.96;991.02,199.06;1150.48,740.68;836.26,839.62
