00000033.png 739.41,251.88;1078.38,253.53;1074.26,840.76;719.76,836.69
00000066.png 741.21,244.61;1081.8,245.3;1072.91,829.61;722.4,830.3
00000100.png 746.67,242.63;1086.38,243.01;1077.72,825.82;728.75,823.99
00000133.png 756.55,232.63;1093.72,233.66;1085.17,812.45;738.77,811.76
00000166.png 765.12,231.11;1101.03,232.6;1092.6,813.13;745.3,808.66
00000200.png 772.14,229.22;1107.63,230.47;1098.78,806.42;751.13,803.56
00000233.png 779.67,225.66;1113.08,228.08;1103.84,801.34;758.47,798.23
00000266.png 785.07,226.94;1119.5,228.66;1109.92,802.96;763.87,799.85
00000300.png 790.78,229.67;1121.25,231.53;1112.44,802.27;767.73,793.58
00000333.png 791.59,231.25;1125.2,234.07;1114.49,806.51;771.35,800.45
00000367.png 797.63,233.96;1129.3,237.19;1119.18,808.6;777.43,802.43
00000400.png 800.49,239.08;1129.1,240.35;1119.88,806.51;780.86,803
00000433.png 801.57,241.9;1126.84,244.36;1121.13,806.96;781.6,800.01
00000467.png 807.33,246.23;1132.88,247.61;1126.38,808.45;789.89,805.69
00000500.png 818.1,246.55;1145.85,248.64;1139.1,809.24;801.12,805.25
00000533.png 834.98,247.45;1155.83,250.24;1152.33,802.07;817.99,798.01
00000567.png 844.19,248.38;1166.92,250.94;1166.39,808.85;829.36,804.44
00000600.png 857,251.02;1180.57,253.67;1177.95,806.1;846.52,803.45
00000633.png 869.39,253.13;1188.81,257.75;1188.15,806.67;857.28,805.87
00000667.png 881.55,249.64;1200.07,253.64;1204.27,802.43;870.82,802.43
00000700.png 893.98,249.99;1209.84,253.51;1213.36,799.08;884.2,793.87
00000734.png 908.81,247.02;1226.81,252.09;1232.21,802.12;902.62,801.25
00000767.png 923.96,249.29;1240.7,254.34;1248.25,803.38;919.28,804.2
00000800.png 933.15,247;1250.66,253.56;1258.28,800.93;931.33,802.54
00000834.png 941.41,243.06;1258.75,249.62;1266.95,797.34;937.99,803.21
00000867.png 952.13,238.37;1271.7,246.48;1281.79,799.37;953.6,800.63
00000900.png 961.39,237.93;1279.49,246.82;1289.32,798.72;963.95,800.63
00000934.png 966.81,238.24;1281.38,248.33;1288.57,796.31;964.83,799.85
00000967.png 970.28,236.98;1283.11,249.16;1293.33,800.45;968.1,800.43
00001001.png 978.27,234.45;1288.94,247.67;1299.19,795.37;976.25,797.81
00001034.png 987.9,228.83;1297.75,243.01;1307.39,790.91;986.15,792.95
00001067.png 995.11,224.79;1306.11,240.43;1315.45,789.7;993.45,791.37
00001101.png 1001.17,222.98;1310.66,239.08;1320.48,789.16;1003.14,791.82
00001134.png 1004.74,222.47;1313.24,239.49;1323.59,792.76;1006.42,795.13
00001167.png 1005.29,223.11;1313.05,240.71;1323.65,793.26;1003.92,797.41
00001201.png 1006.51,225.5;1313.05,244;1324.84,795.11;1011.75,800.4
00001234.png 1012.08,226.92;1318.81,244.52;1331.47,798.11;1014.13,806.74
00001267.png 1022.37,227.02;1326.94,247.33;1340.39,804.12;1025.25,809.2
00001301.png 1027.06,229.67;1329.69,251.41;1344.06,805.35;1031.51,815.36
00001334.png 1033.42,237.14;1331.17,259.66;1344.68,812.37;1036.31,819.33
00001368.png 1040.9,237.4;1335.99,259.99;1349.81,810.21;1045.7,812.82
00001401.png 1051.81,232.82;1347.26,256.63;1360.6,808.15;1056.26,816.09
00001434.png 1066.73,232.24;1356.74,257.72;1371.2,807.82;1069.11,811.58
00001468.png 1078.15,228.78;1368.47,255.01;1382.49,807.56;1080.2,815.5
00001501.png 1089.19,226.24;1378.97,254.57;1391.89,809.99;1094.67,815.68
00001534.png 1099.95,228.44;1386.64,256.65;1400.09,810.37;1101.9,816.52
00001568.png 1109.02,233.86;1390.92,262.96;1404.99,812.14;1114.2,819.72
00001601.png 1113.6,238.48;1393.67,266.44;1408.37,816.23;1118.73,828.66
00001634.png 1113.61,238.65;1392.7,268.64;1408.55,822.01;1118.85,831.18
00001668.png 1111.66,238.04;1389.75,269.31;1403.66,822.98;1117.76,835.67
00001701.png 1110.52,238.8;1386.63,270.71;1401.46,828.45;1116.6,839.74
00001735.png 1109.94,242.21;1383.76,274.66;1398.24,832.86;1117.25,844.54
00001768.png 1114.09,244.24;1384.8,278.2;1398.97,835.07;1118.37,847.39
00001801.png 1118.58,242.62;1386.33,277.14;1399.32,834.52;1122,847.64
00001835.png 1124.27,242.76;1390.4,279.85;1399.75,841.38;1127.87,851.74
00001868.png 1126.96,243.41;1388.69,281.67;1396.55,839.06;1126.6,853
00001901.png 1128.69,240.73;1388.26,279.88;1397.4,841.29;1126.58,853.49
00001935.png 1134.57,233.61;1391.34,276.18;1397.82,839;1130.86,851.22
00001968.png 1139.33,232.7;1392.1,277.08;1397.47,838.87;1137.29,851.3
00002002.png 1144.31,238.59;1394,283.36;1398.27,846.22;1140.01,860.57
00002035.png 1149.93,239.21;1394.43,285.11;1398.88,847.67;1144.46,862.17
00002068.png 1158.65,237.9;1398.91,286.19;1402.22,851.35;1153.66,864.02
00002102.png 1159.5,235.49;1395.79,284.5;1397.16,850.52;1151.63,865.36
00002135.png 1160.49,234.25;1393.89,285.32;1395.92,851.47;1151.78,867.19
00002168.png 1162.83,231.3;1392.24,283.53;1393.52,848.8;1154.73,864.97
00002202.png 1163.38,227.22;1390.78,281.4;1391.81,851.21;1154.49,865.71
00002235.png 1161.52,229.76;1385.63,284.9;1386.29,855.28;1156.36,869.98
00002268.png 1163.62,234.02;1383.91,289.43;1382.97,858.22;1154.62,874.47
00002302.png 1167.81,233.88;1384,290.59;1383.87,861.79;1157.59,879.3
00002335.png 1171.53,231.17;1385.44,288.85;1384.6,862.99;1164.79,880.55
00002369.png 1173.48,233.23;1382.99,292.85;1381.54,867;1163.04,886.25
00002402.png 1177.26,236.78;1382.98,296.36;1381.3,871.65;1168.43,890.42
00002435.png 1183.82,237.08;1385.58,297.48;1384.89,873.15;1172.54,894.21
00002469.png 1192.01,241.28;1388.52,302.69;1387.98,878.13;1181.79,898.35
00002502.png 1203.87,243.4;1397.3,304.63;1396.09,882.94;1198.46,901.99
00002535.png 1219.14,249.06;1406.65,310.36;1406.11,886.27;1208.8,909.39
00002569.png 1228.91,251.94;1412.13,313.28;1410.82,888.67;1218.3,912.42
00002602.png 1235.96,247.23;1417.36,310.11;1415.64,887.92;1230.43,910.6
00002635.png 1240.84,242.43;1416.12,306.28;1415.06,883.06;1229.69,907.54
00002669.png 1241.03,236.38;1416.57,302.46;1413.5,882.62;1234.9,904.39
00002702.png 1243.07,233.18;1415.08,300.14;1412,878.92;1233.16,901.01
00002736.png 1248.95,228.29;1414.55,296.03;1412.65,875.53;1235.74,901.17
