00000066.png  592.1,395.76;1083.73,382.9;1093.29,700.33;600.59,715.34;0;0.0756572;-0.0304588,0.334917,0.0644836;-0.496589,0.508052,-0.506007,-0.489121;-0.0864664,0.0235872,0.0494488;0.0049002,-0.000161645,0.00815867;3.12693;0.905313;
00000100.png  592.28,396.86;1085.7,384.71;1094.39,702.13;600.3,715.64;0;0.075796;-0.0302841,0.334803,0.0641545;-0.496823,0.507521,-0.505768,-0.489682;0.00514013,-0.00333085,-0.00967962;-0.000622528,0.00156373,-3.70287e-05;3.13143;1.00095;
00000133.png  594.88,394.54;1087.31,381.98;1095.87,698.06;603.25,712.11;0;0.0753071;-0.0303218,0.335507,0.0631409;-0.496019,0.507235,-0.50612,-0.490428;-0.00114457,0.0213339,-0.030714;-0.00217602,-0.000125614,-0.000940188;3.13453;0.940935;
00000166.png  596.66,393;1087.4,381.52;1096.76,696.24;604.68,711.1;0;0.0750393;-0.0331811,0.336294,0.0609132;0.496428,-0.503872,0.509581,0.489898;-0.0866436,0.0238337,-0.0675057;-0.00598812,-0.000258042,0.00768179;3.12594;0.122439;
00000200.png  600.17,391.35;1089.81,380.71;1097.28,693.34;607.98,707.41;0;0.0742462;-0.0311412,0.337735,0.059245;0.494053,-0.504239,0.508496,0.493038;0.0599955,0.042385,-0.0490646;-0.00397789,0.00146069,-0.00702177;3.13611;1.15339;
00000233.png  606.36,383.86;1095.77,373.59;1104.32,689.66;613.31,700.47;0;0.0748238;-0.0333539,0.337106,0.0618366;0.498172,-0.505285,0.506343,0.490029;-0.0670497,-0.0190536,0.0785325;0.0102701,0.00225188,0.004058;3.12575;0.802103;
00000266.png  614.54,378.73;1105.04,369.77;1112.44,686.82;621.94,696.52;0;0.0751175;-0.0300716,0.336584,0.0620452;-0.496924,0.508799,-0.501701,-0.492429;0.0994624,-0.0158286,0.00632035;0.00463594,0.00234107,-0.0117421;3.12605;2.07609;
00000300.png  619.69,380.05;1108.53,371.51;1115.43,687.1;626.28,695.01;0;0.0743747;-0.0295621,0.33739,0.0618506;-0.497473,0.509214,-0.500213,-0.492959;0.0149847,0.0236955,-0.00572303;0.00194353,0.00216082,-0.00184997;3.12631;1.91538;
00000333.png  629.77,382.25;1114.58,374.47;1120.14,687.68;634.47,695.46;0;0.073313;-0.0334454,0.339365,0.0603088;-0.500635,0.505438,-0.503019,-0.490784;-0.117673,0.0598521,-0.0467206;-0.0013533,0.00187918,0.011918;3.12442;0.744254;
00000367.png  644.15,383.04;1126.96,378.01;1131.93,688.01;644.98,696.38;0;0.0728887;-0.0475877,0.339835,0.0549377;0.509254,-0.491581,0.51523,0.483267;-0.415952,0.0138292,-0.157973;-0.0102991,0.00244745,0.0421395;3.07384;0.0349045;
00000400.png  659.97,385.13;1141.9,380.38;1145.75,689.83;662.74,696.06;0;0.0721815;-0.04125,0.341798,0.0514776;0.504709,-0.494863,0.511102,0.489034;0.192052,0.0594945,-0.104853;-0.00282555,0.00201905,-0.017745;3.11721;0.0798638;
00000433.png  677.66,387.74;1154.72,385.2;1160.58,692.24;680.17,697.31;0;0.0711865;-0.0454023,0.343785,0.0449378;0.505604,-0.488387,0.516653,0.488787;-0.125826,0.0602133,-0.198175;-0.0109884,0.00140021,0.0131054;3.08836;0.312556;
00000467.png  691.41,396.92;1166.92,393.13;1170.66,700.02;694.62,703.8;0;0.0704193;-0.0344452,0.346179,0.0456711;0.501151,-0.497525,0.507157,0.494073;0.322268,0.0704071,0.0215668;0.00901901,0.00123208,-0.0283355;3.13687;0.265355;
00000500.png  704.05,399.35;1179.42,395.97;1184.77,703.27;706.72,706.64;0;0.0706521;-0.0388629,0.346267,0.0425226;0.504372,-0.493155,0.511221,0.49098;-0.133872,0.00266595,-0.0954089;-0.00219331,0.0004343,0.0147377;3.1034;0.151125;
00000533.png  716.89,400.36;1193.05,397.67;1195.18,705.5;720.09,707.11;0;0.0704864;-0.0272113,0.346864,0.0424129;-0.498474,0.502301,-0.50108,-0.498133;0.353081,0.0180855,-0.00332477;0.00634551,0.00227287,-0.0323162;3.12626;2.859;
00000567.png  725.35,402.27;1200.89,399.74;1203.22,706.81;728.76,709.58;0;0.0703717;-0.0243075,0.347265,0.038939;0.495451,-0.50287,0.50048,0.501168;0.0854034,0.0117938,-0.102173;-0.00486301,5.10919e-05,-0.0072436;3.12915;2.69433;
